,"BRAZIL, PORT RANKINGS 2012 BY CARGO TYPE",Ports,Dry Bulk Metric Tons,Ports,Liquid Bulk Metric Tons,Ports,Break Bulk Metric Tons,Ports,Containerized Bulk Metric Tons,Ports,Total Metric Tons
2,1.0,TUP CVRD TUBARÃO,"109,505,815",TUP ALMIRANTE BARROSO,"50,541,216",TUP PORTOCEL,"9,027,901",SANTOS,"31,271,803",TUP CVRD TUBARÃO,"110,334,523"
3,2.0,TUP PONTA DA MADEIRA,"105,033,621",TUP ALMIRANTE MAXIMIANO FONSECA,"36,610,276",TUP PRAIA MOLE,"5,200,433",PARANAGUÁ,"6,572,802",TUP PONTA DA MADEIRA,"105,033,621"
4,3.0,ITAGUAÍ,"52,795,310",TUP MADRE DE DEUS,"21,658,012",TUP TERMINAL PORTUÁRIO TKCSA,"3,424,121",RIO GRANDE,"6,170,583",SANTOS,"90,737,329"
5,4.0,SANTOS,"43,949,695",TUP ALMIRANTE TAMANDARÉ (ILHA D ́ÁGUA),"13,088,518",SANTOS,"3,309,254",TUP PORTONAVE,"5,920,600",ITAGUAÍ,"57,081,602"
6,5.0,TUP MBR,"39,818,902",SANTOS,"12,206,577",SAO FRANCISCO DO SUL,"2,411,912",RIO DE JANEIRO,"5,649,619",TUP ALMIRANTE BARROSO,"50,541,216"
7,6.0,PARANAGUÁ,"29,874,837",TUP ALMIRANTE SOARES DUTRA,"11,060,986",TUP FIBRIA,"2,179,533",SUAPE,"4,545,650",PARANAGUÁ,"40,441,812"
8,7.0,TUP PONTA DE UBU,"23,385,128",TUP SÃO FRANCISCO DO SUL,"10,274,072",TUP USIMINAS,"1,394,698",ITAGUAÍ,"4,155,726",TUP MBR,"39,818,902"
9,8.0,TUP PORTO TROMBETAS,"16,391,516",ITAQUI,"7,554,711",VITÓRIA,"1,164,674",ITAJAÍ,"3,913,188",TUP ALMIRANTE MAXIMIANO FONSECA,"37,041,162"
10,9.0,TUP ALUMAR,"11,996,074",TUP MANAUS,"6,581,433",TUP MARÍTIMO DE BELMONTE,"1,119,160",VITÓRIA,"3,168,454",TUP PONTA DE UBU,"23,512,589"
11,10.0,VILA DO CONDE,"11,814,441",SUAPE,"5,647,906",TUP BERTOLINI BELÉM,"1,055,306",TUP PORTO ITAPOÁ,"3,131,798",TUP MADRE DE DEUS,"21,658,012"
12,11.0,TUP CVRD PRAIA MOLE,"10,088,117",ARATU,"4,114,467",VILA DO CONDE,"964,047",TUP CHIBATÃO,"2,996,859",RIO GRANDE,"17,072,811"
13,12.0,ITAQUI,"7,896,585",PARANAGUÁ,"3,120,028",TUP J.F DE OLIVEIRA BELÉM,"949,147",SALVADOR,"2,812,603",TUP PORTO TROMBETAS,"16,391,516"
14,13.0,RIO GRANDE,"7,117,292",TUP GUAMARÉ,"2,848,890",RIO GRANDE,"944,814",TUP SUPER TERMINAIS,"2,025,025",ITAQUI,"15,700,099"
15,14.0,SAO FRANCISCO DO SUL,"7,011,807",RIO GRANDE,"2,840,122",TUP CHIBATÃO 2,"883,085",TUP PECÉM,"1,614,036",VILA DO CONDE,"15,147,942"
16,15.0,TUP TERMINAL DE MINÉRIOE METÁLICOS AMAPÁ,"6,463,087",TUP CARMÓPOLIS,"2,744,668",TUP TERMINAL MARÍTIMO  INÁCIO BARBOSA,"878,716",SAO FRANCISCO DO SUL,"1,352,785",TUP ALMIRANTE TAMANDARÉ (ILHA D ́ÁGUA),"13,718,404"
17,16.0,TUP HERMASA GRANELEIRO,"4,947,193",TUP DE GNL DA BAÍA DE GUANABARA,"2,264,523",PARANAGUÁ,"874,145",FORTALEZA,"707,034",TUP ALUMAR,"12,774,232"
18,17.0,TUP BIANCHINI,"4,794,471",FORTALEZA,"2,235,790",TUP PECÉM,"836,413",VILA DO CONDE,"347,527",TUP ALMIRANTE SOARES DUTRA,"11,060,986"
19,18.0,TUP OMNIA,"4,352,467",TUP SOLIMÕES,"2,088,133",TUP IBEPAR MANAUS,"810,802",IMBITUBA,"263,025",SUAPE+M676,"10,997,685"
20,19.0,TUP USIMINAS,"4,332,827",BELÉM,"2,062,534",RIO DE JANEIRO,"777,671",NATAL,"250,960",SAO FRANCISCO DO SUL,"10,934,504"
21,20.0,TUP TERMINAL PORTUÁRIO TKCSA,"3,427,849",VILA DO CONDE,"2,021,927",TUP SANTA CLARA,"581,234",BELÉM,"224,309",TUP SÃO FRANCISCO DO SUL,"10,274,072"
22,21.0,SANTARÉM,"3,207,210",TUP CATTALINI,"1,562,447",TUP T.M. BARCAÇAS OCEÂNICAS,"553,397",ITAQUI,"90,465",TUP CVRD PRAIA MOLE,"10,088,117"
23,22.0,TUP COTEGIPE,"3,205,036",TUP BRASKEM ALAGOAS,"1,020,067",TUP J. F. OLIVEIRA MANAUS,"475,140",SANTARÉM,"43,692",TUP PORTOCEL,"9,027,901"
24,23.0,PORTO VELHO,"2,797,578",TUP NORTE CAPIXABA,"913,034",PORTO VELHO,"470,335",RECIFE,"36,536",RIO DE JANEIRO,"7,758,349"
25,24.0,TUP ULTRAFÉRTIL,"2,244,128",MACEIÓ,"907,713",TUP ARACRUZ GUAÍBA,"323,500",SÃO SEBASTIÃO,"4,688",TUP TERMINAL PORTUÁRIO TKCSA,"6,851,970"
26,25.0,TUP YARA BRASIL FERTILIZANTES,"2,054,392",TUP CVRD TUBARÃO,"828,708",TUP PASSARÃO,"286,721",PORTO VELHO,"2,823",VITÓRIA,"6,831,570"
27,,Top 25,"518,505,378",Top 25,"206,796,758",Top 25,"40,896,159",Top 25,"87,272,590",Top 25,"750,830,926"
28,,Other,"35,722,785",Other,"10,356,299",Other,"4,212,644",Other,"2,861",Other,"152,934,548"
29,,TOTAL DRY BULK,"554,228,163",TOTAL LIQUID BULK,"217,153,057",TOTAL BREAKBULK,"45,108,803",TOTAL CONTAINERIZED,"87,275,451",TOTAL CARGO,"903,765,474"
