,Country,Exports mill usd 2010,Exports mill usd 2009,Exports mill usd 2008,Imports mill usd 2010,Imports mill usd 2009,Imports mill usd 2008,Total trade mill usd 2010 ,Total trade mill usd 2009,Total trade mill usd 2008
3,AFRICA,"$20,558.00","$17,847.00","$21,792.00","$79,591.00","$58,508.00","$103,402.00","$100,149.00","$76,355.00","$125,194.00"
4,North Africa,"$8,480.00","$7,024.00","$8,231.00","$19,349.00","$14,973.00","$26,650.00","$27,829.00","$21,996.00","$34,881.00"
5,Sub-Sahara,"$12,078.00","$10,823.00","$13,561.00","$60,242.00","$43,535.00","$76,752.00","$72,320.00","$54,359.00","$90,313.00"
6,ASIA,"$167,783.00","$134,757.00","$154,003.00","$472,289.00","$389,262.00","$494,871.00","$640,072.00","$524,019.00","$648,874.00"
7,ASEAN,"$35,957.00","$29,614.00","$33,980.00","$59,476.00","$50,454.00","$61,530.00","$95,433.00","$80,068.00","$95,510.00"
8,China,"$58,066.00","$44,865.00","$44,843.00","$250,729.00","$210,630.00","$250,784.00","$308,795.00","$255,496.00","$295,626.00"
9,Japan,"$30,005.00","$25,224.00","$33,407.00","$84,704.00","$67,311.00","$102,873.00","$114,709.00","$92,534.00","$136,280.00"
10,South Korea,"$20,560.00","$15,892.00","$19,305.00","$29,998.00","$23,222.00","$30,364.00","$50,558.00","$39,114.00","$49,668.00"
11,Taiwan,"$10,738.00","$8,336.00","$11,071.00","$19,022.00","$15,392.00","$21,975.00","$29,760.00","$23,727.00","$33,046.00"
12,South Asia,"$12,178.00","$10,627.00","$11,133.00","$26,053.00","$20,211.00","$24,355.00","$38,231.00","$30,838.00","$35,488.00"
13,AUSTRALASIA,"$13,995.00","$11,505.00","$14,225.00","$8,150.00","$7,548.00","$11,000.00","$22,145.00","$19,053.00","$25,225.00"
14,Australia,"$12,109.00","$9,948.00","$12,554.00","$5,479.00","$5,156.00","$7,981.00","$17,588.00","$15,104.00","$20,535.00"
15,CARIBBEAN,"$17,790.00","$14,658.00","$18,813.00","$11,754.00","$11,077.00","$17,481.00","$29,544.00","$25,734.00","$36,294.00"
16,Trinidad & Tobago,"$1,484.00","$1,572.00","$1,769.00","$6,463.00","$5,090.00","$8,934.00","$7,947.00","$6,662.00","$10,702.00"
17,CENTRAL AMERICA,"$18,879.00","$14,828.00","$18,728.00","$11,754.00","$10,889.00","$13,068.00","$30,633.00","$25,717.00","$31,796.00"
18,Honduras,"$4,092.00","$2,955.00","$4,293.00","$3,615.00","$3,041.00","$3,776.00","$7,707.00","$5,997.00","$8,069.00"
19,EUROPE,"$92,937.00","$80,753.00","$114,636.00","$158,315.00","$135,518.00","$186,045.00","$251,252.00","$216,270.00","$300,681.00"
20,European Union,"$89,080.00","$76,969.00","$108,954.00","$149,188.00","$127,782.00","$185,794.00","$238,268.00","$204,751.00","$294,748.00"
21,FORMER USSR,"$6,555.00","$5,644.00","$10,200.00","$29,758.00","$21,786.00","$34,248.00","$36,313.00","$27,430.00","$44,448.00"
22,Russia,"$4,349.00","$3,929.00","$7,125.00","$24,399.00","$17,146.00","$24,451.00","$28,748.00","$21,075.00","$31,576.00"
23,MIDDLE EAST,"$32,646.00","$27,020.00","$37,626.00","$60,286.00","$45,983.00","$94,089.00","$92,932.00","$73,003.00","$131,715.00"
24,Saudi Arabia,"$8,687.00","$7,754.00","$9,603.00","$30,752.00","$21,787.00","$54,162.00","$39,439.00","$29,540.00","$63,765.00"
25,NORTH AMERICA,"$22,983.00","$15,734.00","$22,437.00","$58,261.00","$43,516.00","$70,819.00","$81,244.00","$59,250.00","$93,256.00"
26,Canada,"$6,086.00","$4,293.00","$7,510.00","$20,797.00","$15,252.00","$24,328.00","$26,883.00","$19,545.00","$31,838.00"
27,Mexico,"$16,894.00","$11,436.00","$14,921.00","$37,458.00","$28,257.00","$46,485.00","$54,352.00","$39,693.00","$61,406.00"
28,SOUTH AMERICA,"$60,061.00","$43,777.00","$58,847.00","$87,850.00","$71,193.00","$114,013.00","$147,911.00","$114,969.00","$172,860.00"
29,Brazil,"$19,676.00","$13,114.00","$17,598.00","28,767","$17,331.00","$25,983.00","$48,443.00","$30,445.00","$43,582.00"
30,Venezuela,"$7,873.00","$6,723.00","$9,765.00","65,558","$27,913.00","$51,096.00","$73,431.00","$34,636.00","$60,861.00"
31,US GLOBAL TOTAL,"$455,460.00","$367,520.00","$471,536.00","$978,799.00","$795,279.00","$1,152,327.00","$1,434,259.00","$1,162,799.00","$1,623,863.00"
