,RANK,Country,US EXPORTS METRIC TONS 2014,US EXPORTS METRIC TONS  2013,PERCENT CHANGE,Country,2014 US IMPORTS METRIC TONS,2013 US IMPORTS METRIC TONS,Percent Change,Country,US TOTAL 2014,US TOTAL 2013,Percent Change
5,1,China,"90,786","98,931",-8.2%,China,63,441,56,China,"154,227","155,791",-1.0%
6,2,Japan,"44,668","37,879",17.9%,Mexico,63,438,63,Mexico,"102,497","101,849",0.6%
7,3,Canada,"39,707","27,281",45.6%,Saudi Arabia,,62,663,Canada,"89,617","77,379",15.8%
8,4,Mexico,"39,059","38,399",1.7%,Canada,49,909,50,Saudi Arabia,"66,961","70,457",-5.0%
9,5,Brazil,"30,342","30,703",-1.2%,Venezuela,48,852,47,Brazil,"61,811","58,582",5.5%
10,6,Netherlands,"28,299","28,322",-0.1%,Brazil,31,469,27,Venezuela,"56,876","56,205",1.2%
11,7,Korea(South),"24,596","19,535",25.9%,Russia,29,313,33,Japan,"56,526","50,219",12.6%
12,8,United Kingdom,"17,250","19,151",-9.9%,Colombia,26,816,28,Colombia,"43,096","39,883",8.1%
13,9,Turkey,"16,667","17,962",-7.2%,Iraq,19,65,17,Korea(South),"41,075","33,222",23.6%
14,10,Colombia,"16,280","11,132",46.2%,Korea(South),16,479,13,Netherlands,"37,112","36,852",0.7%
15,11,India,"15,687","12,835",22.2%,Kuwait,15,670,16,Russia,"30,744","35,650",-13.8%
16,12,Taiwan,"11,964","11,163",7.2%,Trinidad,&,Tobago,13,India,"26,987","21,964",22.9%
17,13,Chile,"10,904","12,637",-13.7%,Ecuador,12,836,13,United Kingdom,"26,957","29,295",-8.0%
18,14,Italy,"10,738","11,189",-4.0%,Japan,11,858,12,Chile,"22,208","19,811",12.1%
19,15,Panama,"9,464","8,599",10.1%,Chile,11,305,7,Turkey,"20,992","21,130",-0.7%
20,16,Egypt,"9,076","1,968",361.1%,India,11,300,9,Iraq,"19,452","17,644",10.2%
21,17,Germany,"8,900","9,918",-10.3%,United,,9,707,Ecuador,"19,337","20,212",-4.3%
22,18,France,"8,857","10,604",-16.5%,Germany,9,69,8,Germany,"17,969","18,702",-3.9%
23,19,Singapore,"8,482","9,805",-13.5%,Netherlands,8,813,8,Taiwan,"17,648","15,886",11.1%
24,20,Peru,"8,210","6,347",29.4%,Angola,7,680,11,Italy,"16,691","17,169",-2.8%
25,21,Venezuela,"8,024","8,474",-5.3%,Spain,6,972,5,Kuwait,"16,426","17,168",-4.3%
26,22,Belgium,"7,667","9,108",-15.8%,Indonesia,6,548,5,Trinidad & Tobago,"14,539","16,024",-9.3%
27,23,Spain,"7,212","6,196",16.4%,Algeria,6,57,5,Spain,"14,185","11,395",24.5%
28,24,Indonesia,"6,680","6,245",7.0%,Italy,5,953,5,France,"13,660","15,411",-11.4%
29,25,Dominican Republic,"6,528","5,163",26.4%,Taiwan,5,684,4,Belgium,"13,334","13,957",-4.5%
30,,Top 25,"486,047","459,546",5.8%,Top,25,554,522,Top 25,"1,000,925","971,858",3.0%
31,,Other,"128,254","123,348",4.0%,Other,118,830,126,Other,"286,729","285,178",0.5%
32,,GRAND TOTAL,"614,302","582,894",5.4%,GRAND,TOTAL,673,352,GRAND TOTAL,"1,287,654","1,257,036",2.4%
5,1,China,"$78,523.00","$79,465.00",-1.2%,China,$300.00,979,$289.00,1,China,"$379,502.00","$368,953.00"
6,2,Japan,"$33,382.00","$32,843.00",1.6%,Japan,$98.00,75,$104.00,2,Japan,"$131,457.00","$137,093.00"
