,Rank,Port,Country,Measure,Tons,Port,Country,TEUS
4,1,Shanghai,China,Metric Tons,"505,715",Singapore,Singapore,"25,866,600"
5,2,Singapore,Singapore,Freight Tons,"472,300",Shanghai,China,"25,002,000"
6,3,Rotterdam,Netherlands,Metric Tons,"386,957",Hong Kong,China,"21,040,096"
7,4,Tianjin,China,Metric Tons,"381,110",Shenzhen,China,"18,250,100"
8,5,Ningbo,China,Metric Tons,"371,540",Busan,South Korea,"11,954,861"
9,6,Guangzhou,China,Metric Tons,"364,000",Guangzhou,China,"11,190,000"
10,7,Qingdao,China,Metric Tons,"274,304",Dubai Ports,United Arab Emirates,"11,124,082"
11,8,Qinhuangdao,China,Metric Tons,"243,850",Ningbo,China,"10,502,800"
12,9,Hong Kong,China,Metric Tons,"242,967",Qingdao,China,"10,280,000"
13,10,Busan,South Korea,Revenue Tons,"226,182",Rotterdam,Netherlands,"9,743,290"
14,11,Dalian,China,Metric Tons,"204,000",Tianjin,China,"8,700,000"
15,12,South Louisiana,United States,Metric Tons,"192,853",Kaohsiung,Taiwan,"8,581,273"
16,13,Houston,United States,Metric Tons,"191,729",Port Kelang,Malasyia,"7,309,779"
17,14,Shenzhen,China,Metric Tons,"187,045",Antwerp,Belgium,"7,309,639"
18,15,Port Hedland,Australia,Metric Tons,"178,625",Hamburg,Germany,
19,16,Kwangyang,South Korea,Revenue Tons,"176,546",Los Angeles,United States,"6,748,994"
20,17,Ulsan,South Korea,Revenue Tons,"170,314",Tanjung Pelepas,Malasyia,"5,835,085"
21,18,Nagoya,Japan,Freight Tons,"165,101",Long Beach,United States,"5,067,597"
22,19,Antwerp,Belgium,Metric Tons,"157,807",Xiamen,China,"4,680,355"
23,20,Chiba,Japan,Metric Tons,"144,904",Bremen/Bremerhaven,Germany,"4,578,642"
24,21,Port Kelang,Malaysia,Metric Tons,"137,615",New York/New Jersey,United States,"4,561,528"
25,22,Kaohsiung,Taiwan,Metric Tons,"133,570",Dalian,China,"4,552,000"
26,23,New York/New Jersey,United States,Metric Tons,"131,262",Laem Chabang,Thailand,"4,537,833"
27,24,Inchon,South Korea,Revenue Tons,"122,128",Jawaharlal Nehru (Nhava Sheva),India,"4,061,343"
28,25,Yokohama,Japan,Freight Tons,"115,529",Tokyo,Japan,"3,810,769"
29,26,Xiamen,China,Metric Tons,"110,963",Tanjung Priok,Indonesia,"3,800,000"
30,27,Hamburg,Germany,Metric Tons,"110,381",Valencia,Spain,"3,653,890"
31,28,Yantian,China,Metric Tons,"107,563",Ho Chi Minh,Viet Nam,"3,563,246"
32,29,Itaqui,Brazil,Metric Tons,"105,026",Mina Raysut (Salalah),Oman,"3,493,459"
33,30,Newcastle,Australia,Metric Tons,"103,027",Colombo,Sri Lanka,"3,464,297"
34,31,Port Metro Vancouver,Canada,Metric Tons,"101,888",Port Said,Egypt,"3,300,951"
35,32,Hay Point,Australia,Metric Tons,"99,475",Felixstowe,United Kingdom,"3,100,000"
36,33,Tanjung Pelepas,Malaysia,Metric Tons,"90,447",Jeddah,Saudi Arabia,"3,091,312"
37,34,Amsterdam Ports,Netherlands,Metric Tons,"86,678",Algeciras - La Linea,Spain,"3,043,268"
38,35,Novorossisk,Russia,Metric Tons,"86,519",Lianyunggang,China,"3,020,800"
39,36,Sepetiba,Brazil,Metric Tons,"86,420",Gioia Tauro,Italy,"2,857,438"
40,37,Kitakyushu,Japan,Freight Tons,"84,941",Manila,Philippines,"2,815,004"
41,38,Tubarâo,Brazil,Metric Tons,"83,835",Khor Fakkan,United Arab Emirates,"2,750,285"
42,39,Santos,Brazil,Metric Tons,"83,194",Yokohama,Japan,"2,555,000"
43,40,Marseilles,France,Metric Tons,"83,194",Yingkou,China,"2,537,000"
44,41,Osaka,Japan,Freight Tons,"80,944",Durban,South Africa,"2,523,105"
45,42,Primorsk,Russia,Metric Tons,"79,138",Savannah,United States,"2,356,511"
46,43,Richards Bay,South Africa,Metric Tons,"77,631",Zeebrugge,Belgium,"2,328,198"
47,44,Kobe,Japan,Freight Tons,"77,027",Marsaxlokk,Malta,"2,260,000"
48,45,Le Havre,France,Metric Tons,"73,768",Santos,Brazil,
49,46,Tokyo,Japan,Freight Tons,"72,259",Kobe,Japan,"2,247,024"
50,47,Algeciras - La Linea,Spain,Metric Tons,"69,911",Le Havre,France,"2,240,714"
51,48,Long Beach,United States,Metric Tons,"65,772",Melbourne,Australia,"2,236,633"
52,49,Daesan,South Korea,Revenue Tons,"64,716",Bandar Abbas,Iran,
53,50,Bandar Abbas,Iran,Metric Tons,"64,454",Shahid Rajase,Iran,"2,206,476"
54,51,Bremen/Bremerhaven,Germany,Metric Tons,"63,106",Port Metro Vancouver,Canada,"2,152,468"
55,52,Corpus Christi,United States,Metric Tons,"61,907",Nagoya,Japan,"2,112,738"
56,53,"New Orleans, LA",United States,Metric Tons,"61,804",Oakland,United States,"2,045,211"
57,54,Beaumont,United States,Metric Tons,"61,431",Balboa,Panama,"2,011,778"
58,55,Madras,India,Metric Tons,"61,057",Sydney Ports,Australia,
59,56,Jawaharlal Nehru (Nhava Sheva),India,Metric Tons,"60,746",Osaka,Japan,"1,843,067"
60,57,Pohang,South Korea,Revenue,"58,687",Ambarli,Turkey,"1,836,030"
61,58,Valencia,Spain,Metric Tons,"57,502",Kwangyang,South Korea,"1,810,438"
62,59,Paradip,India,Metric Tons,"57,011",Barcelona,Spain,"1,800,214"
63,60,Saldanha Bay,South Africa,Metric Tons,"56,476",Houston,United States,"1,797,198"
64,61,Bergen,Norway,Metric Tons,"56,138",Hampton Roads,United States,"1,745,228"
65,62,Grimsby and Immingham,United Kingdom,Metric Tons,"54,708",Kingston,Jamaica,"1,692,811"
66,63,Mumbai,India,Metric Tons,"54,540",San Juan,United States,"1,673,745"
0,64,Huntington,United States,Metric Tons,"53,680",Seattle,United States.1,"1,584,596"
1,65,Los Angeles,United States,Metric Tons,"52,986",Keelung,Taiwan,"1,577,824"
2,66,Hampton Roads,United States,Metric Tons,"52,952",Inchon,South Korea,"1,559,425"
3,67,Taichung,Taiwan,Metric Tons,"52,747",Tacoma,United States,"1,545,853"
4,68,Cayo Arcas,Mexico,Metric Tons,"51,818",Genoa,Italy,"1,533,627"
5,69,St. Petersburg,Russia,Metric Tons,"50,406",Taicang,China,"1,510,000"
6,70,São Sebastião,Brazil,Metric Tons,"50,155",Buenos Aires (Including Exolgen),Argentina,"1,412,462"
7,71,Mormugao,India,Metric Tons,"48,847",Manzanillo,Panama,"1,406,030"
8,72,Philadelphia,United States,Metric Tons,"48,763",Southampton,United Kingdom,"1,400,000"
9,73,Texas City,United States,Metric Tons,"47,748",St. Petersburg,Russia,"1,341,850"
10,74,Lake Charles,United States,Metric Tons,"47,403",Karachi,Pakistan,"1,307,000"
11,75,Mobile,United States,Metric Tons,"47,373",Montreal,Canada,"1,247,690"
12,76,Greater Baton Rouge,United States,Metric Tons,"47,100",Dammam,Saudi Arabia,"1,227,392"
13,77,Laem Chabang,Thailand,Metric Tons,"47,072",Bangkok,Thailand,"1,222,048"
14,78,Genoa,Italy,Metric Tons,"46,563",Tangier,Morocco,"1,222,000"
15,79,Calcutta,India,Metric Tons,"46,295",Chennai,India,"1,216,438"
16,80,Plaquemines,United States,Metric Tons,"46,149",Damietta,Egypt,"1,213,187"
17,81,Alexandria and El-Dekheila,Egypt,Metric Tons,"45,465",Taichung,Taiwan,"1,193,943"
18,82,London,United Kingdom,Metric Tons,"45,442",Charleston,United States,"1,181,353"
19,83,Dunkirk,France,Metric Tons,"45,023",Chittagong,Bangladesh,"1,161,470"
20,84,Zeebrugge,Belgium,Metric Tons,"44,866",Nanjing,China,"1,160,300"
21,85,Trieste,Italy,Metric Tons,"44,393","Cartagena (incluye SPRC, El Bosque, Contecar)",Colombia,
22,86,Colombo,Sri Lanka,Metric Tons,"43,799",Haifa,Israel,"1,140,000"
23,87,Manila,Philippines,Metric Tons,"43,780",Manzanillo,Mexico,"1,110,350"
24,88,Jubail,Saudi Arabia,Metric Tons,"43,089",Callao,Peru,"1,089,837"
25,89,Constantza,Romania,Metric Tons,"42,014",Honolulu,United States,"1,049,420"
26,90,Barcelona,Spain,Metric Tons,"41,781",La Spezia,Italy,"1,046,063"
27,91,Tanjung Priok,Indonesia,Metric Tons,"41,546",Las Palmas,Spain,
28,92,San Lorenz-San Martin,Argentina,Metric Tons,"41,477",Beirut,Lebanon,"994,601"
29,93,Jeddah,Saudi Arabia,Metric Tons,"40,934",Penang,Malasyia,"958,476"
30,94,Calais,France,Metric Tons,"40,785",Brisbane,Australia,"918,998"
31,95,Milford Haven,United Kingdom,Metric Tons,"39,292",Ashdod,Israel,"893,000"
32,96,Tees and Hartlepool,United Kingdom,Metric Tons,"39,163",Guayaquil,Ecuador,"884,100"
33,97,Gothenburg,Sweden,Metric Tons,"38,934",Marseilles,France,"876,757"
34,98,Izmit (Kocaeli),Turkey,Metric Tons,"38,769",Johor,Malasyia,"844,856"
35,99,Karachi,Pakistan,Metric Tons,"38,732",Mersin,Turkey,"843,917"
36,100,Durban,South Africa,Metric Tons,"37,419",Auckland,New Zealand,"843,590"
37,101,Southampton,United Kingdom,Metric Tons,"37,227",Izmir,Turkey,
38,102,Forth Ports,United Kingdom,Metric Tons,"36,690",Gothenburg,Sweden,"817,616"
39,103,New Mangalore,India,Metric Tons,"35,528",Miami,United States,"807,069"
40,104,Angra dos Reis,Brazil,Metric Tons,"35,491",Port Everglades,United States,"796,160"
41,105,Gioia Tauro,Italy,Metric Tons,"34,394",Puerto Cabello,Venezuela,"791,813"
42,106,Wilhelmshaven,Germany,Metric Tons,"33,577",Cape Town,South Africa,"766,127"
43,107,"Pascagoula, MS",United States,Metric Tons,"33,219",Casablanca,Morocco,"760,883"
44,108,Saigon New Port,Viet Nam,Metric Tons,"33,000",Jacksonville,United States,"754,352"
45,109,Yanbu,Saudi Arabia,Metric Tons,"32,987",Bin Qasim,Pakistan,"751,056"
46,110,Bandar Khomeini,Iran,Metric Tons,"32,704",Limón-Moin,Costa Rica,"748,029"
47,111,Brisbane,Australia,Metric Tons,"32,119",Taranto,Italy,"741,428"
48,112,Tampa,United States,Metric Tons,"31,650",Shuwaikh,Kuwait,"732,560"
49,113,Bilbao,Spain,Metric Tons,"31,604",San Antonio,Chile,"729,033"
50,114,Tallinn,Estonia,Metric Tons,"31,597",Hakata,Japan,"722,826"
51,115,Tarragona,Spain,Metric Tons,"31,310",Valparaiso,Chile,"677,432"
52,116,Valdez,United States,Metric Tons,"31,274",Piraeus,Greece,"667,135"
53,117,Port Kembla,Australia,Revenue Tons,"31,045",Paranaguá,Brazil,"630,597"
54,118,Port Arthur,United States,Metric Tons,"30,667",Rio Grande,Brazil,"629,586"
55,119,Paranaguá,Brazil,Metric Tons,"30,630",Mombasa,Kenya,"618,816"
56,120,Chittagong,Bangladesh,metric tons,"30,483",Abidjan,Ivory Coast,"610,585"
57,121,Melbourne,Australia,Metric Tons,"30,480",Constantza,Romania,"607,483"
58,122,Liverpool/Mersey-side,United Kingdom,Metric Tons,"29,936",Itajai/Navagantes,Brazil,"593,359"
