,Rank,Port/State,Foreign Trade | TONS,Imports,Port/State,Export Tons,Port/state,Total foreign trade | Tons,10,Port/state,Tons,Port/state,Tons
5,1,"South Louisiana, LA,","212,580,811",1,"Houston, TX","84,629,722","South Louisiana, LA,","67,060,678",1.0,"Houston, TX","147,969,451","South Louisiana, LA,","109,503,355"
6,2,"Houston, TX","211,340,972",2,New York/New Jersey,"64,032,262","Houston, TX","63,339,729",2.0,"South Louisiana, LA,","103,077,456","Houston, TX","63,371,521"
7,3,New York/New Jersey,"144,689,593",3,"Corpus Christi, TX","39,673,722",Hampton Roads (VA),"39,204,877",3.0,New York/New Jersey,"83,469,086",New York/New Jersey,"61,220,507"
8,4,"Long Beach, CA","72,500,221",4,"Long Beach, CA","37,283,269","Long Beach, CA","21,289,340",4.0,"Long Beach, CA","58,572,609",Huntington - Tristate,"59,171,545"
9,5,"Corpus Christi, TX","68,239,968",5,"Beaumont, TX","36,873,234","Los Angeles, CA","20,120,640",5.0,"Los Angeles, CA","51,399,625","New Orleans, LA","37,068,258"
10,6,"New Orleans, LA","68,126,087",6,"South Louisiana, LA","36,016,778",New York/New Jersey,"19,436,824",6.0,"Corpus Christi, TX","50,804,314","Plaquemines, LA","34,708,400"
11,7,"Beaumont, TX","67,715,469",7,"Texas City, TX","31,701,199","New Orleans, LA","16,914,019",7.0,Hampton Roads (VA),"47,624,873","Valdez, AK","34,465,431"
12,8,Huntington - Tristate,"59,171,545",8,"Los Angeles, CA","31,278,985","Plaquemines, LA","13,945,585",8.0,"Beaumont, TX","43,286,648","Baton Rouge, LA","34,083,670"
13,9,"Los Angeles, CA","58,406,060",9,"Lake Charles, LA","27,564,890","Savannah, GA","13,694,303",9.0,"Texas City, TX","36,475,801","Pittsburgh, PA","32,891,355"
14,10,Hampton Roads (VA),"58,369,087",10,"Pascagoula, MS","21,506,634","Tacoma, WA","12,972,734",10.0,"Lake Charles, LA","32,621,755","St. Louis, MO and IL","31,336,831"
15,11,"Texas City, TX","52,632,461",11,"Freeport, TX","21,093,998","Seattle, WA","12,563,200",11.0,"New Orleans, LA","31,057,829","Beaumont, TX","24,428,821"
16,12,"Lake Charles, LA","52,252,099",12,"Philadelphia, PA","19,899,793","Mobile, AL","12,241,094",12.0,"Savannah, GA","30,388,759","Mobile, AL","24,382,600"
17,13,"Mobile, AL","52,219,034",13,"Portland, ME","19,517,986","Portland, OR","12,046,805",13.0,"Pascagoula, MS","28,209,650","Tampa, FL","22,804,143"
18,14,"Baton Rouge, LA","51,917,597",14,"Paulsboro, NJ","16,904,554","Corpus Christi, TX","11,130,592",14.0,"Mobile, AL","27,836,434","Duluth/Superior, MN/WI","22,470,989"
19,15,"Plaquemines, LA","50,869,280",15,"Savannah, GA","16,694,456","Port Arthur, TX","9,944,563",15.0,"Port Arthur, TX","24,385,235","Lake Charles, LA","19,630,344"
