,Port,Short tons 2005,Rank,port,Short tons 2004,Port,Short tons 2003
4,"South Louisiana, LA","212,245",1,"South Louisiana, LA","224,187","South Louisiana, LA","198,825"
5,"Houston, TX","211,666",2,"Houston, TX","202,047","Houston, TX","190,923"
6,New York/New Jersey,"152,132",3,New York/New Jersey,"152,378",New York/New Jersey,"145,889"
7,Huntington - Tristate,"83,889",4,"Beaumont, TX","91,698","Beaumont, TX","87,541"
8,"Long Beach, CA","79,858",5,"Long Beach, CA","80,066","New Orleans, LA","83,847"
9,"Beaumont, TX","78,887",6,"Corpus Christi, TX","78,925","Huntington, WV","77,641"
10,"Corpus Christi, TX","77,647",7,"New Orleans, LA","78,085","Corpus Christi, TX","77,225"
11,"New Orleans, LA","65,876",8,Huntington - Tristate,"77,308","Long Beach, CA","69,195"
12,"Baton Rouge, LA","59,294",9,"Texas City, TX","68,283","Baton Rouge, LA","61,338"
13,"Texas City, TX","57,839",10,"Baton Rouge, LA","57,083","Plaquemines, LA","61,264"
14,"Mobile, AL","57,665",11,"Mobile, AL","56,212","Texas City, TX","55,917"
15,"Los Angeles, CA","54,894",12,"Lake Charles, LA","54,768","Los Angeles, CA","53,364"
16,"Lake Charles, LA","52,725",13,"Plaquemines, LA, Port of","54,405","Pittsburgh, PA","51,327"
17,"Tampa, FL","49,174",14,"Los Angeles, CA","51,932","Valdez, AK","50,214"
18,"Hampton Roads, VA","48,953",15,"Hampton Roads, VA","48,446","Tampa, FL","49,857"
19,"Plaquemines, LA","47,872",16,"Tampa, FL","48,289","Lake Charles, LA","48,252"
20,"Duluth-Superior, MN and WI","44,722",17,"Baltimore, MD","47,399","Mobile, AL","41,675"
21,"Valdez, AK","44,448",18,"Valdez, AK","46,758","Duluth-Superior, MN and WI","41,453"
22,"Baltimore, MD","44,113",19,"Duluth/Superior, MN and WI","45,393","Hampton Roads, VA","40,183"
23,"Pittsburgh, PA","43,624",20,"Pittsburgh, PA","41,035","Baltimore, MD","38,343"
24,"Philadelphia, PA","39,365",21,"Philadelphia, PA","35,220","Philadelphia, PA","33,249"
25,"Freeport, TX","33,602",22,"Pascagoula, MS","34,100","St. Louis, MO and IL","32,431"
26,"Paulsboro, NJ","32,072",23,"Freeport, TX","33,908","Pascagoula, MS","31,292"
27,"St. Louis, MO and IL","30,347",24,"St. Louis, MO and IL","33,387","Freeport, TX","30,537"
28,"Savannah, GA","30,114",25,"Paulsboro, NJ","30,486","Portland, ME","29,161"
29,"Pascagoula, MS","29,324",26,"Portland, OR","29,996","Portland, OR","27,283"
30,"Portland, ME","29,286",27,"Portland, ME","29,709","Paulsboro, NJ","27,170"
31,"Tacoma, WA","28,289",28,"Savannah, GA","28,177","Marcus Hook, PA","26,796"
32,"Portland, OR","28,127",29,"Port Arthur, TX","27,570","Charleston, SC","26,164"
33,"Seattle, WA","28,081",30,"Tacoma, WA","26,282","Port Arthur, TX","25,199"
34,"Port Arthur, TX","26,385",31,"Boston, MA","25,797","Richmond, CA","24,832"
35,"Chicago, IL","25,821",32,"Port Everglades, FL","24,900","Port Everglades, FL","23,369"
36,"Charleston, SC","25,439",33,"Richmond, CA","24,744","Savannah, GA","23,040"
37,"Port Everglades, FL","24,684",34,"Charleston, SC","24,739","Tacoma, WA","23,001"
38,"Richmond, CA","24,513",35,"Chicago, IL","24,602","Chicago, IL","22,966"
39,"Boston, MA","22,378",36,"Marcus Hook, PA","24,569","Boston, MA","22,610"
40,"Jacksonville, FL","21,777",37,"Seattle, WA","23,501","Seattle, WA","21,731"
41,"Honolulu, HI","20,394",38,"Jacksonville, FL","21,451","Jacksonville, FL","19,448"
42,"Marcus Hook, PA","20,255",39,"Honolulu, HI","19,085","Detroit, MI","18,191"
43,"Detroit, MI","17,448",40,"Indiana Harbor, IN","18,228","Honolulu, HI","17,836"
44,"Memphis, TN","17,095",41,"Memphis, TN","17,520","Memphis, TN","15,820"
45,"Oakland, CA","16,627",42,"Detroit, MI","16,858","Anacortes, WA","14,556"
46,"Anacortes, WA","15,777",43,"Anacortes, WA","16,305","Two Harbors, MN","14,308"
47,"Cincinnati, OH","14,587",44,"Cleveland, OH","15,775","Indiana Harbor, IN","14,133"
48,"Indiana Harbor, IN","14,120",45,"Oakland, CA","15,541","Cincinnati, OH","13,033"
49,"Cleveland, OH","13,641",46,"San Juan, PR","14,179","Oakland, CA","12,627"
50,"San Juan, PR","13,365",47,"Cincinnati, OH","13,898","San Juan, PR","12,621"
51,"Port Lavaca/Point Comfort, TX","11,607",48,"Two Harbors, MN","13,473","Cleveland, OH","11,828"
0,"Presque Isle, MI","10,983",49,"Matagorda Ship Channel, TX","12,524","Toledo, OH","11,673"
1,"Two Harbors, MN","10,959",50,"Ashtabula, OH","10,938","Presque Isle, MI","10,427"
2,"New Haven, CT","10,931",51,"New Haven, CT","10,856","Conneaut, OH","10,385"
3,"Toledo, OH","10,504",52,"Presque Isle, MI","10,134","New Castle, DE","9,864"
4,"Kalama, WA","10,318",53,"Kalama, WA","10,116","New Haven, CT","9,214"
5,"Providence, RI","10,045",54,"Toledo, OH","9,862","Ashtabula, OH","9,165"
6,"Burns Waterway Harbor, IN","9,812",55,"Burns Waterway Harbor, IN","9,802",Port Lavaca< TX,"9,010"
7,"New Castle, DE","9,794",56,"Miami, FL","9,755","Gary, IN","8,776"
8,"Ashtabula, OH","9,714",57,"Providence, RI","9,559","Galveston, TX","8,538"
9,"Miami, FL","9,048",58,"Calcite, MI","8,949","Miami, FL","8,477"
10,"Louisville, KY","8,503",59,"Gary, IN","8,531","Burns Waterway Harbor, IN","8,069"
11,"Wilmington, DE","8,445",60,"New Castle, DE","8,170","Calcite, MI","7,659"
12,"Wilmington, NC","8,042",61,"Galveston, TX","8,113","Providence, RI","7,656"
13,"Galveston, TX","8,008",62,"Conneaut, OH","8,027","Louisville, KY","7,545"
14,"Camden-Gloucester, NJ","7,732",63,"Wilmington, NC","7,888","Stoneport, MI","6,880"
15,"Nikishka, AK","7,462",64,"Louisville, KY","7,799","Nikishka, AK","6,819"
16,"Conneaut, OH","7,405",65,"Stoneport, MI","7,754","Albany, NY","6,811"
17,"Gary, IN","7,303",66,"Albany, NY","7,541","Lorain, OH","6,705"
18,"Calcite, MI","7,288",67,"Nikishka, AK","7,505","Vancouver, WA","6,631"
19,"Albany, NY","7,250",68,"Camden-Gloucester, NJ","7,189","Wilmington, NC","6,445"
20,"Stoneport, MI","6,785",69,"Vancouver, WA","6,973","Kalama, WA","6,420"
21,"Barbers Point, Oahu, HI","6,344",70,"Escanaba, MI","6,620","Camden-Gloucester, NJ","5,930"
22,"Vancouver, WA","6,266",71,"Barbers Point, Oahu, HI","6,086","Barbers Point, Oahu, HI","5,885"
23,"Mount Vernon, IN","5,846",72,"Silver Bay, MN","5,951","St. Paul, MN","5,152"
24,"Bridgeport, CT","5,482",73,"Mount Vernon, IN","5,768","Port Inland, MI","5,056"
25,"Portsmouth, NH","5,254",74,"Bridgeport, CT","5,671","Silver Bay, MN","5,025"
26,"Longview, WA","5,178",75,"Port Inland, MI","5,574","Brownsville, TX","4,971"
27,"Silver Bay, MN","5,177",76,"St. Clair, MI","5,281","Victoria, TX","4,861"
28,"Brownsville, TX","5,105",77,"St. Paul, MN","5,126","Longview, WA","4,782"
29,"Escanaba, MI","5,073",78,"Wilmington, DE","4,999","Escanaba, MI","4,756"
30,"St. Paul, MN","4,998",79,"Longview, WA","4,800","Bridgeport, CT","4,752"
31,"Port Inland, MI","4,946",80,"Portsmouth, NH","4,795","St. Clair, MI","4,750"
32,"Port Canaveral, FL","4,944",81,"Port Canaveral, FL","4,630","Wilmington, DE","4,582"
33,"Port Manatee, FL","4,470",82,"Port Manatee, FL","4,428","Sandusky, OH","4,363"
34,"Nashville, TN","4,454",83,"Brownsville, TX","4,171","Vicksburg, MS","4,254"
