,Rank,port,Short tons 2002,port,Short tons 2001,port,Short tons 2000,Port,Short tons 1999
4,3.0,"South Louisiana, LA","216,396","South Louisiana, LA","212,565",South Louisiana (LA),"217,757",South Louisiana (LA),"214,197"
5,4.0,"Houston, TX","177,561","Houston, TX","185,050",Houston (TX),"191,419",Houston (TX),"158,828"
6,5.0,New York/New Jersey,"134,505",New York/New Jersey,"137,484",New York/New Jersey,"138,670",New York/New Jersey,"133,715"
7,6.0,"Beaumont, TX","85,911","New Orleans, LA","85,628",New Orleans (LA),"90,768",New Orleans (LA),"87,511"
8,7.0,"New Orleans, LA","85,000","Beaumont, TX","79,131",Corpus Christi (TX),"83,125",Corpus Christi (TX),"77,987"
9,8.0,"Huntington, WV","81,064","Corpus Christi, TX","77,576",Beaumont (TX),"82,653",Beaumont (TX),"69,406"
10,9.0,"Corpus Christi, TX","72,000","Huntington, WV","76,670",Long Beach (CA),"70,150",Baton Rouge (LA),"63,729"
11,10.0,"Long Beach, CA","67,872","Long Beach, CA","67,644",Baton Rouge (LA),"65,631",Plaquemines (LA),"62,461"
12,11.0,"Baton Rouge, LA","60,583","Texas City, TX","62,270",Texas City (TX),"61,586",Long Beach (CA),"60,883"
13,12.0,"Plaquemines, LA","59,111","Baton Rouge, LA","61,415",Plaquemines (LA),"59,910",Hampton Roads (VA),"55,123"
14,13.0,"Texas City, TX","55,233","Plaquemines, LA","60,694",Hampton Roads (VA),"56,180",Valdez (AK0,"53,392"
15,14.0,"Los Angeles, CA","52,216","Pittsburgh, PA","53,009",Lake Charles (LA),"55,518",Tampa (FL),"51,518"
16,15.0,"Pittsburgh, PA","52,051","Lake Charles, LA","52,845",Mobile (AL),"54,157",Lake Charles (LA),"50,742"
17,16.0,"Valdez, AK","50,513","Los Angeles, CA","51,396",Los Angeles (CA),"48,192",Texas City (TX),"49,503"
18,17.0,"Tampa, FL","48,385","Hampton Roads, VA","51,170",Valdez (AK0,"48,081",Mobile (AL),"45,439"
19,18.0,"Lake Charles, LA","47,522","Valdez, AK","50,977",Tampa (FL),"46,460",Duluth/Superior (MI/WI),"42,297"
20,19.0,"Mobile, AL","46,022","Mobile, AL","48,116",Philadelphia (PA),"43,855",Los Angeles (CA),"42,267"
21,20.0,"Duluth-Superior, MN and WI","44,161","Philadelphia, PA","46,372",Duluth/Superior (MI/WI),"41,678",Philadelphia (PA),"39,271"
22,21.0,"Hampton Roads, VA","39,202","Tampa, FL","45,794",Baltimore (MD),"40,832",Baltimore (MD),"37,287"
23,22.0,"Baltimore, MD","38,823","Baltimore, MD","42,072",Freeport (TX),"30,985",Portland (WA),"29,339"
24,23.0,"Philadelphia, PA","34,101","Duluth-Superior, MN and WI","39,811",Portland (ME),"29,330",Pascagoula (MS),"28,095"
25,24.0,"St. Louis, MO and IL","32,601","St. Louis, MO and IL","34,432",Portland (WA),"29,330",Freeport (TX),"28,076"
26,25.0,"Pascagoula, MS","31,858","Portland, OR","31,339",Pascagoula (MS),"28,710",Paulsboro (NJ),"26,845"
27,26.0,"Freeport, TX","27,164","Freeport, TX","30,143",Paulsboro (NJ),"26,874",Chicago (IL),"26,602"
28,27.0,"Portland, ME","27,132","Pascagoula, MS","29,549",Seattle (WA),"24,159",Seattle (WA),"25,443"
29,28.0,"Portland, OR","26,635","Portland, ME","28,492",Chicago (IL),"23,929",Richmond (CA),"22,356"
30,29.0,"Paulsboro, NJ","26,383","Charleston, SC","23,250",Marcus Hook (PA),"22,584",Boston(MA),"22,171"
31,30.0,"Marcus Hook, PA","25,207","Port Arthur, TX","22,802",Port Everglades (FL),"22,500",Port Everglades (FL),"22,054"
32,31.0,"Charleston, SC","24,993","Chicago, IL","21,976",Tacoma (WA),"22,287",Tacoma (WA),"21,103"
33,32.0,"Port Arthur, TX","22,676","Port Everglades, FL","21,915",Port Arthur (TX),"21,387",Portland (ME),"20,371"
34,33.0,"Richmond, CA","21,901","Paulsboro, NJ","21,261",Charleston (SC),"21,082",Charleston (SC),"19,916"
35,34.0,"Port Everglades, FL","21,280","Richmond, CA","21,220",Boston(MA),"20,751",Marcus Hook (PA),"19,261"
36,35.0,"Savannah, GA","20,664","Boston, MA","20,581",Jacksonville (FL),"19,701",Jacksonville (FL),"19,257"
37,36.0,"Tacoma, WA","20,587","Seattle, WA","20,546",Savannah (GA),"19,671",Port Arthur (TX),"18,308"
38,37.0,"Chicago, IL","20,403","Tacoma, WA","20,523",Richmond (CA),"19,464",Savannah (GA),"18,156"
39,38.0,"Boston, MA","20,354","Savannah, GA","19,392",Anacortes (WA),"18,035",Detroit (MI),"16,948"
40,39.0,"Seattle, WA","19,591","Marcus Hook, PA","19,124",Detroit (MI),"17,295",Anacortes (WA),"16,232"
41,40.0,"Jacksonville, FL","17,906","Jacksonville, FL","17,809",Indiana Harbor (IN),"16,187",San Juan (PR),"15,555"
42,41.0,"Detroit, MI","17,306","Detroit, MI","16,991",Honolulu (HI),"15,797",Cleveland (OH),"15,540"
43,42.0,"Honolulu, HI","16,636","Memphis, TN","16,907",Cleveland (OH),"14,391",Indiana Harbor (IN),"15,127"
44,43.0,"Memphis, TN","16,401","Anacortes, WA","16,769",Lorain (OH),"14,180",Lorain (OH),"12,968"
45,44.0,"Anacortes, WA","15,363","Honolulu, HI","16,562",San Juan (PR),"13,904",Toledo (OH),"12,327"
46,45.0,"Two Harbors, MN","14,895","Cincinnati, OH","14,099",Toledo (OH),"13,322",Honolulu (HI),"12,259"
47,46.0,"Indiana Harbor, IN","13,839","Indiana Harbor, IN","13,579",Two Harbors (MI),"13,060",Two Harbors (MI),"11,872"
48,47.0,"Cincinnati, OH","13,007","San Juan, PR","12,805",Ashtabula (OH),"12,322",Oakland (CA),"11,739"
49,48.0,"Oakland, CA","12,455","Oakland, CA","12,273",Oakland (CA),"12,176",Ashtabula (OH),"10,495"
50,49.0,"San Juan, PR","12,378","Cleveland, OH","11,938",Presque Isle (MI),"10,742",Galveston (TX),"10,336"
51,50.0,"Cleveland, OH","11,412","Two Harbors, MN","11,875",Galveston (TX),"10,643",Calcite (MI),"9,533"
0,,"Toledo, OH","11,115","Ashtabula, OH","10,934",New Haven (CT),"10,604",Presque Isle (MI),"9,531"
1,0.0,"Presque Isle, MI","10,592","Toledo, OH","10,535",Conneaut (OH),"10,603",Port Lavaca (TX),"9,078"
2,1.0,"Conneaut, OH","10,474","Conneaut, OH","10,485",Port Lavaca (TX),"10,522",Gary (IN),"9,065"
3,2.0,"New Castle, DE","10,387","New Haven, CT","9,876",Gary (IN),"9,712",Stoneport (MI),"8,873"
4,3.0,"New Haven, CT","10,142","Presque Isle, MI","9,475",Burns Waterway (IN),"9,346",Conneaut (OH),"8,868"
5,4.0,"Ashtabula, OH","9,838","Louisville, KY","9,087",Providence (RI),"8,870",Barbers Point (HI),"8,707"
6,5.0,Port Lavaca< TX,"9,590","Matagorda Ship Channel, TX","9,086",Escanaba (MI),"8,647",New Haven (CT),"8,687"
7,6.0,"Gary, IN","9,482","Galveston, TX","9,038",Miami (FL),"8,610",Providence (RI),"8,627"
8,7.0,"Galveston, TX","9,136","Providence, RI","9,030",Taconite (MN),"8,505",Escanaba (MI),"8,511"
9,8.0,"Miami, FL","8,927","Gary, IN","8,907",Calcite (MI),"8,475",Taconite (MN),"8,366"
10,9.0,"Burns Waterway Harbor, IN","8,621","Burns Waterway Harbor, IN","8,735",Stoneport (MI),"7,842",Vancouver (WA),"7,825"
11,10.0,"Calcite, MI","8,575","New Castle, DE","8,560",Vancouver (WA),"7,653",Miami (FL),"7,723"
12,11.0,"Providence, RI","8,244","Miami, FL","8,514",Barbers Point (HI),"7,141",Burns Waterway (IN),"7,456"
13,12.0,"Louisville, KY","7,894","Calcite, MI","8,317",Wilmington (NC),"6,717",Kalama (WA),"6,956"
14,13.0,"Stoneport, MI","7,455","Stoneport, MI","8,118",Albany (NY),"6,127",Wilmington (NC),"6,503"
15,14.0,"Nikishka, AK","7,235","Lorain, OH","7,865",Kalama (WA),"5,791",Albany (NY),"6,402"
16,15.0,"Albany, NY","6,836","Albany, NY","7,265",St. Clair (MI),"5,553",Camden (NJ),"5,715"
17,16.0,"Lorain, OH","6,672","Vancouver, WA","7,039",Port Inland (MI),"5,483",Port Inland (MI),"5,665"
18,17.0,"Vancouver, WA","6,610","Escanaba, MI","6,980",Silver Bay (MN),"5,390",Wilmington (DE),"5,369"
19,18.0,"Wilmington, NC","6,504","Kalama, WA","6,640",Wilmington (DE),"5,184",St. Clair (MI),"5,326"
20,19.0,"Kalama, WA","6,386","Wilmington, DE","6,420",Camden (NJ),"5,171",Saginaw River (MI),"5,290"
21,20.0,"Camden-Gloucester, NJ","6,142","Nikishka, AK","6,371",Saginaw River (MI),"4,609",Silver Bay (MN),"5,023"
22,21.0,"Barbers Point, Oahu, HI","5,990","Port Inland, MI","6,260",Portsmouth(NH),"4,462",Sandusky (OH),"4,898"
23,22.0,"St. Paul, MN","5,617","Wilmington, NC","6,206",Morehead City (NC),"4,365",Morehead City (NC),"4,636"
24,23.0,"Port Inland, MI","5,563","Barbers Point, Oahu, HI","6,079",Port Manatee,"4,280",Portsmouth(NH),"4,556"
25,24.0,"Silver Bay, MN","4,921","Camden-Gloucester, NJ","5,126",Bridgeport (CT),"4,255",Bridgeport (CT),"4,154"
26,25.0,"Brownsville, TX","4,739","Nashville, TN","4,845",Canaveral (FL),"4,247",Longview (WA),"3,984"
27,26.0,"Victoria, TX","4,734","St. Clair, MI","4,818",Longview (WA),"4,113",Alpena (MI),"3,947"
28,27.0,"Longview, WA","4,706","Vicksburg, MS","4,740",Marine City (MI),"3,987",Canaveral (FL),"3,916"
29,28.0,"Escanaba, MI","4,645","Victoria, TX","4,733",Marblehead (OH),"3,717",Port Manatee,"3,853"
30,29.0,"Bridgeport, CT","4,607","St. Paul, MN","4,668",San Diego (CA),"3,653",Everett (WA),"3,815"
31,30.0,"St. Clair, MI","4,506","Sandusky, OH","4,649",Sandusky (OH),"3,645",Anchorage (AK),"3,701"
32,31.0,"Wilmington, DE","4,483","Bridgeport, CT","4,581",San Francisco (CA),"3,626",Marine City (MI),"3,652"
33,32.0,"Sandusky, OH","4,455","Portsmouth, NH","4,447",Milwaukee (WI),"3,539",Milwaukee (WI),"3,531"
34,33.0,"Vicksburg, MS","4,237","Port Canaveral, FL","4,378",Kahului (HI),"3,477",Kahului (HI),"3,513"
35,34.0,"Port Manatee, FL","4,233","Silver Bay, MN","4,304",Everett (WA),"3,457",Fall River (MA),"3,395"
36,35.0,"Nashville, TN","4,224","Kansas City, MO","4,276",Alpena (MI),"3,405",Palm Beach (FL),"3,352"
37,36.0,"Portsmouth, NH","4,108","Brownsville, TX","4,100",Fall River (MA),"3,402",Marblehead (OH),"3,121"
38,37.0,"Palm Beach, FL","4,022","Chester, PA","3,989",Brownsville (TX),"3,268",Port Dolmite (MI),"3,118"
39,38.0,"Port Canaveral, FL","3,981","Marine City, MI","3,896",Port Dolmite (MI),"3,205",San Diego (CA),"2,659"
40,39.0,"Mount Vernon, IN","3,835","Port Manatee, FL","3,802",Anchorage (AK),"3,157",Coos Bay (OR),"2,631"
41,40.0,"Marine City, MI","3,713","Kahului, Maui, HI","3,695",Palm Beach (FL),"2,950",Fairport (OH),"2,553"
42,41.0,"Ponce, PR","3,712","Longview, WA","3,589",Brunswick (GA),"2,581",Panama City (FL),"2,491"
43,42.0,"Kansas City, MO","3,575","Palm Beach, FL","3,518",Panama City (FL),"2,573",Brownsville (TX),"2,487"
44,43.0,"Kahului, Maui, HI","3,458","Fall River, MA","3,382",Fairport (OH),"2,539",Fajardo (PR),"2,406"
45,44.0,"Fall River, MA","3,392","Milwaukee, WI","3,373",Muskegon (MI),"2,435",Brunswick (GA),"2,371"
46,45.0,"Marblehead, OH","3,384","Penn Manor, PA","3,326",Ponce (PR),"2,265",Ponce (PR),"2,334"
47,46.0,"Alpena, MI","3,218","Port Dolomite, MI","3,295",Gulfport (MS),"2,229",Green Bay (WI),"2,333"
48,47.0,"Port Dolomite, MI","3,147","Alpena, MI","3,268",Coos Bay (OR),"2,210",Port Angeles (WA),"2,237"
49,48.0,"Kivilina, AK","3,127","Ponce, PR","3,220",Buffalo (NY),"2,169",Buffalo (NY),"2,075"
50,49.0,"Milwaukee, WI","3,127","Morehead City, NC","3,143",Sacramento (CA),"2,051",Gulfport (MS),"1,988"
51,50.0,"Everett, WA","3,009","San Diego, CA","3,121",Stockton (CA),"2,051",San Francisco (CA),"1,933"
52,51.0,"Anchorage, AK","2,983","Greenville, MS","3,068",Georgetown(SC),"2,009",Muskegon (MI),"1,925"
53,52.0,"Penn Manor, PA","2,848","Marblehead, OH","3,036",Port Angeles (WA),"1,886",Monroe (MI),"1,771"
54,53.0,"Greenville, MS","2,782","Mount Vernon, IN","3,014",New London (CT),"1,771",New London (CT),"1,734"
55,54.0,"Chattanooga, TN","2,770","Panama City, FL","2,997",Charlevoix (MI),"1,748",Drummond Island (MI),"1,732"
56,55.0,"Brunswick, GA","2,577","Fairport Harbor, OH","2,942",Fajardo (PR),"1,717",Buffington (IN),"1,727"
57,56.0,"Port Jefferson, NY","2,505","Everett, WA","2,868",Hilo (HI),"1,651",Hilo (HI),"1,701"
58,57.0,"San Diego, CA","2,480","Anchorage, AK","2,861",Pensacola (FL),"1,617",Bellingham (WA),"1,526"
59,58.0,"Panama City, FL","2,478","Chattanooga, TN","2,814",Nawiliwili (HI),"1,581",Charlevoix (MI),"1,489"
60,59.0,"Stockton, CA","2,428","Biloxi, MS","2,781",Grand Haven (MI),"1,555",Salem (MA),"1,422"
61,60.0,"Guntersville, AL","2,417","Kivilina, AK","2,683",Green Bay (WI),"1,551",Grays Harbor (WA),"1,406"
62,61.0,"Biloxi, MS","2,330","Stockton, CA","2,605",Buffington (IN),"1,545",Ketchikan (AK),"1,400"
63,62.0,"Fairport Harbor, OH","2,326","Port Jefferson, NY","2,578",Erie (PA),"1,501",Pensacola (FL),"1,400"
64,63.0,"Gulfport, MS","2,290","Brunswick, GA","2,499",Richmond (VA),"1,489",Marysville (MI),"1,357"
65,64.0,"Muskegon, MI","2,187","Muskegon, MI","2,324",Richmond (VA),"1,489",Nawiliwili (HI),"1,348"
66,65.0,"Tulsa, Port of Catoosa, OK","2,097","Gulfport, MS","2,317",Searsport (ME),"1,441",Hopewell (VA),"1,330"
67,66.0,"Morehead City, NC","2,097","San Francisco, CA","2,298",Olympia (WA),"1,434",Stockton (CA),"1,315"
68,67.0,"Green Bay, WI","2,078","Taconite, MN","2,243",Drummond Island (MI),"1,358",Olympia (WA),"1,313"
69,68.0,"San Francisco, CA","2,006","Green Bay, WI","2,242",Kawaihae (HI),"1,310",Humboldt Bay (CA),"1,302"
70,69.0,"Chester, PA","1,818","Port Angeles, WA","2,154",Huron (OH),"1,275",Searsport (ME),"1,302"
71,70.0,"Helena, AR","1,778","Tulsa, Port of Catoosa, OK","1,932",Grays Harbor (WA),"1,251",Georgetown(SC),"1,269"
72,71.0,"Minneapolis, MN","1,770","Richmond, VA","1,907",Marysville (MI),"1,227",Huron (OH),"1,154"
73,72.0,"Hilo, HI","1,765","Grand Haven, MI","1,794",Salem (MA),"1,205",Erie (PA),"1,136"
74,73.0,"Coos Bay, OR","1,707","Guntersville, AL","1,765",Hueneme (CA),"1,194",Hueneme (CA),"1,121"
75,74.0,"Buffalo, NY","1,686","Helena, AR","1,719",Humboldt Bay (CA),"1,063",Grand Haven (MI),"1,110"
76,75.0,"Port Angeles, WA","1,674","Coos Bay, OR","1,704",Hopewell (VA),"1,024",Kawaihae (HI),"1,090"
77,76.0,"Grays Harbor, WA","1,666","Hilo, HI","1,680",Monroe (MI),915,Kelleys Island (OH),"1,081"
78,77.0,"Kawaihae Harbor, HI","1,645","Pensacola, FL","1,612",Marquette (MI),912,Port Huron (MI),971
79,78.0,"Nawiliwili, Kauai, HI","1,619","Minneapolis, MN","1,536",New Bedford (MA),813,Sacramento (CA),915
80,79.0,"Manistee, MI","1,457","Charlevoix, MI","1,533",Kelleys Island (OH),798,Orange (TX),873
81,80.0,"Olympia, WA","1,440","Marysville, MI","1,503",Waukegan (IL),740,Richmond (VA),822
82,81.0,"Pensacola, FL","1,423","Nawiliwili, Kauai, HI","1,478",Redwood City (CA),734,Richmond (VA),822
83,82.0,"Georgetown, SC","1,411","Kawaihae Harbor, HI","1,378",Seward (AK),721,Marquette (MI),818
0,,"Richmond, VA","1,363","Trenton, NJ","1,373",Orange (TX),681,Oswego (NY),805
1,0.0,"Erie, PA","1,362","Georgetown, SC","1,362",Fernandina (FL),630,Redwood City (CA),736
2,1.0,"Weedon Island, FL","1,354","Grays Harbor, WA","1,326",Port Huron (MI),611,New Bedford (MA),687
0,,"Charlevoix, MI","1,343","Olympia, WA","1,326",Oswego (NY),589.0,Fernandina (FL),644.0
1,0.0,"Marysville, MI","1,323","Huron, OH","1,260",Homer (AK),557.0,Seward (AK),614.0
2,1.0,"Kelleys Island, OH","1,289","Manistee, MI","1,227",Bellingham (WA),541.0,Waukegan (IL),560.0
3,2.0,"Buffington, IN","1,251","Buffalo, NY","1,215",Ludington (MI),512.0,Bucksport (ME),553.0
4,3.0,"Hempstead, NY","1,236","Sabine Pass, TX","1,203",Astoria (OR),504.0,Juneau (AK),527.0
5,4.0,"Drummond Island, MI","1,221","Drummond Island, MI","1,198",Mayaguez (PR),399.0,Ludington (MI),493.0
6,5.0,"Sabine Pass, TX","1,214","Hempstead, NY","1,197",Bucksport (ME),342.0,Mayaguez (PR),419.0
7,6.0,"Port Hueneme, CA","1,152","Searsport, ME","1,196",St. Thomas (VI),333.0,Port Townsend (WA),335.0
8,7.0,"Hopewell, VA","1,108","Erie, PA","1,159",Sitka (AK),314.0,Kodiak (AK),299.0
9,8.0,"Searsport, ME","1,040","Buffington, IN","1,144",Juneau (AK),256.0,St. Thomas (VI),298.0
10,9.0,"Stamford, CT","1,010","Port Hueneme, CA","1,134",Christiansted (VI),212.0,Astoria (OR),288.0
11,10.0,"Trenton, NJ","1,008","Salem, MA","1,058",Kodiak (AK),209.0,Homer (AK),271.0
12,11.0,"Monroe, MI","1,008","Kelleys Island, OH","1,050",Skagway (AK),122.0,Christiansted (VI),267.0
