,Rank,port,Short tons 1998,port,Short tons 1997,port,Short tons 1996,port,Short tons 1995
4,3.0,South Louisiana (LA),"196,646",South Louisiana (LA),"183,628",South Louisiana (LA),"1 89,615",South Louisiana (LA),"2 04,483"
5,4.0,Houston (TX),"169,070",Houston (TX),"165,456",Houston (TX),"1 48,183",Houston (TX),"1 35,231"
6,5.0,New York/New Jersey,"137,544",New York/New Jersey,"135,266",New York/New Jersey,"1 31,601",New York/New Jersey,"1 19,342"
7,6.0,New Orleans (LA),"88,768",New Orleans (LA),"89,442",New Orleans (LA),"8 3,726",Baton Rouge (LA),"8 3,613"
8,7.0,Corpus Christi (TX),"86,180",Corpus Christi (TX),"86,844",Baton Rouge (LA),"8 1,009",Valdez (AK0,"8 0,955"
9,8.0,Baton Rouge (LA),"66,835",Baton Rouge (LA),"84,023",Corpus Christi (TX),"8 0,460",New Orleans (LA),"7 6,984"
10,9.0,Hampton Roads (VA),"66,824",Valdez (AK0,"73,647",Valdez (AK0,"7 7,116",Plaquemines (LA),"7 2,897"
11,10.0,Plaquemines (LA),"65,806",Hampton Roads (VA),"67,077",Hampton Roads (VA),"7 5,552",Hampton Roads (VA),"7 2,508"
12,11.0,Valdez (AK0,"61,946",Plaquemines (LA),"63,607",Plaquemines (LA),"6 6,910",Corpus Christi (TX),"7 0,427"
13,12.0,Beaumont (TX),"60,052",Long Beach (CA),"57,255",Long Beach (CA),"5 8,395",Long Beach (CA),"5 3,227"
14,13.0,Long Beach (CA),"57,745",Texas City (TX),"56,646",Texas City (TX),"5 6,394",Tampa (FL),"5 1,911"
15,14.0,Lake Charles (LA),"53,568",Tampa (FL),"55,334",Mobile (AL),"5 0,864",Mobile (AL),"5 0,972"
16,15.0,Tampa (FL),"53,223",Lake Charles (LA),"51,279",Tampa (FL),"4 9,293",Texas City (TX),"5 0,403"
17,16.0,Texas City (TX),"49,477",Mobile (AL),"49,120",Lake Charles (LA),"4 9,100",Port Arthur (TX),"4 9,800"
18,17.0,Mobile (AL),"49,230",Beaumont (TX),"48,665",Los Angeles (CA),"4 5,689",Lake Charles (LA),"4 6,571"
19,18.0,Philadelphia (PA),"47,466",Philadelphia (PA),"44,968",Baltimore (MD),"4 3,552",Los Angeles (CA),"4 6,479"
20,19.0,Los Angeles (CA),"44,144",Duluth/Superior (MI/WI),"41,929",Philadelphia (PA),"4 1,882",Duluth/Superior (MI/WI),"4 5,049"
21,20.0,Duluth/Superior (MI/WI),"42,443",Los Angeles (CA),"41,774",Duluth/Superior (MI/WI),"4 1,398",Baltimore (MD),"4 4,696"
22,21.0,Baltimore (MD),"40,114",Baltimore (MD),"40,029",Port Arthur (TX),"3 7,158",Philadelphia (PA),"4 0,634"
23,22.0,Portland (WA),"29,974",Port Arthur (TX),"37,318",Beaumont (TX),"3 5,705",Portland (WA),"3 1,256"
24,23.0,Port Arthur (TX),"29,557",Pascagoula (MS),"31,270",Portland (WA),"2 9,734",Pascagoula (MS),"2 6,927"
25,24.0,Freeport (TX),"29,014",Portland (WA),"29,651",Pascagoula (MS),"2 9,343",Seattle (WA),"2 6,180"
