,rank,Port,Short tons 1994,port,Short tons 1993,port,Short tons 1992,port,Short tons 1991
4,3.0,South Louisiana (LA),"184,856",South Louisiana (LA),"193,796",South Louisiana (LA),"199,665",South Louisiana (LA),"189,654"
5,4.0,Houston (TX),"143,663",Houston (TX),"141,477",Houston (TX),"137,664",Houston (TX),"131,514"
6,5.0,New York/New Jersey,"126,101",New York/New Jersey,"116,736",New York/New Jersey,"115,311",New York/New Jersey,"126,861"
7,6.0,Baton Rouge (LA),"86,246",Valdez (AK0,"85,722",Valdez (AK0,"93,737",Valdez (AK0,"99,616"
8,7.0,Valdez (AK0,"85,096",Baton Rouge (LA),"85,079",Baton Rouge (LA),"84,699",Baton Rouge (LA),"87,630"
9,8.0,Corpus Christi (TX),"78,124",New Orleans (LA),"67,037",Hampton Roads (VA),"79,064",Hampton Roads (VA),"86,315"
10,9.0,New Orleans (LA),"73,333",Hampton Roads (VA),"65,711",New Orleans (LA),"66,441",New Orleans (LA),"60,898"
11,10.0,Plaquemines (LA),"64,759",Corpus Christi (TX),"59,636",Corpus Christi (TX),"60,833",Corpus Christi (TX),"59,052"
12,11.0,Hampton Roads (VA),"62,746",Long Beach (CA),"54,321",Plaquemines (LA),"58,473",Plaquemines (LA),"53,782"
13,12.0,Long Beach (CA),"56,522",Texas City (TX),"53,653",Long Beach (CA),"52,049",Long Beach (CA),"52,981"
14,13.0,Tampa (FL),"51,905",Plaquemines (LA),"53,110",Tampa (FL),"46,434",Tampa (FL),"49,548"
15,14.0,Lake Charles (LA),"48,331",Lake Charles (LA),"45,436",Lake Charles (LA),"44,039",Los Angeles (CA),"47,008"
16,15.0,Port Arthur (TX),"45,586",Tampa (FL),"44,993",Texas City (TX),"43,104",Texas City (TX),"43,290"
17,16.0,Mobile (AL),"44,997",Mobile (AL),"43,960",Mobile (AL),"40,482",Mobile (AL),"41,343"
18,17.0,Texas City (TX),"44,351",Los Angeles (CA),"43,623",Los Angeles (CA),"40,104",Lake Charles (LA),"41,237"
19,18.0,Los Angeles (CA),"43,140",Philadelphia (PA),"42,708",Philadelphia (PA),"39,667",Baltimore (MD),"37,745"
20,19.0,Duluth/Superior (MI/WI),"41,819",Port Arthur (TX),"38,327",Duluth/Superior (MI/WI),"39,304",Duluth/Superior (MI/WI),"37,716"
21,20.0,Baltimore (MD),"41,450",Duluth/Superior (MI/WI),"37,679",Baltimore (MD),"37,656",Philadelphia (PA),"37,257"
22,21.0,Philadelphia (PA),"40,746",Baltimore (MD),"37,170",Port Arthur (TX),"33,526",Port Arthur (TX),"29,835"
23,22.0,Portland (WA),"30,164",Portland (WA),"29,804",Pascagoula (MS),"29,253",Pascagoula (MS),"29,572"
24,23.0,Pascagoula (MS),"30,049",Pascagoula (MS),"27,020",Portland (WA),"28,227",Portland (WA),"29,299"
25,24.0,Chicago (IL),"29,422",Beaumont (TX),"25,410",Beaumont (TX),"22,702",Beaumont (TX),"22,383"
26,25.0,Richmond (CA),"24,094",Chicago (IL),"25,048",Chicago (IL),"22,154",Chicago (IL),"21,767"
27,26.0,Seattle (WA),"22,336",Richmond (CA),"24,570",Seattle (WA),"21,883",Seattle (WA),"20,897"
