,rank,Port,Short tons 1990,Port ,Short tons 1989,port,Short tons 1988,Port ,Short tons 1987
4,3.0,South Louisiana (LA),"194,190",South Louisiana (LA),*,South Louisiana (LA),*,South Louisiana (LA),*
5,4.0,New York/New Jersey,"140,020",New York/New Jersey,"148,590",New York/New Jersey,"155,062",New York/New Jersey,"154,537"
6,5.0,Houston (TX),"126,178",Houston (TX),"125,583",Houston (TX),"124,887",Houston (TX),"112,546"
7,6.0,Valdez (AK0,"95,953",Valdez (AK0,"95,436",Valdez (AK0,"107,145",Valdez (AK0,"106,867"
8,7.0,Hampton Roads (VA),"79,638",Baton Rouge (LA),"82,400",Baton Rouge (LA),"78,857",Baton Rouge (LA),"73,401"
9,8.0,Baton Rouge (LA),"78,132",Hampton Roads (VA),"77,106",Hampton Roads (VA),"71,967",New Orleans (LA),"66,152"
10,9.0,New Orleans (LA),"62,740",New Orleans (LA),"61,501",New Orleans (LA),"64,059",Hampton Roads (VA),"62,965"
11,10.0,Corpus Christi (TX),"62,020",Corpus Christi (TX),"60,479",Corpus Christi (TX),"57,932",Corpus Christi (TX),"53,540"
12,11.0,Plaquemines (LA),"56,598",Long Beach (CA),"54,808",Tampa (FL),"54,071",Tampa (FL),"47,311"
13,12.0,Long Beach (CA),"52,425",Tampa (FL),"54,047",Plaquemines (LA),"52,214",Plaquemines (LA),"45,935"
14,13.0,Tampa (FL),"51,578",Plaquemines (LA),"48,284",Mobile (AL),"46,630",Long Beach (CA),"45,899"
15,14.0,Texas City (TX),"48,071",Los Angeles (CA),"47,272",Long Beach (CA),"46,560",Los Angeles (CA),"40,461"
16,15.0,Los Angeles (CA),"46,352",Mobile (AL),"45,642",Los Angeles (CA),"45,214",Mobile (AL),"39,362"
17,16.0,Philadelphia (PA),"41,830",Baltimore (MD),"44,884",Texas City (TX),"42,747",Baltimore (MD),"37,489"
18,17.0,Mobile (AL),"41,136",Texas City (TX),"41,272",Baltimore (MD),"41,926",Philadelphia (PA),"37,337"
