,Rank,Port,2014,Port,2013 short tons,port,2012 short tons
2,1,"South Louisiana, LA","267,392","South Louisiana, LA","238,586","South Louisiana, LA","252,069"
3,2,"Houston, TX","234,304","Houston, TX","229,247","Houston, TX","238,186"
4,3,New York/New Jersey,"126,159",New York/New Jersey,"123,323",New York/New Jersey,"132,040"
5,4,"Beaumont, TX","87,284","Beaumont, TX","94,404","New Orleans, LA","79,342"
6,5,"Long Beach, CA","85,026","Long Beach, CA","84,493","Beaumont, TX","78,515"
7,6,"Corpus Christi, TX","84,928","Hampton Roads, VA","78,664","Long Beach, CA","77,385"
8,7,"New Orleans, LA","84,467","New Orleans, LA","77,159","Hampton Roads, VA","76,727"
9,8,"Hampton Roads, VA","73,701","Corpus Christi, TX","76,158","Corpus Christi, TX","69,001"
10,9,"Baton Rouge, LA","69,186","Baton Rouge, LA","63,875","Los Angeles, CA","61,819"
11,10,"Mobile, AL","64,288","Los Angeles, CA","57,929","Baton Rouge, LA","59,993"
12,11,"Los Angeles, CA","61,017","Plaquemines, LA","56,876","Plaquemines, LA","58,280"
13,12,"Lake Charles, LA","56,801","Lake Charles, LA","56,577","Texas City, TX","56,722"
14,13,"Plaquemines, LA","55,495","Mobile, AL","53,993","Mobile, AL","54,888"
15,14,Cincinnati-Northern KY,"49,930","Texas City, TX","49,674","Lake Charles, LA","54,382"
16,15,"Texas City, TX","47,885",Huntington - Tristate,"46,831",Huntington - Tristate,"52,912"
17,16,Huntington - Tristate,"46,414","Baltimore, MD","36,579","Baltimore, MD","42,102"
18,17,"St. Louis, MO /IL","38,873","Duluth-Superior, MN/WI","36,477","Pittsburgh, PA","35,155"
19,18,"Duluth-Superior, MN /WI","37,390","Port Arthur, TX","34,699","St. Louis, MO and IL","34,985"
20,19,"Baltimore, MD","37,157","St. Louis, MO and IL","33,575","Duluth-Superior, MN and WI","34,672"
21,20,"Port Arthur, TX","36,670","Pittsburgh, PA","32,746","Savannah, GA","34,132"
22,21,"Tampa, FL","35,194","Pascagoula, MS","32,428","Pascagoula, MS","33,785"
23,22,"Savannah, GA","34,359","Tampa, FL","32,407","Tampa, FL","31,650"
24,23,"Pittsburgh, PA","31,499","Savannah, GA","31,990","Port Arthur, TX","30,618"
25,24,"Pascagoula, MS","27,896","Valdez, AK","28,166","Philadelphia, PA","28,539"
26,25,"Valdez, AK","26,513","Philadelphia, PA","26,046","Valdez, AK","27,900"
27,26,"Richmond, CA","26,039","Richmond, CA","23,544","Portland, OR","25,549"
28,27,"Portland, OR","25,143","Portland, OR","23,427","Tacoma, WA","24,918"
29,28,"Tacoma, WA","25,141","Tacoma, WA","22,906","Seattle, WA","23,748"
30,29,"Port Everglades, FL","22,442","Port Everglades, FL","21,703","Richmond, CA","22,556"
31,30,"Seattle, WA","22,362","Seattle, WA","20,564","Freeport, TX","22,085"
32,31,"Freeport, TX","22,327","Freeport, TX","19,716","Port Everglades, FL","21,105"
33,32,"Charleston, SC","19,847","Oakland, CA","19,333","Charleston, SC","19,105"
34,33,"Oakland, CA","18,913","Paulsboro, NJ","19,122","Oakland, CA","18,728"
