,rank,Port,Short tons 1983,port,Short tons 1981,port,Short tons 1980,Port,Short tons 1979
4,3.0,South Louisiana (LA),*,South Louisiana (LA),*,South Louisiana (LA),*,South Louisiana (LA),*
5,4.0,New York/New Jersey,"149,255",New York/New Jersey,"156,552",New York/New Jersey,"166,991",New York/New Jersey,"163,621"
6,5.0,Houston (TX),"94,650",Houston (TX),"100,967",Houston (TX),"108,973",Houston (TX),"117,551"
7,6.0,Valdez (AK0,"90,138",Valdez (AK0,"84,483",Valdez (AK0,"85,973",Baton Rouge (LA),"76,703"
8,7.0,Hampton Roads (VA),"78,093",Baton Rouge (LA),"72,045",Baton Rouge (LA),"79,347",Valdez (AK0,"65,452"
9,8.0,Baton Rouge (LA),"68,556",Hampton Roads (VA),"71,179",Hampton Roads (VA),"74,832",New Orleans (LA),"62,521"
10,9.0,New Orleans (LA),"60,366",New Orleans (LA),"66,812",New Orleans (LA),"62,921",Hampton Roads (VA),"59,991"
11,10.0,Long Beach (CA),"42,010",Baltimore (MD),"49,805",Beaumont (TX),"52,261",Beaumont (TX),"58,137"
12,11.0,Baltimore (MD),"40,831",Tampa (FL),"44,979",Baltimore (MD),"50,042",Philadelphia (PA),"54,866"
13,12.0,Tampa (FL),"40,642",Plaquemines (LA),"43,955",Tampa (FL),"48,625",Baltimore (MD),"51,445"
14,13.0,Plaquemines (LA),"40,069",Long Beach (CA),"43,537",Philadelphia (PA),"47,883",Tampa (FL),"47,885"
15,14.0,Mobile (AL),"38,975",Corpus Christi (TX),"41,980",Duluth/Superior (MI/WI),"41,435",Duluth/Superior (MI/WI),"47,725"
16,15.0,Corpus Christi (TX),"37,974",Philadelphia (PA),"41,584",Corpus Christi (TX),"39,107",Corpus Christi (TX),"46,423"
17,16.0,Pascagoula (MS),"36,538",Beaumont (TX),"40,359",Long Beach (CA),"38,780",Chicago (IL),"38,693"
18,17.0,Texas City (TX),"33,371",Duluth/Superior (MI/WI),"39,426",Plaquemines (LA),"38,513",Texas City (TX),"35,954"
19,18.0,Beaumont (TX),"33,287",Mobile (AL),"37,611",Mobile (AL),"37,569",Plaquemines (LA),"35,317"
20,19.0,Los Angeles (CA),"33,100",Chicago (IL),"31,599",Chicago (IL),"32,993",Mobile (AL),"35,265"
21,20.0,Philadelphia (PA),"31,936",Los Angeles (CA),"31,526",Los Angeles (CA),"30,151",Long Beach (CA),"33,347"
22,21.0,Duluth/Superior (MI/WI),"27,436",Texas City (TX),"27,852",Port Arthur (TX),"29,797",Port Arthur (TX),"32,773"
23,22.0,Chicago (IL),"26,820",Portland (WA),"27,625",Portland (WA),"29,314",Los Angeles (CA),"31,749"
