,rank,port,Short tons 1978,port,Short tons 1977,port,Short tons 1976,port,Short tons 1975
4,3.0,South Louisiana (LA),,South Louisiana (LA),,South Louisiana (LA),,South Louisiana (LA),
5,4.0,New York/New Jersey,"186,773",New York/New Jersey,"185,292",New York/New Jersey,"1 79,587",New York/New Jersey,"177,815"
6,5.0,Houston (TX),"111,936",Houston (TX),"104,291",Houston (TX),"8 9,898",Houston (TX),"83,674"
7,6.0,Baton Rouge (LA),"74,570",Baton Rouge (LA),"70,008",Baton Rouge (LA),"6 6,703",Hampton Roads (VA),"66,937"
8,7.0,New Orleans (LA),"58,595",New Orleans (LA),"69,146",Hampton Roads (VA),"6 3,164",Baton Rouge (LA),"60,226"
9,8.0,Valdez (AK0,"55,552",Hampton Roads (VA),"52,371",New Orleans (LA),"5 9,288",New Orleans (LA),"56,846"
10,9.0,Beaumont (TX),"52,770",Philadelphia (PA),"49,711",Baltimore (MD),"5 2,437",Baltimore (MD),"52,661"
11,10.0,Philadelphia (PA),"50,823",Beaumont (TX),"48,919",Philadelphia (PA),"5 0,604",Philadelphia (PA),"52,030"
12,11.0,Tampa (FL),"47,077",Corpus Christi (TX),"46,872",Beaumont (TX),"4 3,939",Chicago (IL),"42,589"
13,12.0,Baltimore (MD),"46,809",Tampa (FL),"45,620",Chicago (IL),"4 0,575",Tampa (FL),"39,858"
14,13.0,Corpus Christi (TX),"46,555",Baltimore (MD),"44,756",Tampa (FL),"3 9,904",Plaquemines (LA),"38,813"
15,14.0,Duluth/Superior (MI/WI),"45,841",Chicago (IL),"36,136",Corpus Christi (TX),"3 8,559",Corpus Christi (TX),"35,487"
16,15.0,Hampton Roads (VA),"41,025",Mobile (AL),"35,944",Plaquemines (LA),"3 7,631",Duluth/Superior (MI/WI),"33,607"
17,16.0,Chicago (IL),"39,691",Plaquemines (LA),"33,973",Mobile (AL),"3 5,379",Mobile (AL),"32,453"
18,17.0,Mobile (AL),"36,261",Texas City (TX),"33,584",Duluth/Superior (MI/WI),"3 2,655",Los Angeles (CA),"30,747"
19,18.0,Texas City (TX),"34,656",Duluth/Superior (MI/WI),"33,419",Long Beach (CA),"3 1,457",Beaumont (TX),"30,583"
20,19.0,Port Arthur (TX),"33,475",Long Beach (CA),"32,985",Los Angeles (CA),"3 0,931",Portland (ME),"27,566"
21,20.0,Plaquemines (LA),"33,086",Los Angeles (CA),"31,326",Port Arthur (TX),"3 0,687",Port Arthur (TX),"26,598"
22,21.0,Los Angeles (CA),"32,827",Port Arthur (TX),"30,754",Texas City (TX),"2 8,516",Long Beach (CA),"26,587"
23,22.0,Long Beach (CA),"31,586",Boston(MA),"25,975",Detroit (MI),"2 6,408",Detroit (MI),"26,488"
24,23.0,Toledo (OH),"27,571",Lake Charles (LA),"25,401",Boston(MA),"2 6,172",Boston(MA),"24,720"
25,24.0,Lake Charles (LA),"26,606",Detroit (MI),"25,093",Portland (ME),"2 5,374",Texas City (TX),"23,864"
26,25.0,Portland (WA),"26,573",Pascagoula (MS),"23,833",Toledo (OH),"2 5,002",Toledo (OH),"23,629"
27,26.0,Boston(MA),"26,074",Richmond (CA),"23,824",Pascagoula (MS),"2 3,927",Pascagoula (MS),"19,951"
28,27.0,Detroit (MI),"25,882",Toledo (OH),"23,276",Portland (WA),"2 1,493",Portland (WA),"19,600"
29,28.0,Pascagoula (MS),"25,244",Portland (WA),"21,400",Lake Charles (LA),"2 0,221",Conneaut (OH),"19,192"
30,29.0,Seattle (WA),"22,482",Portland (ME),"18,326",Richmond (CA),"2 0,165",Ashtabula (OH),"19,192"
31,30.0,Portland (ME),"22,165",Seattle (WA),"16,433",Indiana Harbor (IN),"1 9,491",Cleveland (OH),"18,145"
32,31.0,Freeport (TX),"21,712",Cleveland (OH),"16,104",Cleveland (OH),"1 8,168",Lake Charles (LA),"17,463"
33,32.0,Indiana Harbor (IN),"20,716",Indiana Harbor (IN),"15,958",Seattle (WA),"1 6,778",Indiana Harbor (IN),"17,126"
34,33.0,Cleveland (OH),"19,659",Freeport (TX),"15,333",Conneaut (OH),"1 6,465",Seattle (WA),"15,008"
35,34.0,Richmond (CA),"18,986",Ashtabula (OH),"15,147",Ashtabula (OH),"1 6,465",Richmond (CA),"14,358"
36,35.0,Ashtabula (OH),"17,428",Conneaut (OH),"15,147",Jacksonville (FL),"1 4,398",Jacksonville (FL),"13,496"
37,36.0,Conneaut (OH),"17,428",Jacksonville (FL),"15,108",Buffalo (NY),"1 2,267",New Haven (CT),"11,433"
38,37.0,Jacksonville (FL),"15,713",Port Everglades (FL),"11,828",Port Everglades (FL),"1 2,021",Port Everglades (FL),"10,522"
39,38.0,Tacoma (WA),"13,084",New Haven (CT),"11,119",New Haven (CT),"1 1,070",San Juan (PR),"10,522"
40,39.0,Port Everglades (FL),"11,964",Tacoma (WA),"10,699",Tacoma (WA),"1 0,227",Two Harbors (MI),"9,606"
41,40.0,Savannah (GA),"11,426",Valdez (AK0,"10,667",Albany (NY),"1 0,146",Albany (NY),"9,260"
42,41.0,New Haven (CT),"11,408",Charleston (SC),"10,328",Freeport (TX),"9 ,711",Charleston (SC),"8,380"
43,42.0,Charleston (SC),"10,841",Wilmington (NC),"10,000",Charleston (SC),"9 ,665",Providence (RI),"8,266"
44,43.0,Two Harbors (MI),"10,517",Savannah (GA),"9,876",San Juan (PR),"9 ,321",Freeport (TX),"8,194"
45,44.0,San Juan (PR),"10,148",Albany (NY),"9,591",Longview (WA),"9 ,224",Wilmington (NC),"7,939"
46,45.0,Anacortes (WA),"9,965",Galveston (TX),"9,564",Savannah (GA),"9 ,188",Honolulu (HI),"7,935"
47,46.0,Buffalo (NY),"9,962",San Juan (PR),"9,401",Wilmington (NC),"8 ,683",Tacoma (WA),"7,898"
48,47.0,Wilmington (NC),"9,920",Anacortes (WA),"8,968",Providence (RI),"8 ,578",Lorain (OH),"7,650"
49,48.0,Albany (NY),"9,832",Buffalo (NY),"8,696",Two Harbors (MI),"8 ,264",Buffalo (NY),"7,614"
50,49.0,Providence (RI),"8,459",Providence (RI),"8,624",Anacortes (WA),"7 ,492",Savannah (GA),"7,593"
51,50.0,Longview (WA),"8,373",Longview (WA),"8,169",Lorain (OH),"7 ,439",Longview (WA),"7,380"
0,,Lorain (OH),"8,236",Coos Bay (OR),"7,599",Galveston (TX),"7 ,303",Coos Bay (OR).1,"6,376"
1,0.0,Presque Isle (MI),"7,957",Honolulu (HI),"6,882",Honolulu (HI),"7 ,190",Oakland (CA),"6,186"
2,1.0,Galveston (TX),"7,786",Oakland (CA),"6,829",Coos Bay (OR),"7 ,116",Burns Waterway (IN),"6,093"
3,2.0,Honolulu (HI),"7,751",Barbers Point (HI),"6,631",Presque Isle (MI),"6 ,841",Galveston (TX),"5,971"
4,3.0,Burns Waterway (IN),"7,306",Lorain (OH),"6,287",Oakland (CA),"6 ,634",Barbers Point (HI),"5,186"
5,4.0,Coos Bay (OR),"7,064",Fall River (MA),"5,285",Barbers Point (HI),"6 ,593",Anacortes (WA),"4,852"
6,5.0,Oakland (CA),"6,937",Presque Isle (MI),"5,215",Burns Waterway (IN),"5 ,513",Fall River (MA),"4,834"
7,6.0,Barbers Point (HI),"6,307",Everett (WA),"4,589",Sandusky (OH),"5 ,370",Sandusky (OH),"4,533"
8,7.0,Everett (WA),"6,064",St. Clair (MI),"4,586",Fall River (MA),"4 ,739",Everett (WA),"4,367"
9,8.0,Port Angeles (WA),"4,868",Burns Waterway (IN),"4,570",Port Lavaca (TX),"4 ,256",Port Lavaca (TX),"4,343"
10,9.0,Fall River (MA),"4,820",Sandusky (OH),"4,314",Astoria (OR),"4 ,168",Presque Isle (MI),"3,847"
11,10.0,Port Lavaca (TX),"4,678",Milwaukee (WI),"3,946",Everett (WA),"4 ,143",Miami (FL),"3,585"
12,11.0,Milwaukee (WI),"4,498",Port Lavaca (TX),"3,895",Miami (FL),"3 ,709",Milwaukee (WI),"3,509"
13,12.0,Bridgeport (CT),"3,736",Two Harbors (MI),"3,846",Milwaukee (WI),"3 ,547",New London (CT),"3,481"
14,13.0,Miami (FL),"3,667",Saginaw River (MI),"3,656",St. Clair (MI),"3 ,355",Vancouver (WA),"3,467"
15,14.0,Sandusky (OH),"3,656",Miami (FL),"3,505",New London (CT),"3 ,342",Astoria (OR),"3,234"
16,15.0,Canaveral (FL),"3,434",Portsmouth(NH),"3,500",Bridgeport (CT),"3 ,265",Wilmington (DE),"3,227"
17,16.0,Morehead City (NC),"3,343",Bridgeport (CT),"3,495",Port Angeles (WA),"3 ,241",Fairport (OH),"3,020"
18,17.0,St. Clair (MI),"3,320",Port Angeles (WA),"3,283",Portsmouth(NH),"3 ,143",Portsmouth(NH),"2,943"
19,18.0,Wilmington (DE),"3,310",Pensacola (FL),"3,105",Grays Harbor (WA),"3 ,143",Canaveral (FL),"2,937"
20,19.0,Portsmouth(NH),"3,305",Alpena (MI),"3,005",Canaveral (FL),"3 ,079",Anchorage (AK),"2,936"
21,20.0,Vancouver (WA),"3,215",Camden (NJ),"2,938",Saginaw River (MI),"3 ,072",Bridgeport (CT),"2,860"
22,21.0,Alpena (MI),"3,204",Wilmington (DE),"2,918",Vancouver (WA),"3 ,040",Alpena (MI),"2,856"
23,22.0,Saginaw River (MI),"3,174",Morehead City (NC),"2,875",Anchorage (AK),"2 ,932",Brownsville (TX),"2,829"
24,23.0,Grays Harbor (WA),"3,082",Vancouver (WA),"2,833",Huron (OH),"2 ,856",Port Angeles (WA),"2,727"
25,24.0,Pensacola (FL),"3,064",Canaveral (FL),"2,807",Alpena (MI),"2 ,835",Saginaw River (MI),"2,705"
26,25.0,New London (CT),"2,839",New London (CT),"2,650",Fairport (OH),"2 ,677",St. Clair (MI),"2,686"
27,26.0,Camden (NJ),"2,622",Grays Harbor (WA),"2,646",Wilmington (DE),"2 ,653",Green Bay (WI),"2,608"
28,27.0,Fairport (OH),"2,590",Astoria (OR),"2,629",Brownsville (TX),"2 ,585",Camden (NJ),"2,591"
29,28.0,Drummond Island (MI),"2,578",Green Bay (WI),"2,477",Pensacola (FL),"2 ,548",Grays Harbor (WA),"2,587"
30,29.0,San Diego (CA),"2,571",Ludington (MI),"2,449",Drummond Island (MI),"2 ,511",San Francisco (CA),"2,479"
31,30.0,Green Bay (WI),"2,458",Anchorage (AK),"2,267",Morehead City (NC),"2 ,504",San Diego (CA),"2,351"
32,31.0,Huron (OH),"2,429",San Diego (CA),"2,264",Camden (NJ),"2 ,350",Drummond Island (MI),"2,341"
33,32.0,Ludington (MI),"2,398",Fairport (OH),"2,199",Green Bay (WI),"2 ,341",Pensacola (FL),"2,262"
34,33.0,Monroe (MI),"2,374",Drummond Island (MI),"2,132",Ludington (MI),"2 ,339",Ludington (MI),"2,124"
35,34.0,Astoria (OR),"2,331",Brownsville (TX),"2,130",Muskegon (MI),"2 ,271",Huron (OH),"2,116"
36,35.0,San Francisco (CA),"2,318",Ketchikan (AK),"1,966",San Diego (CA),"2 ,185",Muskegon (MI),"1,945"
37,36.0,Anchorage (AK),"2,226",Huron (OH),"1,933",San Francisco (CA),"1 ,956",Salem (MA),"1,936"
38,37.0,Brownsville (TX),"2,164",San Francisco (CA),"1,932",Humboldt Bay (CA),"1 ,776",Bellingham (WA),"1,883"
39,38.0,Ketchikan (AK),"1,973",Muskegon (MI),"1,912",Bellingham (WA),"1 ,761",Stockton (CA),"1,856"
40,39.0,Muskegon (MI),"1,952",Hueneme (CA),"1,876",Brunswick (GA),"1 ,686",Sacramento (CA),"1,696"
41,40.0,Kahului (HI),"1,922",Hilo (HI),"1,813",Georgetown(SC),"1 ,666",Panama City (FL),"1,616"
42,41.0,Brunswick (GA),"1,820",Brunswick (GA),"1,745",Salem (MA),"1 ,651",Ketchikan (AK),"1,563"
43,42.0,Sacramento (CA),"1,658",Bellingham (WA),"1,718",Sacramento (CA),"1 ,622",Kalama (WA),"1,549"
44,43.0,Panama City (FL),"1,585",Salem (MA),"1,649",Ketchikan (AK),"1 ,559",Morehead City (NC),"1,522"
45,44.0,Bellingham (WA),"1,557",Humboldt Bay (CA),"1,645",Hopewell (VA),"1 ,491",Brunswick (GA),"1,430"
46,45.0,Stockton (CA),"1,554",Stockton (CA),"1,521",Stockton (CA),"1 ,470",Skagway (AK),"1,416"
47,46.0,Salem (MA),"1,487",Searsport (ME),"1,497",Hueneme (CA),"1 ,452",Searsport (ME),"1,366"
48,47.0,Humboldt Bay (CA),"1,455",Sacramento (CA),"1,482",Searsport (ME),"1 ,313",Georgetown(SC),"1,360"
49,48.0,Searsport (ME),"1,339",Panama City (FL),"1,393",Kalama (WA),"1 ,285",Humboldt Bay (CA),"1,358"
50,49.0,Hopewell (VA),"1,287",Georgetown(SC),"1,381",Kahului (HI),"1 ,276",Hopewell (VA),"1,234"
51,50.0,Hilo (HI),"1,273",Oswego (NY),"1,346",Port Townsend (WA),"1 ,224",Erie (PA),"1,218"
52,51.0,Oswego (NY),"1,216",Monroe (MI),"1,321",Panama City (FL),"1 ,208",Monroe (MI),"1,185"
53,52.0,Bucksport (ME),"1,176",Kahului (HI),"1,301",Bucksport (ME),"1 ,185",Bucksport (ME),"1,145"
54,53.0,Georgetown(SC),"1,148",Port Townsend (WA),"1,263",Erie (PA),"1 ,158",Kahului (HI),"1,109"
55,54.0,Gulfport (MS),"1,145",Bucksport (ME),"1,191",Palm Beach (FL),"1 ,026",Port Townsend (WA),"1,107"
56,55.0,Erie (PA),"1,130",Hopewell (VA),"1,111",Oswego (NY),"1 ,014",Hilo (HI),"1,054"
57,56.0,Kalama (WA),"1,013",Gulfport (MS),"1,095",Sitka (AK),9 98,Palm Beach (FL),"1,023"
58,57.0,Hueneme (CA),959,Skagway (AK),"1,026",Hilo (HI),9 96,Hueneme (CA),"1,007"
59,58.0,Ponce (PR),911,Orange (TX),"1,003",Gulfport (MS),9 82,Wrangell (AK),956
60,59.0,Skagway (AK),906,Erie (PA),955,Orange (TX),9 82,Gulfport (MS),922
61,60.0,Sitka (AK),888,Kalama (WA),859,Monroe (MI),9 73,Orange (TX),912
62,61.0,Olympia (WA),869,Palm Beach (FL),682,Skagway (AK),8 33,Oswego (NY),848
63,62.0,Nawiliwili (HI),766,Wrangell (AK),630,Wrangell (AK),8 27,Valdez (AK0,654
64,63.0,Palm Beach (FL),734,Marysville (MI),576,Christiansted (VI),5 83,Ponce (PR),566
65,64.0,Port Townsend (WA),681,Nawiliwili (HI),558,Marysville (MI),5 17,Marysville (MI),560
66,65.0,Marysville (MI),530,Sitka (AK),555,Valdez (AK0,5 08,Nawiliwili (HI),533
67,66.0,Orange (TX),513,Olympia (WA),536,Nawiliwili (HI),4 61,Christiansted (VI),473
