,rank,port,Short tons 1974,port,Short tons 1973,Port,Short tons 1972
4,3.0,South Louisiana (LA),,South Louisiana (LA),,South Louisiana (LA),
5,4.0,New York/New Jersey,"195,096",New York/New Jersey,"216,896",New York/New Jersey,"196,843"
6,5.0,Houston (TX),"89,106",Houston (TX),"88,518",Houston (TX),"71,431"
7,6.0,Hampton Roads (VA),"73,102",Hampton Roads (VA),"63,694",Hampton Roads (VA),"58,357"
8,7.0,New Orleans (LA),"60,590",New Orleans (LA),"57,526",Baton Rouge (LA),"52,903"
9,8.0,Philadelphia (PA),"59,920",Philadelphia (PA),"54,630",New Orleans (LA),"49,682"
10,9.0,Baltimore (MD),"59,891",Baltimore (MD),"53,787",Philadelphia (PA),"48,357"
11,10.0,Baton Rouge (LA),"59,126",Baton Rouge (LA),"53,569",Chicago (IL),"46,838"
12,11.0,Chicago (IL),"45,886",Duluth/Superior (MI/WI),"48,158",Baltimore (MD),"45,799"
13,12.0,Tampa (FL),"40,919",Chicago (IL),"47,381",Plaquemines (LA),"44,664"
14,13.0,Duluth/Superior (MI/WI),"40,345",Plaquemines (LA),"42,301",Tampa (FL),"43,230"
15,14.0,Plaquemines (LA),"39,990",Tampa (FL),"41,923",Duluth/Superior (MI/WI),"37,896"
16,15.0,Beaumont (TX),"33,504",Beaumont (TX),"34,491",Beaumont (TX),"32,391"
17,16.0,Mobile (AL),"33,154",Detroit (MI),"31,542",Portland (ME),"30,683"
18,17.0,Corpus Christi (TX),"32,844",Mobile (AL),"30,518",Detroit (MI),"29,913"
19,18.0,Port Arthur (TX),"27,800",Portland (ME),"28,844",Mobile (AL),"27,291"
20,19.0,Portland (ME),"27,606",Long Beach (CA),"27,133",Boston(MA),"26,483"
21,20.0,Detroit (MI),"27,541",Boston(MA),"27,057",Toledo (OH),"25,249"
22,21.0,Long Beach (CA),"26,894",Corpus Christi (TX),"25,992",Cleveland (OH),"23,866"
23,22.0,Los Angeles (CA),"25,919",Los Angeles (CA),"25,977",Los Angeles (CA),"23,837"
24,23.0,Boston(MA),"25,729",Port Arthur (TX),"24,931",Corpus Christi (TX),"22,301"
25,24.0,Cleveland (OH),"21,934",Toledo (OH),"24,922",Port Arthur (TX),"21,708"
26,25.0,Toledo (OH),"21,557",Cleveland (OH),"24,828",Long Beach (CA),"20,795"
27,26.0,Portland (WA),"20,771",Portland (WA),"20,077",Texas City (TX),"20,355"
28,27.0,Texas City (TX),"20,152",Texas City (TX),"19,959",Indiana Harbor (IN),"17,611"
29,28.0,Indiana Harbor (IN),"17,165",Richmond (CA),"18,260",Portland (WA),"17,086"
30,29.0,Conneaut (OH),"16,566",Indiana Harbor (IN),"17,898",Lake Charles (LA),"17,029"
31,30.0,Ashtabula (OH),"16,566",Seattle (WA),"17,000",Richmond (CA),"15,650"
32,31.0,Lake Charles (LA),"16,565",Conneaut (OH),"16,732",Jacksonville (FL),"14,886"
33,32.0,Jacksonville (FL),"14,795",Ashtabula (OH),"16,732",Ashtabula (OH),"14,684"
34,33.0,Richmond (CA),"14,764",Lake Charles (LA),"16,505",Conneaut (OH),"14,684"
35,34.0,Seattle (WA),"14,252",Jacksonville (FL),"15,514",Seattle (WA),"14,663"
36,35.0,Pascagoula (MS),"13,073",New Haven (CT),"13,709",New Haven (CT),"13,163"
37,36.0,New Haven (CT),"12,055",Buffalo (NY),"13,177",Pascagoula (MS),"12,435"
38,37.0,San Juan (PR),"11,805",Pascagoula (MS),"12,877",Port Everglades (FL),"11,183"
39,38.0,Port Everglades (FL),"11,557",Port Everglades (FL),"12,542",Albany (NY),"10,262"
40,39.0,Buffalo (NY),"10,442",Lorain (OH),"11,584",Lorain (OH),"10,173"
41,40.0,Two Harbors (MI),"9,789",Albany (NY),"11,328",San Juan (PR),"9,528"
42,41.0,Savannah (GA),"9,699",San Juan (PR),"10,773",Buffalo (NY),"9,226"
