,Port,2010 short tons,Rank,Port,Short tons 2009,Port,Short tons 2009
2,"South Louisiana, LA","246,509",1,South Louisiana (LA),"236,262","South Louisiana, LA,","212,581"
3,"Houston, TX","237,799",2,Houston (TX),"227,133","Houston, TX","211,341"
4,New York/New Jersey,"139,173",3,New York/New Jersey,"139,198",New York/New Jersey,"144,690"
5,"Long Beach, CA","80,276",4,Beaumont (TX),"76,959","Long Beach, CA","72,500"
6,"New Orleans, LA","77,175",5,Long Beach (CA),"75,435","Corpus Christi, TX","68,240"
7,"Beaumont, TX","73,672",6,Corpus Christi (TX),"73,663","New Orleans, LA","68,126"
8,"Hampton Roads, VA","72,553",7,New Orleans (LA),"72,411","Beaumont, TX","67,715"
9,"Corpus Christi, TX","70,538",8,Hampton Roads (VA),"62,409",Huntington - Tristate,"59,172"
10,"Los Angeles, CA","64,992",9,Los Angeles (CA),"62,387","Los Angeles, CA","58,406"
11,Huntington - Tristate,"58,551",10,Texas City (TX),"56,591",Hampton Roads (VA),"58,369"
12,"Baton Rouge, LA","57,872",11,Plaquemines (LA),"55,837","Texas City, TX","52,632"
13,"Texas City, TX","57,758",12,Mobile (AL),"55,713","Lake Charles, LA","52,252"
14,"Mobile, AL","55,552",13,Baton Rouge (LA),"55,537","Mobile, AL","52,219"
15,"Lake Charles, LA","54,247",14,Lake Charles (LA),"54,615","Baton Rouge, LA","51,918"
16,"Plaquemines, LA","54,093",15,Baltimore (MD),"39,629","Plaquemines, LA","50,869"
17,"Baltimore, MD","44,866",16,Pascagoula (MS),"37,276","Pascagoula, MS","36,618"
18,"Pascagoula, MS","36,863",17,Duluth/Superior (MI/WI),"36,598","Tampa, FL","34,888"
19,"St. Louis, MO/IL","36,487",18,Savannah (GA),"34,682","Valdez, AK","34,473"
20,"Savannah, GA","35,459",19,Tampa (FL),"34,202","Port Arthur, TX","33,804"
21,"Duluth/Superior, MI/WI","35,081",20,Philadelphia (PA),"34,036","Pittsburgh, PA","32,891"
22,"Pittsburgh, PA","33,819",21,Valdez (AK),"31,902","Savannah, GA","32,339"
23,"Tampa, FL","31,408",22,Port Arthur (TX),"30,232","Philadelphia, PA","31,751"
24,"Philadelphia, PA","30,632",23,Seattle (WA),"27,192","St. Louis, MO and IL","31,337"
25,"Port Arthur, TX","30,275",24,Freeport (TX),"26,676","Paulsboro, NJ","30,258"
26,"Valdez, AK","29,838",25,Portland (WA),"25,949","Duluth/Superior, MN/WI","30,226"
27,"Seattle, WA","26,610",26,Richmond (CA),"24,178","Baltimore, MD","30,136"
28,"Portland, OR","25,479",27,Tacoma (WA),"22,399","Freeport, TX","27,363"
29,"Richmond, CA","24,256",28,Marcus Hook (PA),"21,940","Richmond, CA","25,363"
30,"Tacoma, WA","24,151",29,Port Everglades (FL),"20,233","Seattle, WA","24,608"
31,"Freeport, TX","23,312",30,Jacksonville (FL),"19,118","Marcus Hook, PA","24,569"
32,"Port Everglades, FL","20,956",31,Boston(MA),"19,091","Portland, OR","23,307"
33,"Chicago, IL","20,351",32,Oakland (CA),"18,610","Tacoma, WA","23,165"
34,"Marcus Hook, PA","18,826",33,Chicago (IL),"18,534","Portland, ME","21,002"
35,"Oakland, CA","18,495",34,Portland (ME),"18,158","Boston, MA","20,456"
36,"Boston, MA","18,407",35,Charleston (SC),"17,986","Port Everglades, FL","20,059"
37,"Charleston, SC","17,917",36,Paulsboro (NJ),"17,499","Chicago, IL","19,228"
38,"Paulsboro, NJ","17,583",37,Galveston (TX),"13,949","Jacksonville, FL","17,686"
39,"Jacksonville, FL","16,828",38,Two Harbors (MI),"13,877","Oakland, CA","17,406"
40,"Two Harbors, MN","15,630",39,Detroit (MI),"13,406","Charleston, SC","15,834"
41,"Galveston, TX","13,744",40,Kalama (WA),"12,255","Memphis, TN","13,980"
42,"Detroit, MI","13,739",41,San Juan (PR),"11,395","Cincinnati, OH","11,768"
43,"Portland, ME","13,178",42,Cleveland (OH),"10,791","San Juan, PR","11,295"
44,"Honolulu, HI","12,658",43,Toledo (OH),"10,720","Anacortes, WA","10,431"
45,"Memphis, TN","12,612",44,Indiana Harbor (IN),"10,169","New Haven, CT","10,135"
46,"Kalama, WA","12,234",45,New Haven (CT),"9,987","Kalama, WA","9,912"
47,"Indiana Harbor, IN","11,977",46,Barbers Point (HI),"9,171","Galveston, TX","9,792"
48,"Anacortes, WA","11,976",47,Honolulu (HI),"8,903","Toledo, OH","9,682"
49,"Cincinnati, OH","11,733",48,Port Lavaca (TX),"8,879","Barbers Point, Oahu, HI","9,670"
0,"Cleveland, OH","11,574",49,Presque Isle (MI),"8,721","Honolulu, HI","9,161"
1,"Toledo, OH","11,128",50,Anacortes (WA),"8,455","Detroit, MI","9,014"
2,"San Juan, PR","11,027",51,Vancouver (WA),"8,390","Indiana Harbor, IN","8,198"
3,"Presque Isle, MI","10,605",52,St. Clair (MI),"7,988","St. Clair, MI","8,074"
4,"Barbers Point, Oahu, HI","9,800",53,Gary (IN),"7,831","New Castle, DE","7,583"
5,"Gary, IN","9,723",54,Wilmington (NC),"7,428","Albany, NY","7,178"
6,Port Lavaca (TX),"9,333",55,Providence (RI),"7,115","Two Harbors, MN","7,096"
7,"New Haven, CT","8,892",56,Miami (FL),"6,960","Presque Isle, MI","6,990"
8,"Burns Waterway Harbor, IN","8,281",57,Longview (WA),"6,823","Port Lavaca, TX","6,951"
9,"Vancouver, WA","7,963",58,Albany (NY),"6,810","Providence, RI","6,928"
10,"Providence, RI","7,553",59,Ashtabula (OH),"6,346","Vancouver, WA","6,819"
11,"St. Clair, MI","7,500",60,Silver Bay (MN),"6,191","Miami, FL","6,772"
12,"Miami, FL","7,178",61,Burns Harbor (IN),"6,055","Wilmington, NC","6,716"
13,"Wilmington, NC","6,973",62,Stoneport (MI),"5,649","Gary, IN","6,389"
14,"Longview, WA","6,873",63,Camden/Gloucester City (NJ),"5,369","Cleveland, OH","6,076"
15,"Camden-Gloucester, NJ","6,197",64,Wilmington (DE),"4,825","Camden-Gloucester, NJ","5,700"
