,Port,Short tons 2008,Rank,Port,Short tons 2007,Port,Short tons 2006
0,"Toledo, OH","10,955",49,Vancouver (WA),"9,708","Toledo, OH.1","11,162"
1,"Cleveland, OH","10,637",50,New Haven (CT),"9,574","New Haven, CT","10,897"
2,"Port Lavaca, TX","10,318",51,Providence (RI),"9,225",Port Lavaca (TX),"10,808"
3,"Barbers Point, Oahu, HI","10,137",52,Presque Isle (MI),"8,792","Barbers Point, Oahu, HI","10,724"
4,"Galveston, TX","9,781",53,Gary (IN),"8,066","New Castle, DE","9,386"
5,"New Haven, CT","9,663",54,Wilmington (NC),"7,930","Galveston, TX","9,357"
6,"Gary, IN","9,030",55,Bridgeport (CT),"7,628","Providence, RI","9,267"
7,"Presque Isle, MI","8,808",56,Miami (FL),"7,479","Kalama, WA","9,124"
8,"Providence, RI","8,518",57,Albany (NY),"7,143","Gary, IN","9,112"
9,"Vancouver, WA","7,937",58,Camden/Gloucester City (NJ),"6,907","Presque Isle, MI","9,074"
10,"St. Clair, MI","7,880",59,Stoneport (MI),"6,670","Burns Waterway Harbor, IN","8,954"
11,"Albany, NY","7,556",60,Calcite (MI),"6,622","Wilmington, NC","8,390"
12,"Louisville, KY","7,436",61,Burns Waterway (IN),"6,495","Albany, NY","8,147"
13,"Ashtabula, OH","6,906",62,Escanaba (MI),"5,861","Miami, FL","8,130"
14,"Wilmington, NC","6,872",63,Kahului (HI),"5,630","Vancouver, WA","8,049"
15,"New Castle, DE","6,868",64,Silver Bay (MN),"5,627","Camden-Gloucester, NJ","7,447"
16,"Miami, FL","6,826",65,Ashtabula (OH),"5,580","Louisville, KY","7,373"
17,"Stoneport, MI","6,625",66,Longview (WA),"5,126","Conneaut, OH","7,368"
18,"Silver Bay, MN","6,604",67,Conneaut (OH),"5,009","Stoneport, MI","6,865"
19,"Escanaba, MI","6,340",68,Port Inland (MI),"4,972","Ashtabula, OH","6,822"
20,"Burns Waterway Harbor, IN","6,283",69,Brownsville (TX),"4,506","Calcite, MI","6,428"
21,"Camden-Gloucester, NJ","6,263",70,St. Clair (MI),"4,478","Wilmington, DE","6,278"
22,"Longview, WA","5,867",71,Wilmington (DE),"4,132","Nikishka, AK","6,172"
23,"Bridgeport, CT","5,841",72,Marine City (MI),"4,100","Mount Vernon, IN","5,739"
24,"Calcite, MI","5,834",73,Portsmouth(NH),"4,026","Escanaba, MI","5,689"
25,"Port Inland, MI","5,706",74,Milwaukee (WI),"4,019","Port Inland, MI","5,523"
26,"Brownsville, TX","5,669",75,Sandusky (OH),"3,880","Bridgeport, CT","5,389"
27,"Mount Vernon, IN","5,209",76,Marblehead (OH),"3,845","Brownsville, TX","5,309"
28,"Nikishka, AK","5,037",77,Ponce (PR),"3,710","Silver Bay, MN","5,188"
29,"Conneaut, OH","4,654",78,Fall River (MA),"3,648","Longview, WA","5,048"
30,"Chester, PA","4,122",79,Port Manatee,"3,480","St. Clair, MI","4,901"
31,"Wilmington, DE","3,979",80,Alpena (MI),"3,477","Portsmouth, NH","4,823"
32,"Kahului, Maui, HI","3,958",81,Canaveral (FL),"3,470","Kahului, Maui, HI","4,794"
33,"Portsmouth, NH","3,833",82,Palm Beach (FL),"3,117","St. Paul, MN","4,656"
34,"Ponce, PR","3,753",83,Morehead City (NC),"3,108","Nashville, TN","4,504"
35,"Fall River, MA","3,655",84,Lorain (OH),"2,996","Vicksburg, MS","4,197"
36,"Vicksburg, MS","3,550",85,Panama City (FL),"2,846","Port Manatee, FL","4,119"
37,"Biloxi, MS","3,508",86,Stockton (CA),"2,823","Port Canaveral, FL","4,072"
38,"St. Paul, MN","3,424",87,Hilo (HI),"2,782","Marine City, MI","4,019"
39,"Nashville, TN","3,314",88,Anchorage (AK),"2,633","Milwaukee, WI","4,007"
40,"Morehead City, NC","3,300",89,Green Bay (WI),"2,610","Sandusky, OH","3,790"
41,"Milwaukee, WI","3,240",90,Brunswick (GA),"2,587","Marblehead, OH","3,758"
42,"Alpena, MI","3,099",91,Kawaihae (HI),"2,558","Morehead City, NC","3,733"
43,"Marblehead, OH","3,022",92,Everett (WA),"2,554","Lorain, OH","3,617"
44,"Greenville, MS","3,018",93,Port Dolmite (MI),"2,529","Kansas City, MO","3,580"
45,"Victoria, TX","2,862",94,San Diego (CA),"2,416","Panama City, FL","3,564"
46,"Everett, WA","2,837",95,Nawiliwili (HI),"2,333","Victoria, TX","3,556"
47,"Sandusky, OH","2,765",96,Fairport (OH),"2,107","Penn Manor, PA","3,405"
48,"Panama City, FL","2,732",97,Muskegon (MI),"2,086","Fall River, MA","3,364"
49,"Port Manatee, FL","2,728",98,Coos Bay (OR),"1,934","Alpena, MI","3,330"
50,"Kivilina, AK","2,586",99,San Francisco (CA),"1,913","San Diego, CA","3,259"
51,"Helena, AR","2,541",100,Port Angeles (WA),"1,906","Stockton, CA","3,042"
52,"Penn Manor, PA","2,520",101,Gulfport (MS),"1,805","Anchorage, AK","2,927"
53,"Green Bay, WI","2,477",102,Searsport (ME),"1,782","Kivilina, AK","2,921"
54,"Brunswick, GA","2,444",103,Buffalo (NY),"1,618","Palm Beach, FL","2,765"
55,"Port Canaveral, FL","2,431",104,Drummond Island (MI),"1,533","Kawaihae Harbor, HI","2,728"
56,"Anchorage, AK","2,405",105,Charlevoix (MI),"1,476","Green Bay, WI","2,618"
57,"Palm Beach, FL","2,377",106,Hueneme (CA),"1,471","Chattanooga, TN","2,590"
58,"Chattanooga, TN","2,231",107,Erie (PA),"1,253","Port Dolomite, MI","2,582"
59,"Lorain, OH","2,186",108,Grays Harbor (WA),"1,245","Ponce, PR","2,553"
60,"Port Dolomite, MI","2,169",109,Buffington (IN),"1,209","Brunswick, GA","2,499"
61,"Gulfport, MS","2,143",110,Huron (OH),"1,143","Greenville, MS","2,489"
62,"Muskegon, MI","2,116",111,Marquette (MI),"1,136","Fairport Harbor, OH","2,411"
63,"Hilo, HI","2,068",112,Grand Haven (MI),"1,128","Hilo, HI","2,408"
64,"Kawaihae Harbor, HI","2,063",113,Redwood City (CA),"1,118","Muskegon, MI","2,230"
65,"Kansas City, MO","2,051",114,Hopewell (VA),"1,091","Coos Bay, OR","2,144"
66,"Tulsa, Port of Catoosa, OK","2,025",115,Monroe (MI),"1,038","San Francisco, CA","2,133"
67,"San Diego, CA","1,891",116,Richmond (VA),"1,013","Taconite, MN","2,089"
68,"Searsport, ME","1,856",117,Kelleys Island (OH),975,"Tulsa, Port of Catoosa, OK","2,073"
69,"Fairport Harbor, OH","1,798",118,Pensacola (FL),952,"Everett, WA","2,070"
70,"Stockton, CA","1,772",119,Olympia (WA),950,"Searsport, ME","2,040"
71,"Guntersville, AL","1,744",120,Taconite (MN),889,"Nawiliwili, Kauai, HI","1,864"
72,"Coos Bay, OR","1,733",121,Marysville (MI),887,"Guntersville, AL","1,770"
73,"Nawiliwili, Kauai, HI","1,680",122,Salem (MA),847,"Port Hueneme, CA","1,612"
74,"Grays Harbor, WA","1,678",123,Humboldt Bay (CA),722,"Helena, AR","1,580"
75,"Redwood City, CA","1,675",124,Sacramento (CA),700,"Chester, PA","1,577"
76,"Buffalo, NY","1,457",125,Orange (TX),682,"Buffalo, NY","1,558"
77,"San Francisco, CA","1,386",126,New London (CT),622,"Redwood City, CA","1,523"
78,"Trenton, NJ","1,384",127,Ludington (MI),601,"Buffington, IN","1,489"
79,"Charlevoix, MI","1,351",128,Ketchikan (AK),595,"Gulfport, MS","1,473"
80,"Buffington, IN","1,334",129,Waukegan (IL),576,"Charlevoix, MI","1,420"
81,"Richmond, VA","1,318",130,Oswego (NY),558,"Richmond, VA","1,387"
82,"Port Hueneme, CA","1,301",131,Fernandina (FL),552,"Monroe, MI","1,379"
83,"Port Jefferson, NY","1,271",132,New Bedford (MA),425,"Pensacola, FL","1,332"
0,"Port Angeles, WA","1,245",133,Homer (AK),423,"Marysville, MI","1,316"
1,"Marquette, MI","1,222",134,Juneau (AK),417,"Grays Harbor, WA","1,281"
2,"Sabin Pass, TX","1,214",135,Christiansted (VI),364,"Trenton, NJ","1,262"
0,"Drummond Island, MI","1,116",136,Mayaguez (PR),363.0,"Drummond Island, MI.1","1,238"
1,"Grand Haven, MI","1,080",137,Georgetown(SC),285.0,"Port Angeles, WA","1,196"
2,"Stamford, CT","1,064",138,Seward (AK),251.0,"Hempstead, NY","1,152"
3,"Monroe, MI","1,059",139,St. Thomas (VI),197.0,"Kelleys Island, OH","1,116"
4,"Olympia, WA","1,026",140,Port Townsend (WA),173.0,"Newport, RI","1,093"
5,"Unalaska Island, AK","1,024",141,Kodiak (AK),154.0,"Minneapolis, MN","1,092"
6,"Marine City, MI","1,010",142,Sitka (AK),121.0,"Erie, PA","1,074"
7,"Hopewell, VA","1,010",143,Rochester (NY),105.0,"Hopewell, VA","1,068"
8,"Huron, OH","1,002",144,Fajardo (PR),101.0,"Salem, MA","1,064"
9,"Hempstead, NY",964,145,Skagway (AK),76.0,"Christiansted, St Croix, VI","1,013"
10,"Lake Providence, LA",856,146,Bellingham (WA),64.0,"Grand Haven, MI",988
11,"Elvis Stahr Harbor, KY",838,147,Astoria (OR),4.0,"Olympia, WA",982
12,"Pensacola, FL",831,148,Port Huron (MI),0.0,"Humboldt, CA",956
13,"Sacramento, CA",825,149,Bucksport (ME),,"Port Jefferson, NY",920
2,"South Louisiana, LA,","223,987",1,South Louisiana (LA),"229,040","South Louisiana, LA","225,489"
3,"Houston, TX","212,208",2,Houston (TX),"216,064","Houston, TX","222,147"
4,New York/New Jersey,"153,480",3,New York/New Jersey,"157,202",New York/New Jersey,"157,630"
5,"Long Beach, CA","80,205",4,Long Beach (CA),"85,940","Long Beach, CA","84,394"
6,"Corpus Christi, TX","76,786",5,Beaumont (TX),"81,384","Beaumont, TX","79,486"
7,"New Orleans, LA","73,011",6,Corpus Christi (TX),"81,073","Corpus Christi, TX","77,557"
8,"Beaumont, TX","69,484",7,New Orleans (LA),"76,046",Huntington - Tristate,"77,158"
9,Huntington - Tristate,"69,335",8,Los Angeles (CA),"65,502","New Orleans, LA","76,901"
10,"Mobile, AL","67,636",9,Mobile (AL),"64,494","Los Angeles, CA","65,978"
11,"Hampton Roads, VA","67,196",10,Lake Charles (LA),"64,234","Mobile, AL","59,832"
12,"Plaquemines, LA,","63,744",11,Plaquemines (LA),"58,817","Lake Charles, LA","58,410"
13,"Los Angeles, CA","59,788",12,Texas City (TX),"56,787","Baton Rouge, LA","56,343"
14,"Lake Charles, LA","53,778",13,Hampton Roads (VA),"5 4,705","Plaquemines, LA","55,890"
15,"Texas City, TX","52,606",14,Baton Rouge (LA),"54,624","Texas City, TX","48,875"
16,"Baton Rouge, LA","51,809",15,Tampa (FL),"46,857","Duluth-Superior, MN/WI","46,974"
17,"Duluth-Superior, MN/WI","45,342",16,Duluth/Superior (MI/WI),"46,498","Tampa, FL","46,231"
18,"Baltimore, MD","43,413",17,Baltimore (MD),"41,251","Hampton Roads, VA","45,573"
19,"Pittsburgh, PA","41,837",18,Paulsboro (NJ),"37,984","Baltimore, MD","42,439"
20,"Tampa, FL","39,676",19,Valdez (AK),"37,775","Pittsburgh, PA","41,982"
21,"Paulsboro, NJ","36,352",20,Savannah (GA),"36,486","Paulsboro, NJ","39,244"
22,"Valdez, AK","35,967",21,Pascagoula (MS),"35,195","Philadelphia, PA","38,597"
23,"Savannah, GA","35,394",22,Philadelphia (PA),"35,149","Pascagoula, MS","37,652"
24,"Pascagoula, MS","33,590",23,Portland (WA),"31,119","Valdez, AK","36,153"
25,"Philadelphia, PA","32,283",24,Freeport (TX),"29,598","Savannah, GA","33,971"
26,"Port Arthur, TX","317,527",25,Port Arthur (TX),"29,262","Freeport, TX","32,147"
27,"Freeport, TX","29,842",26,Seattle (WA),"28,169","St. Louis, MO/IL","31,317"
28,"St. Louis, MO and IL","29,512",27,Tacoma (WA),"26,944","Portland, OR","28,472"
29,"Tacoma, WA","27,166",28,Richmond (CA),"24,992","Port Arthur, TX","28,403"
30,"Portland, OR","26,668",29,Marcus Hook (PA),"24,785","Seattle, WA","27,974"
31,"Richmond, CA","26,357",30,Chicago (IL),"24,482","Charleston, SC","26,425"
32,"Seattle, WA","26,169",31,Portland (ME),"24,254","Tacoma, WA","26,033"
33,"Marcus Hook, PA","24,671",32,Port Everglades (FL),"24,216","Chicago, IL","25,706"
34,"Chicago, IL","22,660",33,Charleston (SC),"22,616","Richmond, CA","25,629"
35,"Portland, ME","22,124",34,Boston(MA),"22,370","Portland, ME","25,242"
36,"Port Everglades, FL","21,652",35,Jacksonville (FL),"21,207","Port Everglades, FL","24,824"
37,"Jacksonville, FL","21,050",36,Honolulu (HI),"17,582","Jacksonville, FL","22,210"
38,"Boston, MA","21,035",37,Oakland (CA),"16,912","Boston, MA","21,853"
39,"Charleston, SC","20,936",38,Indiana Harbor (IN),"15,026","Marcus Hook, PA","20,093"
40,"Oakland, CA","17,810",39,Detroit (MI),"14,943","Memphis, TN","19,100"
41,"Memphis, TN","16,361",40,Anacortes (WA),"14,341","Detroit, MI","17,353"
42,"Indiana Harbor, IN","15,381",41,Two Harbors (MI),"13,672","Oakland, CA","16,642"
43,"Honolulu, HI","14,006",42,Cleveland (OH),"12,793","Honolulu, HI","16,224"
44,"Cincinnati, OH","13,445",43,Toledo (OH),"12,468","Indiana Harbor, IN","16,164"
45,"Two Harbors, MN","13,433",44,San Juan (PR),"12,226","Cleveland, OH","15,187"
46,"Kalama, WA","12,935",45,Barbers Point (HI),"11,295","Anacortes, WA","15,147"
47,"Detroit, MI","12,836",46,Port Lavaca (TX),"10,862","Two Harbors, MN","13,420"
48,"Anacortes, WA","11,468",47,Kalama (WA),"10,400","Cincinnati, OH","13,334"
49,"San Juan, PR","10,973",48,Galveston (TX),"9,791","San Juan, PR","12,948"
