,CONTAINER HANDLING PORTS OF MEXICO,2010 TEU,TEU 2009,2008 TEU,2007 TEU,2006 TEU,2005 TEU,2004 TEU,2003 TEU,2002 TEU,2001 TEU,2000 TEU,1999 TEU,2010 TEU,2009 TEU,2008 TEU,2007 TEU,2006 TEU,2005 TEU,2004 TEU,2003 TEU,2002 TEU,2001 TEU,2000 TEU,1999 TEU
2,GULF OF MEXICO,,,,,,,,,,,,,,,,,,,,,,,,
3,Altamira (TAMPS),"488,013","400,968","436,119","407,625","342,616","324,601","297,017","256,417","225,937","206,864","182,545","166,191","4,217,942","3,748,092","3,823,796","3,724,130","3,056,784","2,980,465","2,872,530","2,588,799","2,175,602","1,879,369","1,642,009","1,515,189"
4,Coatzacoalcos (VER),-,-,-,-,-,-,-,-,-,-,-,412,,,0,0,0,0,0,0,0,0,0,"4,305"
5,Dos Bocas (TAB),-,19,46,110,49,265,148,64,-,-,-,-,0,107,541,"1,188",566,"1,601",0,0,0,0,0,0
6,Progreso (YUC.),"56,434","53,517","66,477","75,584","75,939","71,837","68,153","60,369","59,140","65,353","59,199","43,017","346,072","302,682","362,601","397,193","401,421","395,437","369,085","339,459","325,312","374,650","319,338","216,154"
7,Puerto Morelos,"4,657","4,306","7,586","7,942","8,917","8,245","7,508","7,515","6,958","7,250","7,207","7,218","16,062","15,631","21,959","22,367","23,650","25,020","25,148","26,864","23,898","23,600","26,117","21,693"
8,Seybaplaya (CAM.),0,0,2,5,64,16,-,-,-,-,-,-,,,0,56,"1,210",230,0,0,0,0,0,0
9,Tampico (TAMPS.),"2,229","5,936","11,152","11,040","10,243","9,001","9,966","14,347","18,848","29,531","49,462","47,898","8,804","30,154","61,005","75,553","80,939","81,731","92,339","123,556","156,646","212,442","344,489","327,771"
10,Tuxpan (VER.),18,76,25,8,27,15,2,101,286,341,96,237,67,268,95,69,79,744,0,"1,134","2,383","1,546","1,596","2,294"
11,Veracruz (VER.),"677,596","564,315","716,046","729,717","671,281","620,858","591,736","571,867","548,422","543,327","540,014","484,523","5,250,859","4,419,973","5,380,861","5,456,754","5,161,857","4,614,880","4,304,013","4,011,139","3,870,744","3,800,692","3,925,802","3,326,377"
12,GULF TOTAL,"1,228,947","1,029,137","1,237,453","1,232,031","1,109,136","1,034,838","974,530","910,680","859,591","852,666","838,523","749,496","9,839,806","8,516,907","9,650,858","9,677,310","8,726,506","8,100,108","7,663,115","7,090,951","6,554,585","6,292,299","6,259,351","5,413,783"
13,PACIFIC COAST,,,,,,,,,,,,,,,,,,,,,,,,
14,El Sauzal (B.C.),-,2,39,-,-,8,6,-,132,0,0,0,0,0,245,0,0,91,0,0,n/a,0,0,0
15,Ensenada (B.C.S.),"135,606","110,952","110,423","120,324","123,711","75,101","38,803","46,332","53,142","26,016","26,822","20,744","898,101","811,598","861,154","865,643","718,445","501,453","287,510","258,486","326,832","157,065","150,851","120,890"
16,Guaymas (SON.),4,3,0,4,45,0,16,36,33,0,161,-,41,48,0,39,657,0,160,255,223,0,"4,951",
17,Lazaro Cardenas (MICH.),"796,011","585,449","524,791","269,928","160,696","132,479","42,492","1,646",134,0,759,"4,468","6,651,222","4,461,701","3,180,633","1,296,758","848,024","772,693","231,092","18,700","1,666",0,"3,016","32,577"
18,Manzanillo (COL.),"1,509,378","1,110,350","1,409,782","1,411,146","1,252,215","872,569","830,779","709,209","638,597","458,472","426,717","321,893","12,017,087","9,356,898","11,740,174","10,820,986","9,767,392","6,319,804","6,210,327","5,175,647","4,792,848","3,468,455","3,350,010","2,617,491"
19,Mazatlan (SIN.),"25,795","29,322","27,938","29,349","30,946","17,559","16,128","16,394","12,900","18,315","16,811","15,228","295,839","306,879","285,462","271,564","293,947","173,938","159,783","188,445","137,336","195,266","148,886","153,825"
20,Pichilingue (B.C.S.),-,,-,28,-,-,-,-,-,-,-,-,0,0,0,130,0,0,0,0,0,0,0,0
21,Puerto Chiapas (CHIS.),"3,590",,"1,102",80,-,-,-,-,-,-,-,-,"21,424",0,"5,934",440,0,0,0,0,0,0,0,0
22,Salina Cruz (OAX.),"5,434","13,141","4,714",734,0,922,0,"1,070",144,"3,193","5,413","7,690","53,868","134,578","40,770","7,425",0,"4,336",0,"8,967","1,101","31,957","48,536","58,730"
23,San Carlos (B.C.S.),,,-,-,-,-,-,-,-,-,362,583,0,0,0,0,0,0,0,0,0,0,"1,591","5,023"
24,PACIFIC TOTAL,"2,475,818","1,849,217","2,078,789","1,831,593","1,567,613","1,098,630","928,218","774,687","704,950","505,996","469,808","368,283","19,937,582","15,071,702","16,114,372","13,262,985","11,628,465","7,772,315","6,888,872","5,650,500","5,260,006","3,852,743","3,707,841","2,988,536"
25,NATIONAL TOTAL,"3,704,765","2,878,354","3,316,242","3,063,624","2,676,749","2,133,468","1,902,748","1,685,367","1,564,541","1,358,662","1,308,331","1,117,779","29,777,388","23,588,609","25,765,230","22,940,295","20,354,971","15,872,423","14,551,987","12,741,451","11,814,591","10,145,042","9,967,192","8,402,319"
