,Origin,Destination,Transit,Service,Origin Trade Region
1,Abu Dhabi,Charleston SC,32,MSC ‐ Indus Express,Mideast
2,Alexandria Egypt,Charleston SC,22,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
3,Algeciras,Charleston SC,12,Maersk Line ‐‐ APL/SeaLand ‐ MECL1,Mediterranean
4,Algeciras,Charleston SC,14,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
5,Algeciras,Charleston SC,20,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
6,Aliaga,Charleston SC,23,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
7,Altamira MEX,Charleston SC,13,2M Alliance ‐‐ Hamburg Sud/SeaLand ‐ TA3/NEUATL3,Mexico
8,Antwerp,Charleston SC,13,OCEAN Alliance ‐ Victory Bridge‐VICTORY,North Europe
9,Antwerp,Charleston SC,16,2M Alliance ‐ TA1/NEUATL1,North Europe
10,Antwerp,Charleston SC,21,THE Alliance ‐ Transatlantic Loop 3‐AL3,North Europe
11,Antwerp,Charleston SC,22,2M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2,North Europe
12,Antwerp,Charleston SC,28,OCEAN Alliance ‐ Liberty Bridge‐LIBERTY,North Europe
13,Balboa,Charleston SC,5,Wan Hai ‐ Asia America Service IX‐AA9 rtw,Central America
14,Bremerhaven,Charleston SC,10,OCEAN Alliance ‐ Victory Bridge‐VICTORY,North Europe
15,Bremerhaven,Charleston SC,12,2M Alliance ‐ TA1/NEUATL1,North Europe
16,Bremerhaven,Charleston SC,21,OCEAN Alliance ‐ Liberty Bridge‐LIBERTY,North Europe
17,Bremerhaven,Charleston SC,25,2M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2,North Europe
18,Buenos Aires,Charleston SC,30,Hamburg Sud/Hapag‐Lloyd ‐‐ Alianca/Maersk Line/SeaLand ‐ TANGO/SEC,East Coast of South America
19,Busan,Charleston SC,28,ZIM ‐‐ Alianca/Hamburg Sud/Maersk Line/MSC/SeaLand ‐ ZCP,"Asia: Russian Far East, Japan, Korea"
20,Busan,Charleston SC,29,Maersk/SeaLand ‐ Asia‐USEC‐TP20 rtw,"Asia: Russian Far East, Japan, Korea"
21,Busan,Charleston SC,30,Sea Lead/TS Lines ‐ Asia East Coast‐AEC,"Asia: Russian Far East, Japan, Korea"
22,Busan,Charleston SC,31,THE Alliance ‐ North America East Coast‐EC1,"Asia: Russian Far East, Japan, Korea"
23,Busan,Charleston SC,39,CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBX,"Asia: Russian Far East, Japan, Korea"
24,Busan,Charleston SC,46,THE Alliance ‐ North America East Coast 2‐EC2,"Asia: Russian Far East, Japan, Korea"
25,Cai Mep (near Ho Chi Minh),Charleston SC,28,ZIM ‐‐ 2M Alliance ‐ ZSE rtw,Asia: Southeast Asia
