,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,NAFTA REGION CONTAINER TRAFFIC,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,2017 PORT RANKING BY TEUs,,,,,,
1,2017,,,,,Absolute Percent 2016 2017,,,,Absolute,Percent,2016
2,,Port,Country,2017,2016,Port,Country,2017,2016,,,
3,Rank,,,,,Change Change Rank Rank,,,,Change,Change,Rank
4,1,Los Angeles,United States,"9,343,192","8,856,783","486,409 5.5% 1 26 Anchorage",United States,"460,678","471,166","-10,488",-2.2%,25
5,2,Long Beach,United States,"7,544,507","6,775,170","769,337 11.4% 2 27 Wilmington (DE)",United States,"374,600","362,492","12,108",3.3%,27
6,3,New York/New Jersey,United States,"6,710,817","6,251,953","458,864 7.3% 3 28 Mobile",United States,"318,889","272,734","46,155",16.9%,28
7,4,Savannah,United States,"4,046,212","3,644,521","401,691 11.0% 4 29 Palm Beach (fy)",United States,"282,290","267,280","15,010",5.6%,29
8,5,Seattle/Tacoma Alliance,United States,"3,665,329","3,615,752","49,577 1.4% 5 30 Boston",United States,"270,881","248,391","22,490",9.1%,31
9,6,Vancouver (BC),Canada,"3,252,223","2,929,585","322,638 11.0% 6 31 Wilmington (NC)",United States,"259,819","260,195",-376,-0.1%,30
10,7,Hampton Roads,United States,"2,841,016","2,655,707","185,309 7.0% 7 32 Ensenada",Mexico,"230,185","191,708","38,477",20.1%,33
11,8,Manzanillo,Mexico,"2,830,370","2,578,822","251,548 9.8% 8 33 Gulfport",United States,"216,683","165,095","51,588",31.2%,34
12,9,Houston,United States,"2,459,107","2,182,894","276,213 12.7% 10 34 Penn Terminals",United States,"201,096","158,083","43,013",27.2%,35
13,10,Oakland,United States,"2,420,837","2,369,641","51,196 2.2% 9 35 Apra (GU)",United States,"198,681","198,209",472,0.2%,32
14,11,Charleston,United States,"2,177,550","1,996,276","181,274 9.1% 11 36 San Diego",United States,"132,566","142,764","-10,198",-7.1%,36
15,12,Montreal,Canada,"1,537,669","1,447,566","90,103 6.2% 12 37 Hueneme",United States,"119,170","83,600","35,570",42.5%,40
16,13,San Juan (fy),United States,"1,319,572","1,084,374","235,198 21.7% 14 38 Kahului (fy)",United States,"113,725","109,065","4,660",4.3%,37
17,14,Honolulu (fy),United States,"1,204,568","1,211,997","-7,429 -0.6% 13 39 Progreso",Mexico,"91,318","67,842","23,476",34.6%,42
18,15,Lazaro Cardenas,Mexico,"1,149,079","1,115,452","33,627 3.0% 15 40 Freeport",United States,"85,540","91,411","-5,871",-6.4%,38
19,16,Veracruz,Mexico,"1,117,304","965,294","152,010 15.7% 19 41 Kawaihae (fy)",United States,"82,870","81,407","1,463",1.8%,41
20,17,Port Everglades (fy),United States,"1,076,893","1,037,226","39,667 3.8% 16 42 Saint John",Canada,"57,402","90,262","-32,860",-36.4%,39
21,18,Jacksonville (fy),United States,"1,033,068","968,279","64,789 6.7% 18 43 Tampa",United States,"56,555","49,716","6,839",13.8%,44
22,19,Miami (fy),United States,"1,024,338","1,028,156","-3,818 -0.4% 17 44 Nawiliwili (fy)",United States,"52,374","50,814","1,560",3.1%,43
23,20,Baltimore,United States,"962,484","869,485","92,999 10.7% 20 45 Mazatlan",Mexico,"48,380","35,285","13,095",37.1%,48
24,21,Prince Rupert,Canada,"926,540","736,663","189,877 25.8% 21 46 Hilo (fy)",United States,"47,875","42,731","5,144",12.0%,46
25,22,Altamira,Mexico,"803,222","684,931","118,291 17.3% 22 47 Nanaimo",Canada,"44,160","43,024","1,136",2.6%,45
26,23,Halifax,Canada,"559,242","480,722","78,520 16.3% 24 48 Manatee",United States,"39,726","28,191","11,535",40.9%,50
27,24,Philadelphia,United States,"545,408","459,701","85,707 18.6% 26 49 Panama City",United States,"35,462","29,626","5,836",19.7%,49
28,25,New Orleans,United States,"532,597","522,364","10,233 2.0% 23 50 Galveston",United States,"33,752","35,414","-1,662",-4.7%,47
