,Port Rank 2017-2016 US PORTS,Ports USA 2017-2016,Country 2017,2017 TEU,2016 TEU USA,Country 2017 - 2016
4,1,Los Angeles,United States,"9,343,192","8,856,783",United States
5,2,Long Beach,United States,"7,544,507","6,775,170",United States
6,3,New York/New Jersey,United States,"6,710,817","6,251,953",United States
7,4,Savannah,United States,"4,046,212","3,644,521",United States
8,5,Seattle/Tacoma Alliance,United States,"3,665,329","3,615,752",United States
9,6,Vancouver (BC),Canada,"3,252,223","2,929,585",United States
10,7,Hampton Roads,United States,"2,841,016","2,655,707",Mexico
11,8,Manzanillo,Mexico,"2,830,370","2,578,822",United States
12,9,Houston,United States,"2,459,107","2,182,894",United States
13,10,Oakland,United States,"2,420,837","2,369,641",United States
14,11,Charleston,United States,"2,177,550","1,996,276",United States
15,12,Montreal,Canada,"1,537,669","1,447,566",United States
16,13,San Juan (fy),United States,"1,319,572","1,084,374",United States
17,14,Honolulu (fy),United States,"1,204,568","1,211,997",Mexico
18,15,Lazaro Cardenas,Mexico,"1,149,079","1,115,452",United States
19,16,Veracruz,Mexico,"1,117,304","965,294",United States
20,17,Port Everglades (fy),United States,"1,076,893","1,037,226",Canada
21,18,Jacksonville (fy),United States,"1,033,068","968,279",United States
22,19,Miami (fy),United States,"1,024,338","1,028,156",United States
23,20,Baltimore,United States,"962,484","869,485",Mexico
24,21,Prince Rupert,Canada,"926,540","736,663",United States
25,22,Altamira,Mexico,"803,222","684,931",Canada
26,23,Halifax,Canada,"559,242","480,722",United States
27,24,Philadelphia,United States,"545,408","459,701",United States
28,25,New Orleans,United States,"532,597","522,364",United States
