,2,Period | South Carolina Ports,Intermodal Drays South Carolina Ports,Total Pier Container History South Carolina Ports,Total  TEU History  South Carolin PORTS
3,2,"July, 1997",0,"5 8,809","1 00,518"
4,3,"August, 1997",0,"5 8,894","9 9,734"
5,4,"September, 1997",0,"5 8,213","9 9,161"
6,5,"October, 1997",0,"6 2,173","1 05,290"
7,6,"November, 1997",0,"5 7,429","9 6,651"
8,7,"December, 1997",0,"6 5,300","1 11,312"
9,8,"January, 1998",0,"6 1,933","1 06,689"
10,9,"February, 1998",0,"6 1,265","1 04,517"
11,10,"March, 1998",0,"6 7,955","1 16,459"
12,11,"April, 1998",0,"6 1,890","1 06,329"
13,12,"May, 1998",0,"6 4,386","1 10,705"
14,13,"June, 1998",0,"5 9,385","1 01,894"
15,14,"July, 1998",0,"5 9,024","1 01,510"
16,15,"August, 1998",0,"6 3,511","1 10,132"
17,16,"September, 1998",0,"5 7,351","9 7,899"
18,17,"October, 1998",0,"6 2,551","1 08,101"
19,18,"November, 1998",0,"6 2,167","1 07,626"
20,19,"December, 1998",0,"6 1,671","1 05,653"
21,20,"January, 1999",0,"6 1,763","1 06,752"
22,21,"February, 1999",0,"6 0,958","1 06,428"
23,22,"March, 1999",0,"6 9,341","1 20,958"
24,23,"April, 1999",0,"7 1,835","1 24,223"
25,24,"May, 1999",0,"7 4,358","1 27,222"
26,25,"June, 1999",0,"7 5,898","1 31,114"
27,26,"July, 1999",0,"7 2,328","1 24,533"
28,27,"August, 1999",0,"7 4,315","1 28,500"
29,28,"September, 1999",0,"7 3,543","1 26,151"
30,29,"October, 1999",0,"7 7,198","1 33,002"
31,30,"November, 1999",0,"7 5,003","1 29,754"
32,31,"December, 1999",0,"7 4,126","1 28,007"
33,32,"January, 2000",0,"7 3,878","1 29,412"
34,33,"February, 2000",0,"7 0,409","1 23,147"
35,34,"March, 2000",0,"8 0,036","1 40,750"
36,35,"April, 2000",0,"7 7,860","1 35,976"
37,36,"May, 2000",0,"7 4,581","1 31,121"
38,37,"June, 2000",0,"8 3,062","1 44,114"
39,38,"July, 2000",0,"8 1,507","1 42,801"
40,39,"August, 2000",0,"7 9,425","1 38,864"
41,40,"September, 2000",0,"7 8,782","1 37,687"
42,41,"October, 2000",0,"7 7,283","1 34,857"
43,42,"November, 2000",0,"7 9,578","1 37,261"
44,43,"December, 2000",0,"8 0,873","1 39,985"
45,44,"January, 2001",0,"7 1,334","1 21,575"
46,45,"February, 2001",0,"7 5,940","1 30,857"
47,46,"March, 2001",0,"8 1,292","1 41,422"
48,47,"April, 2001",0,"7 2,886","1 26,237"
49,48,"May, 2001",0,"8 0,516","1 39,990"
50,49,"June, 2001",0,"7 3,798","1 28,042"
51,50,"July, 2001",0,"6 8,212","1 18,683"
52,51,"August, 2001",0,"7 4,008","1 29,607"
53,52,"September, 2001",0,"6 7,551","1 18,778"
54,53,"October, 2001",0,"7 6,310","1 33,368"
55,54,"November, 2001",0,"7 2,970","1 27,718"
56,55,"December, 2001",0,"6 6,811","1 15,494"
57,56,"January, 2002",0,"5 8,843","1 01,724"
58,57,"February, 2002",0,"6 8,909","1 19,610"
59,58,"March, 2002",0,"8 0,973","1 40,645"
60,59,"April, 2002",0,"7 2,491","1 25,433"
61,60,"May, 2002",0,"7 9,049","1 37,556"
62,61,"June, 2002",0,"8 0,513","1 40,768"
63,62,"July, 2002",0,"7 3,933","1 28,973"
64,63,"August, 2002",0,"8 4,490","1 49,138"
65,64,"September, 2002",0,"7 4,560","1 31,065"
66,65,"October, 2002",0,"7 7,591","1 36,749"
67,66,"November, 2002",0,"7 8,289","1 37,881"
68,67,"December, 2002",0,"8 2,201","1 43,294"
69,68,"January, 2003",0,"7 5,865","1 32,010"
70,69,"February, 2003",0,"7 4,952","1 31,391"
71,70,"March, 2003",0,"8 9,045","1 56,648"
72,71,"April, 2003",0,"8 0,740","1 41,656"
73,72,"May, 2003",0,"7 9,038","1 39,100"
74,73,"June, 2003",0,"8 7,606","1 53,819"
75,74,"July, 2003",0,"7 9,148","1 38,807"
76,75,"August, 2003",0,"8 5,385","1 50,770"
77,76,"September, 2003",0,"7 4,916","1 32,881"
78,77,"October, 2003",0,"8 4,139","1 48,191"
79,78,"November, 2003",0,"8 1,728","1 42,738"
80,79,"December, 2003",0,"7 0,377","1 22,838"
81,80,"January, 2004",0,"7 8,225","1 36,891"
82,81,"February, 2004",0,"7 9,713","1 37,882"
83,82,"March, 2004",0,"8 9,478","1 55,606"
84,83,"April, 2004",0,"8 8,260","1 54,258"
85,84,"May, 2004",0,"9 3,939","1 62,527"
86,85,"June, 2004",0,"8 1,389","1 41,199"
87,86,"July, 2004",0,"9 4,108","1 61,715"
88,87,"August, 2004",0,"9 4,835","1 65,008"
89,88,"September, 2004",0,"8 7,971","1 51,332"
90,89,"October, 2004",0,"1 02,413","1 75,402"
91,90,"November, 2004",0,"8 9,457","1 55,260"
92,91,"December, 2004",0,"9 5,492","1 66,838"
93,92,"January, 2005",0,"9 3,676","1 63,108"
94,93,"February, 2005",0,"8 6,877","1 51,592"
95,94,"March, 2005",0,"9 5,703","1 66,235"
96,95,"April, 2005",0,"9 8,254","1 72,388"
97,96,"May, 2005",0,"1 03,809","1 82,214"
98,97,"June, 2005",0,"9 1,733","1 59,784"
99,98,"July, 2005",0,"9 9,972","1 76,361"
100,99,"August, 2005",0,"9 5,228","1 66,396"
101,100,"September, 2005",0,"8 9,079","1 55,790"
102,101,"October, 2005",0,"9 5,935","1 69,034"
103,102,"November, 2005",0,"9 3,547","1 63,121"
104,103,"December, 2005",0,"9 1,379","1 58,865"
105,104,"January, 2006",0,"9 4,928","1 66,094"
106,105,"February, 2006",0,"8 6,819","1 51,593"
107,106,"March, 2006",0,"9 2,147","1 60,807"
108,107,"April, 2006",0,"9 4,627","1 66,156"
109,108,"May, 2006",0,"9 7,068","1 69,831"
110,109,"June, 2006",0,"9 9,353","1 74,760"
111,110,"July, 2006",0,"9 4,538","1 66,038"
112,111,"August, 2006",0,"9 5,654","1 67,541"
113,112,"September, 2006",0,"9 3,021","1 63,173"
114,113,"October, 2006",0,"9 7,025","1 70,577"
115,114,"November, 2006",0,"8 7,103","1 51,748"
116,115,"December, 2006",0,"9 1,582","1 60,157"
117,116,"January, 2007",0,"8 2,802","1 44,169"
118,117,"February, 2007",0,"8 1,162","1 41,954"
3,2,"March, 2007",0,"9 3,909","1 63,956"
4,3,"April, 2007",0,"8 6,880","1 53,114"
5,4,"May, 2007",0,"8 4,352","1 47,191"
6,5,"June, 2007",0,"8 8,082","1 54,033"
7,6,"July, 2007",0,"7 9,834","1 37,748"
8,7,"August, 2007",0,"8 7,563","1 51,233"
9,8,"September, 2007",0,"8 3,615","1 45,544"
10,9,"October, 2007",0,"7 9,176","1 39,132"
11,10,"November, 2007",0,"8 1,340","1 41,573"
12,11,"December, 2007",0,"7 7,037","1 34,729"
13,12,"January, 2008",0,"7 4,538","1 28,874"
14,13,"February, 2008",0,"8 1,278","1 40,913"
15,14,"March, 2008",0,"7 9,762","1 39,474"
16,15,"April, 2008",0,"7 9,083","1 37,695"
17,16,"May, 2008",0,"8 9,437","1 57,553"
18,17,"June, 2008",0,"8 0,128","1 40,036"
19,18,"July, 2008",0,"7 9,419","1 38,191"
20,19,"August, 2008",0,"8 5,685","1 49,195"
21,20,"September, 2008",0,"7 1,606","1 26,156"
22,21,"October, 2008",0,"8 3,874","1 46,878"
23,22,"November, 2008",0,"7 0,969","1 23,231"
24,23,"December, 2008",0,"6 1,244","1 07,339"
