, Year, TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
0,2022.0,EXPORT EMPTY,"52,103","54,141","61,093","66,405","73,638","59,788","60,020","55,630",,,,"482,817"
1,2022.0,LOADED,"54,256","54,755","69,017","55,571","53,312","44,694","49,309","51,884",,,,"432,798"
2,2022.0,TOTAL,"106,358","108,896","130,110","121,976","126,949","104,482","109,329","107,514",,,,"915,614"
3,2022.0,IMPORT EMPTY,"2,976","1,942","2,021","1,392","1,835","1,653","1,923","2,034",,,,"15,776"
4,2022.0,LOADED,"117,181","119,582","132,203","140,730","126,320","90,090","104,846","113,864",,,,"944,815"
5,2022.0,TOTAL,"120,157","121,524","134,224","142,122","128,155","91,743","106,768","115,898",,,,"960,591"
6,2022.0,SUBTOTAL,"226,515","230,420","264,334","264,099","255,104","196,225","216,097","223,411",,,,"1,876,205"
7,2021.0,EXPORT EMPTY,"48,224","29,293","46,872","42,252","44,445","48,037","54,188","51,084 42,152","53,612","48,819","64,055","573,031"
8,2021.0,LOADED,"67,937","67,411","79,077","73,333","73,281","68,990","65,655","65,207 61,705","67,595","67,639","57,136","814,964"
9,2021.0,TOTAL,"116,161","96,704","125,949","115,585","117,726","117,027","119,842","116,291 103,858","121,207","116,458","121,190","1,387,995"
10,2021.0,IMPORT EMPTY,"4,626","3,666","8,981","4,497","6,095","9,064","5,534","3,727 2,943","5,943","7,172","6,298","68,547"
11,2021.0,LOADED,"95,478","81,899","113,867","105,054","107,050","105,668","119,445","114,671 98,208","107,773","127,081","118,710","1,294,901"
12,2021.0,TOTAL,"100,104","85,565","122,848","109,551","113,145","114,732","124,979","118,398 101,151","113,716","134,254","125,008","1,363,447"
13,2021.0,SUBTOTAL,"216,265","182,269","248,796","225,136","230,870","231,758","244,821","234,688 205,008","234,923","250,711","246,198","2,751,442"
14,2020.0,EXPORT EMPTY,"44,752","29,117","28,911","31,463","32,400","25,021","35,140","42,817 38,804","44,717","45,090","43,990","442,221"
15,2020.0,LOADED,"68,505","74,235","73,077","56,611","58,972","57,935","57,628","66,825 60,245","69,093","64,447","67,239","774,811"
16,2020.0,TOTAL,"113,257","103,351","101,987","88,075","91,372","82,956","92,768","109,642 99,049","113,810","109,537","111,229","1,217,032"
17,2020.0,IMPORT EMPTY,"7,098","5,684","7,625","5,178","5,262","3,762","2,676","2,230 5,653","5,824","4,161","4,810","59,962"
18,2020.0,LOADED,"90,665","88,178","76,019","82,899","73,072","69,775","81,530","96,965 90,399","96,563","93,369","93,568","1,033,001"
19,2020.0,TOTAL,"97,763","93,862","83,644","88,077","78,334","73,537","84,206","99,195 96,052","102,387","97,530","98,378","1,092,963"
20,2020.0,SUBTOTAL,"211,020","197,214","185,631","176,152","169,705","156,494","176,974","208,837 195,101","216,196","207,066","209,606","2,309,995"
21,2019.0,EXPORT EMPTY,"45,712","31,869","37,439","35,969","38,875","39,463","38,174","48,363 39,408","45,191","34,357","37,829","472,647"
22,2019.0,LOADED,"63,750","62,086","77,704","73,295","71,399","66,496","72,126","73,927 61,494","69,952","62,831","61,903","816,962"
23,2019.0,TOTAL,"109,461","93,955","115,143","109,264","110,273","105,958","110,300","122,290 100,902","115,143","97,188","99,732","1,289,609"
24,2019.0,IMPORT EMPTY,"8,120","6,510","6,095","7,682","6,175","8,371","7,535","7,599 3,935","6,914","4,955","6,371","80,262"
25,2019.0,LOADED,"88,107","77,667","92,875","87,675","88,009","86,076","92,707","103,221 90,111","95,302","82,785","81,779","1,066,314"
26,2019.0,TOTAL,"96,227","84,177","98,970","95,357","94,184","94,447","100,242","110,820 94,046","102,216","87,740","88,150","1,146,576"
