Port ,Short tons 1987
South Louisiana (LA),*
New York/New Jersey,"154,537"
Houston (TX),"112,546"
Valdez (AK0,"106,867"
Baton Rouge (LA),"73,401"
New Orleans (LA),"66,152"
Hampton Roads (VA),"62,965"
Corpus Christi (TX),"53,540"
Tampa (FL),"47,311"
Plaquemines (LA),"45,935"
Long Beach (CA),"45,899"
Los Angeles (CA),"40,461"
Mobile (AL),"39,362"
Baltimore (MD),"37,489"
Philadelphia (PA),"37,337"
Texas City (TX),"37,233"
Duluth/Superior (MI/WI),"36,463"
Lake Charles (LA),"31,731"
Beaumont (TX),"29,759"
Portland (WA),"28,813"
Pascagoula (MS),"27,825"
Richmond (CA),"21,431"
Chicago (IL),"20,705"
Port Arthur (TX),"20,616"
Boston(MA),"19,830"
Seattle (WA),"18,553"
Tacoma (WA),"17,130"
Toledo (OH),"16,212"
Lorain (OH),"14,372"
Detroit (MI),"14,130"
Port Everglades (FL),"14,046"
Freeport (TX),"14,003"
Cleveland (OH),"13,914"
Anacortes (WA),"13,687"
Jacksonville (FL),"13,497"
San Juan (PR),"13,452"
Indiana Harbor (IN),"13,335"
Savannah (GA),"13,202"
Honolulu (HI),"9,737"
New Haven (CT),"9,553"
Presque Isle (MI),"9,333"
Oakland (CA),"9,212"
Charleston (SC),"9,166"
Portland (ME),"9,151"
Ashtabula (OH),"8,888"
Galveston (TX),"8,684"
St. Clair (MI),"8,450"
Stoneport (MI),"8,186"
Calcite (MI),"8,159"
Longview (WA),"8,082"
Wilmington (NC),"7,929"
Coos Bay (OR),"7,762"
Taconite (MN),"7,555"
Providence (RI),"7,451"
Two Harbors (MI),"7,414"
Albany (NY),"7,375"
Everett (WA),"7,200"
Barbers Point (HI),"7,135"
Burns Waterway (IN),"7,093"
Conneaut (OH),"7,047"
Kalama (WA),"6,326"
Escanaba (MI),"6,113"
Morehead City (NC),"5,584"
Fall River (MA),"5,007"
Port Lavaca (TX),"4,995"
Grays Harbor (WA),"4,346"
Saginaw River (MI),"4,342"
Camden (NJ),"4,308"
Vancouver (WA),"4,275"
Miami (FL),"4,260"
Pensacola (FL),"4,244"
Portsmouth(NH),"3,502"
Wilmington (DE),"3,464"
Panama City (FL),"3,326"
Sandusky (OH),"3,319"
Bridgeport (CT),"3,036"
San Diego (CA),"2,956"
Port Angeles (WA),"2,873"
San Francisco (CA),"2,823"
Richmond (VA),"2,679"
Richmond (VA),"2,679"
Palm Beach (FL),"2,508"
Ketchikan (AK),"2,444"
Canaveral (FL),"2,175"
Milwaukee (WI),"2,161"
Anchorage (AK),"2,105"
Bellingham (WA),"2,104"
Fairport (OH),"2,077"
Kahului (HI),"2,035"
Alpena (MI),"1,969"
Brunswick (GA),"1,794"
Drummond Island (MI),"1,516"
Skagway (AK),"1,505"
Humboldt Bay (CA),"1,495"
Green Bay (WI),"1,431"
Salem (MA),"1,428"
Buffalo (NY),"1,423"
Stockton (CA),"1,389"
Hilo (HI),"1,366"
Astoria (OR),"1,240"
Brownsville (TX),"1,234"
Sacramento (CA),"1,227"
Hopewell (VA),"1,215"
Gulfport (MS),"1,208"
Muskegon (MI),"1,202"
Monroe (MI),"1,178"
New London (CT),"1,020"
Searsport (ME),978
Erie (PA),971
Seward (AK),940
Nawiliwili (HI),916
Sitka (AK),912
Olympia (WA),911
Ludington (MI),894
Wrangell (AK),875
Kawaihae (HI),871
Orange (TX),772
Georgetown(SC),678
Ponce (PR),671
Redwood City (CA),664
Marquette (MI),617
St. Thomas (VI),616
Bucksport (ME),599
Huron (OH),529
Port Townsend (WA),513
Hueneme (CA),513
Christiansted (VI),486
Waukegan (IL),458
New Bedford (MA),453
Mayaguez (PR),451
Oswego (NY),448
Marysville (MI),440
Kodiak (AK),437
Marine City (MI),419
Fernandina (FL),359
Juneau (AK),207.0
Fajardo (PR),174.0
Charlevoix (MI),127.0
Homer (AK),48.0
Kelleys Island (OH),6.0
Port Manatee,
Buffington (IN),
Marblehead (OH),
Paulsboro (NJ),
Marcus Hook (PA),
Silver Bay (MN),
Gary (IN),
Port Huron (MI),
Port Inland (MI),
