port,Short tons 1991
South Louisiana (LA),"189,654"
Houston (TX),"131,514"
New York/New Jersey,"126,861"
Valdez (AK0,"99,616"
Baton Rouge (LA),"87,630"
Hampton Roads (VA),"86,315"
New Orleans (LA),"60,898"
Corpus Christi (TX),"59,052"
Plaquemines (LA),"53,782"
Long Beach (CA),"52,981"
Tampa (FL),"49,548"
Los Angeles (CA),"47,008"
Texas City (TX),"43,290"
Mobile (AL),"41,343"
Lake Charles (LA),"41,237"
Baltimore (MD),"37,745"
Duluth/Superior (MI/WI),"37,716"
Philadelphia (PA),"37,257"
Port Arthur (TX),"29,835"
Pascagoula (MS),"29,572"
Portland (WA),"29,299"
Beaumont (TX),"22,383"
Chicago (IL),"21,767"
Seattle (WA),"20,897"
Richmond (CA),"19,919"
Tacoma (WA),"19,544"
Boston(MA),"18,562"
Jacksonville (FL),"16,364"
Freeport (TX),"15,666"
Port Everglades (FL),"14,499"
Anacortes (WA),"14,481"
Detroit (MI),"14,321"
San Juan (PR),"14,163"
Indiana Harbor (IN),"13,767"
Lorain (OH),"13,632"
Cleveland (OH),"13,406"
Savannah (GA),"13,337"
Two Harbors (MI),"12,501"
Toledo (OH),"12,073"
Honolulu (HI),"11,208"
Galveston (TX),"10,858"
Ashtabula (OH),"10,638"
Oakland (CA),"10,356"
Charleston (SC),"9,464"
Stoneport (MI),"9,317"
Barbers Point (HI),"9,002"
Calcite (MI),"8,814"
Taconite (MN),"8,684"
Burns Waterway (IN).1,"8,304"
New Haven (CT),"8,154"
Portland (ME),"8,032"
Longview (WA),"7,806"
Presque Isle (MI),"7,801"
Wilmington (NC),"7,175"
Escanaba (MI),"6,492"
Vancouver (WA),"6,485"
Conneaut (OH),"6,336"
Port Lavaca (TX),"6,266"
Providence (RI),"6,015"
Albany (NY),"5,967"
Kalama (WA),"5,881"
Camden (NJ),"5,668"
Coos Bay (OR),"5,523"
Everett (WA),"5,453"
Morehead City (NC),"5,237"
St. Clair (MI),"4,778"
Pensacola (FL),"4,760"
Miami (FL),"4,720"
Grays Harbor (WA),"4,488"
Wilmington (DE),"4,154"
Sandusky (OH),"4,018"
Marine City (MI),"3,896"
Saginaw River (MI),"3,895"
Fall River (MA),"3,884"
Portsmouth(NH),"3,537"
Bridgeport (CT),"3,268"
Canaveral (FL),"3,004"
Panama City (FL),"2,938"
San Francisco (CA),"2,898"
Port Angeles (WA),"2,680"
Kahului (HI),"2,434"
Anchorage (AK),"2,309"
Humboldt Bay (CA),"2,301"
Alpena (MI),"2,284"
New London (CT),"2,130"
Milwaukee (WI),"2,076"
Palm Beach (FL),"2,075"
Green Bay (WI),"2,068"
Fairport (OH),"2,052"
Richmond (VA),"1,909"
Richmond (VA),"1,909"
Buffalo (NY),"1,895"
Monroe (MI),"1,837"
Brunswick (GA),"1,719"
Brownsville (TX),"1,610"
Port Huron (MI),"1,609"
Port Manatee,"1,602"
Ketchikan (AK),"1,568"
Hilo (HI),"1,556"
Salem (MA),"1,552"
Stockton (CA),"1,491"
Bellingham (WA),"1,482"
Muskegon (MI),"1,358"
Charlevoix (MI),"1,312"
Skagway (AK),"1,290"
Sacramento (CA),"1,226"
Seward (AK),"1,181"
Bucksport (ME),"1,113"
Hopewell (VA),"1,101"
Erie (PA),"1,008"
Nawiliwili (HI),"1,005"
Georgetown(SC),962
Olympia (WA),945
Gulfport (MS),944
Ludington (MI),929
San Diego (CA),904
Searsport (ME),889
Orange (TX),849
Oswego (NY),818
Grand Haven (MI),792
Drummond Island (MI),786
Kawaihae (HI),745
Christiansted (VI),745
Ponce (PR),727
Wrangell (AK),714
Astoria (OR),660
Marquette (MI),634
Waukegan (IL),598
Kodiak (AK),571
Port Townsend (WA),546
St. Thomas (VI),526
Huron (OH),524
Marysville (MI),518
Redwood City (CA),507
Kelleys Island (OH),503
New Bedford (MA),503
Hueneme (CA),416
Mayaguez (PR),410
Fernandina (FL),367
Fajardo (PR),323
Juneau (AK),179
Homer (AK),82
Sitka (AK),-
Silver Bay (MN),
Buffington (IN),
Paulsboro (NJ),
Gary (IN),
Marblehead (OH),
Port Dolmite (MI),
