Port,Short tons 1994
South Louisiana (LA),"184,856"
Houston (TX),"143,663"
New York/New Jersey,"126,101"
Baton Rouge (LA),"86,246"
Valdez (AK0,"85,096"
Corpus Christi (TX),"78,124"
New Orleans (LA),"73,333"
Plaquemines (LA),"64,759"
Hampton Roads (VA),"62,746"
Long Beach (CA),"56,522"
Tampa (FL),"51,905"
Lake Charles (LA),"48,331"
Port Arthur (TX),"45,586"
Mobile (AL),"44,997"
Texas City (TX),"44,351"
Los Angeles (CA),"43,140"
Duluth/Superior (MI/WI),"41,819"
Baltimore (MD),"41,450"
Philadelphia (PA),"40,746"
Portland (WA),"30,164"
Pascagoula (MS),"30,049"
Chicago (IL),"29,422"
Richmond (CA),"24,094"
Seattle (WA),"22,336"
Beaumont (TX),"21,201"
Jacksonville (FL),"18,914"
Boston(MA),"18,870"
Detroit (MI),"18,718"
Port Everglades (FL),"18,135"
Tacoma (WA),"17,616"
Freeport (TX),"17,450"
San Juan (PR),"16,300"
Indiana Harbor (IN),"16,145"
Savannah (GA),"15,905"
Cleveland (OH),"15,284"
Lorain (OH),"14,748"
Portland (ME),"14,245"
Toledo (OH),"13,204"
Anacortes (WA),"12,950"
Oakland (CA),"12,914"
Honolulu (HI),"11,672"
Charleston (SC),"10,830"
Ashtabula (OH),"10,368"
Galveston (TX),"10,257"
Presque Isle (MI),"10,191"
Taconite (MN),"9,510"
New Haven (CT),"9,471"
Burns Waterway (IN),"9,344"
Two Harbors (MI),"9,288"
Barbers Point (HI),"9,022"
Stoneport (MI),"8,416"
Wilmington (NC),"7,913"
Escanaba (MI),"7,775"
Calcite (MI),"7,456"
Port Lavaca (TX),"7,380"
Providence (RI),"6,567"
Miami (FL),"6,517"
Longview (WA),"6,442"
Vancouver (WA),"6,281"
Albany (NY),"6,107"
St. Clair (MI),"5,887"
Camden (NJ),"5,669"
Conneaut (OH),"5,655"
Sandusky (OH),"5,422"
Kalama (WA),"5,351"
Saginaw River (MI),"5,119"
Wilmington (DE),"4,503"
Morehead City (NC),"4,195"
Everett (WA),"4,192"
Fall River (MA),"4,178"
Coos Bay (OR),"3,744"
Canaveral (FL),"3,625"
Marine City (MI),"3,572"
Portsmouth(NH),"3,479"
Brownsville (TX),"3,396"
Bridgeport (CT),"3,054"
Fairport (OH),"2,955"
Palm Beach (FL),"2,884"
Port Manatee,"2,730"
Alpena (MI),"2,672"
Milwaukee (WI),"2,641"
Anchorage (AK),"2,559"
Panama City (FL),"2,503"
Kahului (HI),"2,368"
Green Bay (WI),"2,288"
Monroe (MI),"2,035"
Muskegon (MI),"2,004"
Gulfport (MS),"1,842"
Ketchikan (AK),"1,759"
San Francisco (CA),"1,739"
Port Angeles (WA),"1,695"
Buffalo (NY),"1,685"
New London (CT),"1,675"
Grays Harbor (WA),"1,654"
Brunswick (GA),"1,626"
Stockton (CA),"1,609"
Charlevoix (MI),"1,549"
Sacramento (CA),"1,545"
Christiansted (VI),"1,543"
Olympia (WA),"1,514"
Drummond Island (MI),"1,474"
Pensacola (FL),"1,466"
Hilo (HI),"1,455"
Humboldt Bay (CA),"1,407"
Astoria (OR),"1,354"
Bellingham (WA),"1,343"
Bucksport (ME),"1,232"
Salem (MA),"1,227"
Marysville (MI),"1,175"
San Diego (CA),"1,167"
Nawiliwili (HI),"1,151"
Searsport (ME),"1,136"
Richmond (VA),"1,134"
Richmond (VA),"1,134"
Ludington (MI),"1,093"
Erie (PA),979
Seward (AK),961
Hopewell (VA),916
Grand Haven (MI),878
Huron (OH),871
Redwood City (CA),856
Port Huron (MI),839
Marquette (MI),822
Hueneme (CA),814
Kawaihae (HI),736
Georgetown(SC),706
Orange (TX),686
Ponce (PR),678
Waukegan (IL),604
New Bedford (MA),601
Fernandina (FL),588
Kodiak (AK),569
St. Thomas (VI),562
Wrangell (AK),547
Kelleys Island (OH),521
Oswego (NY),474
Mayaguez (PR),434
Port Townsend (WA),402
Homer (AK),377
Fajardo (PR),271
Juneau (AK),222
Skagway (AK),128
Sitka (AK),-
Silver Bay (MN),
Paulsboro (NJ),
Marblehead (OH),
Buffington (IN),
Gary (IN),
Port Inland (MI),
