port,2012 short tons
"South Louisiana, LA","252,069"
"Houston, TX","238,186"
New York/New Jersey,"132,040"
"New Orleans, LA","79,342"
"Beaumont, TX","78,515"
"Long Beach, CA","77,385"
"Hampton Roads, VA","76,727"
"Corpus Christi, TX","69,001"
"Los Angeles, CA","61,819"
"Baton Rouge, LA","59,993"
"Plaquemines, LA","58,280"
"Texas City, TX","56,722"
"Mobile, AL","54,888"
"Lake Charles, LA","54,382"
Huntington - Tristate,"52,912"
"Baltimore, MD","42,102"
"Pittsburgh, PA","35,155"
"St. Louis, MO and IL","34,985"
"Duluth-Superior, MN and WI","34,672"
"Savannah, GA","34,132"
"Pascagoula, MS","33,785"
"Tampa, FL","31,650"
"Port Arthur, TX","30,618"
"Philadelphia, PA","28,539"
"Valdez, AK","27,900"
"Portland, OR","25,549"
"Tacoma, WA","24,918"
"Seattle, WA","23,748"
"Richmond, CA","22,556"
"Freeport, TX","22,085"
"Port Everglades, FL","21,105"
"Charleston, SC","19,105"
"Oakland, CA","18,728"
"Paulsboro, NJ","17,373"
"Chicago, IL","17,090"
"Boston, MA","16,315"
"Two Harbors, MN","16,210"
"Jacksonville, FL","15,415"
"Honolulu, HI","14,321"
"Memphis, TN","13,564"
"Indiana Harbor, IN","13,164"
"Detroit, MI","12,929"
"Portland, ME","12,822"
"Longview, WA","12,193"
"Anacortes, WA","11,743"
"Galveston, TX","11,618"
Port Lavaca/Point Comfort,"11,589"
"Kalama, WA","11,523"
"Cleveland, OH","11,313"
"Cincinnati, OH","11,127"
"San Juan, PR","11,099"
"New Castle, DE","10,064"
"Barbers Point, Oahu, HI","10,046"
"Toledo, OH","9,639"
"Gary, IN","8,878"
"Burns Waterway Harbor, IN","8,383"
"New Haven, CT","7,807"
"Presque Isle, MI","7,741"
"Albany, NY","7,514"
"Providence, RI","7,043"
"Miami, FL","6,994"
"St. Clair, MI","6,753"
"Wilmington, NC","6,719"
"Stoneport, MI","6,304"
"Camden-Gloucester, NJ","6,170"
"Louisville, KY","6,095"
"Vancouver, WA","5,846"
"Brownsville, TX","5,601"
"Silver Bay, MN","5,495"
"Mount Vernon, IN","5,224"
"Wilmington, DE","5,113"
"St. Paul, MN","5,023"
"Calcite, MI","4,718"
"Kahului, Maui, HI","4,711"
"Port Inland, MI","4,659"
"Ashtabula, OH","4,540"
"Victoria, TX","4,518"
"Marcus Hook, PA","4,274"
"Conneaut, OH","3,990"
"Nikishka, AK","3,891"
"Stockton, CA","3,456"
"Port Manatee, FL","3,397"
"Escanaba, MI","3,318"
"Port Dolomite, MI","3,279"
"Morehead City, NC","3,249"
"Port Canaveral, FL","3,164"
"Greenville, MS","3,071"
"Penn Manor, PA","3,037"
"Sandusky, OH","2,952"
"Anchorage, AK","2,843"
"Kivilina, AK","2,767"
"Brunswick, GA","2,752"
"Tulsa, Port of Catoosa, OK","2,657"
"Vicksburg, MS","2,602"
"Chattanooga, TN","2,570"
"Alpena, MI","2,553"
"Portsmouth, NH","2,419"
"Marblehead, OH","2,392"
"Marquette, MI","2,354"
"Panama City, FL","2,326"
"Monroe, MI","2,308"
"Ponce, PR","2,301"
"Milwaukee, WI","2,267"
"Nashville, TN","2,238"
"Palm Beach, FL","2,065"
"Helena, AR","1,980"
"Hilo, HI","1,968"
"Coos Bay, OR","1,958"
"Green Bay, WI","1,958"
"Nawiliwili, Kauai, HI","1,947"
"Grays Harbor, WA","1,903"
"Gulfport, MS","1,888"
"Kawaihae Harbor, HI","1,837"
"Guntersville, AL","1,783"
"Morgan City, La, Port of","1,773"
"Muskegon, MI","1,690"
"Searsport, ME","1,654"
"Bridgeport, CT","1,593"
"Port Hueneme, CA","1,541"
"Fairport Harbor, OH","1,534"
"Buffington, IN","1,497"
"Everett, WA","1,479"
"Unalaska Island, AK","1,389"
"San Diego, CA","1,368"
"Olympia, WA","1,354"
"Chester, PA","1,253"
"Port Jefferson, NY","1,249"
"Kansas City, MO","1,206"
"Rosedale, MS","1,184"
"Drummond Island, MI","1,169"
"Biloxi, MS","1,047"
"Hopewell, VA",989
"Seward, AK.1",965.1
"Redwood City, CA",917.0
"Pensacola, FL",879.0
"Southeast Missouri Port, MO.1",877.1
"Elvis Stahr Harbor, KY",847.0
"San Francisco, CA",845.0
"Buffalo, NY",830.0
"Ketchikan, AK",784.0
"Aransas Pass, TX",782.0
"Fall River, MA",768.0
"Lake Providence, LA",733.0
"Orange, TX",732.0
"Port Angeles, WA",731.0
"Iliuliuk Harbor, AK",724.0
"Hempstead, NY",713.0
"Grand Haven, MI",712.0
"Natchez, MS",678.0
