Port,2013 short tons
"South Louisiana, LA","238,586"
"Houston, TX","229,247"
New York/New Jersey,"123,323"
"Beaumont, TX","94,404"
"Long Beach, CA","84,493"
"Hampton Roads, VA","78,664"
"New Orleans, LA","77,159"
"Corpus Christi, TX","76,158"
"Baton Rouge, LA","63,875"
"Los Angeles, CA","57,929"
"Plaquemines, LA","56,876"
"Lake Charles, LA","56,577"
"Mobile, AL","53,993"
"Texas City, TX","49,674"
Huntington - Tristate,"46,831"
"Baltimore, MD","36,579"
"Duluth-Superior, MN/WI","36,477"
"Port Arthur, TX","34,699"
"St. Louis, MO and IL","33,575"
"Pittsburgh, PA","32,746"
"Pascagoula, MS","32,428"
"Tampa, FL","32,407"
"Savannah, GA","31,990"
"Valdez, AK","28,166"
"Philadelphia, PA","26,046"
"Richmond, CA","23,544"
"Portland, OR","23,427"
"Tacoma, WA","22,906"
"Port Everglades, FL","21,703"
"Seattle, WA","20,564"
"Freeport, TX","19,716"
"Oakland, CA","19,333"
"Paulsboro, NJ","19,122"
"Charleston, SC","18,525"
"Boston, MA","17,088"
"Two Harbors, MN","16,709"
"Jacksonville, FL","16,472"
"Chicago, IL","15,429"
"Honolulu, HI","14,274"
"Memphis, TN","14,243"
"Longview, WA","13,712"
"Detroit, MI","12,981"
"Indiana Harbor, IN","12,354"
"Portland, ME","12,040"
"Marcus Hook, PA","11,925"
Cincinnati OH,"11,682"
"Cleveland, OH","11,454"
"Galveston, TX","11,407"
"Albany, NY","11,021"
Port Lavaca/Point Comfort (TX),"10,888"
"San Juan, PR","10,452"
"Anacortes, WA","9,889"
"Kalama, WA","9,786"
"Toledo, OH","8,837"
"Barbers Point, Oahu, HI","8,671"
"Gary, IN","8,669"
"New Haven, CT","8,351"
"Burns Waterway Harbor, IN","7,970"
"Presque Isle, MI","7,834"
"Providence, RI","7,750"
"St. Clair, MI","7,221"
"Miami, FL","7,125"
"New Castle, DE","6,919"
"Wilmington, NC","6,778"
"Port Fourchon, LA","6,626"
"Louisville, KY","6,403"
"Stoneport, MI","6,316"
"Wilmington, DE","6,146"
"Mount Vernon, IN","6,141"
"Calcite, MI","5,868"
"Camden-Gloucester, NJ","5,537"
"Brownsville, TX","5,533"
"Victoria, TX","5,520"
"Vancouver, WA","5,364"
"Kaskaskia, IL, Port of","5,208"
"Silver Bay, MN","5,164"
"Ashtabula, OH","4,954"
"Conneaut, OH","4,772"
"St. Paul, MN","4,625"
"Nikishka, AK","4,484"
"Port Inland, MI","4,023"
"Escanaba, MI","3,757"
"Kahului, Maui, HI","3,669"
"Marblehead, OH","3,580"
"Greenville, MS","3,474"
"Stockton, CA","3,452"
"Morehead City, NC","3,426"
"Terrebonne, LA, Port of","3,426"
"Port Canaveral, FL","3,337"
"Brunswick, GA","3,228"
"Milwaukee, WI","3,129"
"Port Dolomite, MI","3,088"
"Sandusky, OH","2,988"
"Anchorage, AK","2,949"
"Port Manatee, FL","2,736"
"Tulsa, Port of Catoosa, OK","2,681"
"Portsmouth, NH","2,679"
"Nashville, TN","2,633"
"Caruthersville Harbor, MO","2,599"
"Panama City, FL","2,326"
"Monroe, MI","2,308"
"Ponce, PR","2,301"
"Milwaukee, WI","2,267"
"Nashville, TN","2,238"
"Palm Beach, FL","2,065"
"Helena, AR","1,980"
"Hilo, HI","1,968"
"Coos Bay, OR","1,958"
"Green Bay, WI","1,958"
"Nawiliwili, Kauai, HI","1,947"
"Grays Harbor, WA","1,903"
"Gulfport, MS","1,888"
"Kawaihae Harbor, HI","1,837"
"Guntersville, AL","1,783"
"Morgan City, La, Port of","1,773"
"Muskegon, MI","1,690"
"Searsport, ME","1,654"
"Bridgeport, CT","1,593"
"Port Hueneme, CA","1,541"
"Fairport Harbor, OH","1,534"
"Buffington, IN","1,497"
"Everett, WA","1,479"
"Unalaska Island, AK","1,389"
"San Diego, CA","1,368"
"Olympia, WA","1,354"
"Chester, PA","1,253"
"Port Jefferson, NY","1,249"
"Kansas City, MO","1,206"
"Rosedale, MS","1,184"
"Drummond Island, MI","1,169"
"Biloxi, MS","1,047"
"Hopewell, VA",989
"Seward, AK",965
"Redwood City, CA",917
"Pensacola, FL",879
"Southeast Missouri Port, MO",877.0
"Elvis Stahr Harbor, KY",847.0
"San Francisco, CA",845.0
"Buffalo, NY",830.0
"Ketchikan, AK",784.0
"Aransas Pass, TX",782.0
"Fall River, MA",768.0
"Lake Providence, LA",733.0
"Orange, TX",732.0
"Port Angeles, WA",731.0
"Iliuliuk Harbor, AK",724.0
"Hempstead, NY",713.0
"Grand Haven, MI",712.0
"Natchez, MS",678.0
