Port,2014
"South Louisiana, LA","267,392"
"Houston, TX","234,304"
New York/New Jersey,"126,159"
"Beaumont, TX","87,284"
"Long Beach, CA","85,026"
"Corpus Christi, TX","84,928"
"New Orleans, LA","84,467"
"Hampton Roads, VA","73,701"
"Baton Rouge, LA","69,186"
"Mobile, AL","64,288"
"Los Angeles, CA","61,017"
"Lake Charles, LA","56,801"
"Plaquemines, LA","55,495"
Cincinnati-Northern KY,"49,930"
"Texas City, TX","47,885"
Huntington - Tristate,"46,414"
"St. Louis, MO /IL","38,873"
"Duluth-Superior, MN /WI","37,390"
"Baltimore, MD","37,157"
"Port Arthur, TX","36,670"
"Tampa, FL","35,194"
"Savannah, GA","34,359"
"Pittsburgh, PA","31,499"
"Pascagoula, MS","27,896"
"Valdez, AK","26,513"
"Richmond, CA","26,039"
"Portland, OR","25,143"
"Tacoma, WA","25,141"
"Port Everglades, FL","22,442"
"Seattle, WA","22,362"
"Freeport, TX","22,327"
"Charleston, SC","19,847"
"Oakland, CA","18,913"
"Philadelphia, PA","18,532"
"Paulsboro, NJ","17,864"
"Chicago, IL","17,483"
"Jacksonville, FL","17,301"
"Boston, MA","17,023"
"Two Harbors, MN","14,779"
"Memphis, TN","14,749"
"Honolulu, HI","14,613"
"Detroit, MI","14,147"
"Longview, WA","13,823"
"Indiana Harbor, IN","13,019"
"Cleveland, OH","12,999"
"Toledo, OH","11,278"
"Port Lavaca, TX","11,258"
"San Juan, PR","10,794"
"Kalama, WA","10,713"
"Marcus Hook, PA","10,696"
"Galveston, TX","10,669"
"Albany, NY","10,247"
"Barbers Point, Oahu, HI","10,058"
"Anacortes, WA","10,055"
"Portland, ME","9,661"
"Burns Waterway Harbor, IN","9,607"
"Gary, IN","9,314"
"Presque Isle, MI","9,100"
"New Haven, CT","8,711"
"Port Fourchon, LA","8,202"
"Vancouver, WA","8,162"
"Providence, RI","8,070"
"Louisville, KY","7,286"
"Miami, FL","7,142"
"Wilmington, DE","6,953"
"Brownsville, TX","6,948"
"St. Clair, MI","6,917"
"Mount Vernon, IN","6,699"
"Victoria, TX","6,476"
"New Castle, DE","6,285"
"Kaskaskia, IL, Port of","6,176"
"Camden-Gloucester, NJ","6,115"
"Calcite, MI","6,017"
"Silver Bay, MN","5,979"
"Stoneport, MI","5,937"
"Wilmington, NC","5,888"
"St. Paul, MN","4,984"
"Ashtabula, OH","4,834"
"Conneaut, OH","4,800"
"Stockton, CA","4,619"
"Escanaba, MI","4,553"
"Nikishka, AK","4,425"
"Terrebonne, LA, Port of","4,384"
"Penn Manor, PA","3,833"
"Port Inland, MI","3,797"
"Kahului, Maui, HI","3,739"
"Greenville, MS","3,644"
"Bridgeport, CT","3,332"
"Brunswick, GA","3,252"
"Port Canaveral, FL","3,149"
"Milwaukee, WI","2,977"
"Anchorage, AK","2,864"
"Portsmouth, NH","2,803"
"Monroe, MI","2,763"
"Vicksburg, MS","2,720"
"Port Dolomite, MI","2,682"
"Nashville, TN","2,646"
"Grays Harbor, WA","2,629"
"Morehead City, NC","2,624"
"Green Bay, WI","2,483"
"Panama City, FL","2,479"
"Kivilina, AK","2,477"
"Marblehead, OH","2,464"
"Tulsa, Port of Catoosa, OK","2,463"
"Iberia, LA","2,316"
"Redwood City, CA","2,271"
"Alpena, MI","2,249"
"Gulfport, MS","2,228"
"Hilo, HI","2,188"
"Sandusky, OH","2,139"
"Palm Beach, FL","2,135"
"Helena, AR","2,001"
"Port Manatee, FL","1,992"
"Chattanooga, TN","1,979"
"San Francisco, CA","1,892"
"Nawiliwili, Kauai, HI","1,874"
"Coos Bay, OR","1,859"
"Muskegon, MI","1,850"
"Kawaihae Harbor, HI","1,836"
"Biloxi, MS","1,818"
"Searsport, ME","1,798"
"Fairport Harbor, OH","1,719"
"Everett, WA","1,716"
"Guntersville, AL","1,644"
"Buffington, IN","1,589"
"Olympia, WA","1,563"
"Port Hueneme, CA","1,548"
"Chester, PA","1,539"
"Unalaska Island, AK","1,515"
"Natchez, MS","1,478"
"San Diego, CA","1,411"
"Kansas City, MO","1,390"
"Rosedale, MS","1,380"
"Fall River, MA","1,352"
"Aransas Pass, TX","1,301"
"Marquette, MI","1,273"
"Morgan City, LA","1,264"
"Lake Providence, LA","1,243"
"Port Jefferson, NY","1,194"
"Drummond Island, MI","1,122"
"Ketchikan, AK","1,020"
"Caruthersville Harbor, MO",975
"Lorain, OH",960
"Juneau, AK",929
"Pensacola, FL",926
"Hopewell, VA",926
"Elvis Stahr Harbor, KY",872
"Southeast Missouri Port, MO",871
"Orange, TX",818
