, , ,DESTINATION,Cut/Avail,M,Tu,W,Th,F,Sa,Su,Fastest
0,0,0,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,2 Days
1,1,1,"AUSTELL, GA",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,,,
2,2,2,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,3 Days
3,3,3,"CHARLOTTE, NC",AVAILABLE,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,Tu 0800,,
4,4,4,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,4 Days
5,5,5,"CHICAGO LANDERS, IL",AVAILABLE,F 1000,Sa 1000,Su 1000,M 1000,Tu 1000,W 1000,,
6,6,6,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,6 Days
7,7,7,"CINCINNATI, OH",AVAILABLE,Su 1200,M 1200,Tu 1200,Th 1200,Th 1200,,,
8,8,8,"CHARLESTON, SC",CUTOFF,M 1300,Tu 1300,W 1300,Th 1300,F 1300,Sa 1300,,1 Day
9,9,9,"GREER, SC",AVAILABLE,Tu 1200,W 1200,Th 1200,F 1200,Sa 1200,Su 1200,,
10,10,10,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
11,11,11,"BIRMINGHAM, AL",AVAILABLE,F 1000,Sa 1000,M 1000,M 1000,Tu 1000,,,
12,12,12,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
13,13,13,"HUNTSVILLE, AL",AVAILABLE,F 0900,Sa 0900,Su 0900,M 0900,Tu 0900,,,
14,14,14,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,5 Days
15,15,15,"LOUISVILLE, KY",AVAILABLE,M 1000,M 1000,M 1000,Tu 1000,W 1000,,,
16,16,16,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,4 Days
17,17,17,"MEMPHIS, TN",AVAILABLE,F 1300,Sa 1300,Su 1600,M 1300,Tu 1300,W 1300,,
18,18,18,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
19,19,19,"WYLIE INTERMODAL, TX",AVAILABLE,F 1500,Sa 1500,Su 1500,M 1500,Tu 1500,,,
