, , ,DESTINATION,Cut/Avail,M,Tu,W,Th,F,Sa,Su,Fastest
0,0,0,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,2 Days
1,1,1,"ATLANTA HULSEY, GA",AVAILABLE,W 1430,Th 1430,F 1430,Sa 1430,Su 1430,M 1430,,
2,2,2,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1400,,4 Days
3,3,3,"CAICTF, AL",AVAILABLE,F 1400,M 1400,M 1400,M 1400,Tu 1400,W 1400,,
4,4,4,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,2 Days
5,5,5,"CHARLOTTE, NC",AVAILABLE,W 0900,Th 0900,F 0900,Sa 0900,Su 0900,M 0900,Tu 0900,
6,6,6,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,6 Days
7,7,7,"CINCINNATI, OH",AVAILABLE,M 0600,M 0600,Tu 0600,W 0600,Th 0600,F 0600,Sa 0700,
8,8,8,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1400,,1 Day
9,9,9,"DILLON, SC",AVAILABLE,Tu 1300,W 1300,Th 1300,F 1300,M 0800,M 0800,,
10,10,10,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,2 Days
11,11,11,"JACKSONVILLE, FL",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,,
12,12,12,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,5 Days
13,13,13,"LOUISVILLE, KY",AVAILABLE,Sa 0800,M 0800,M 0800,Tu 0800,W 0800,Th 0800,F 0800,
14,14,14,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,4 Days
15,15,15,"MEMPHIS, TN",AVAILABLE,F 1700,M 0500,M 0500,M 1500,Tu 1700,W 1700,,
16,16,16,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,5 Days
17,17,17,"NASHVILLE, TN",AVAILABLE,Sa 0700,M 0700,Tu 0700,Tu 0700,W 0700,Th 0700,,
18,18,18,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,3 Days
19,19,19,"TAMPA, FL",AVAILABLE,F 0700,Sa 1100,M 0100,M 0700,M 0700,Tu 0700,,
