, , ,ORIGIN,Cut/Avail,M,Tu,W,Th,F,Sa,Su,Fastest
0,0,0,"ATLANTA HULSEY, GA",CUTOFF,M 2200,Tu 2200,W 2200,Th 2200,F 2200,Sa 2200,Su 2200,3 Days
1,1,1,"CHARLESTON, SC",AVAILABLE,Th 0600,F 0600,Sa 0600,M 0600,M 0800,Tu 0600,W 0600,
2,2,2,"CAICTF, AL",CUTOFF,M 1300,Tu 1300,W 1300,Th 1300,F 1300,Sa 1300,Su 1300,6 Days
3,3,3,"CHARLESTON, SC",AVAILABLE,M 0924,T 0600,W 0600,Tu 0600,F 0600,Sa 0600,M 0600,
4,4,4,"CHARLOTTE, NC",CUTOFF,M 1100,Tu 1100,W 1100,Th 1100,F 1100,Sa 1100,Su 1100,2 Days
5,5,5,"CHARLESTON, SC",AVAILABLE,W 0600,Th 0600,F 0600,M 0600,M 0600,M 0600,T 0600,
6,6,6,"CHICAGO 59TH ST, IL",CUTOFF,M 0700,Tu 0700,W 0700,Th 0700,F 0700,Sa 0700,Su 0700,4 Days
7,7,7,"CHARLESTON, SC",AVAILABLE,F 0600,Sa 0600,M 0800,M 0800,Tu 0600,W 0600,Th 0600,
8,8,8,"CINCINNATI, OH",CUTOFF,M 2000,Tu 2000,W 2000,Th 2000,F 2000,Sa 2000,Su 2000,7 Days
9,9,9,"CHARLESTON, SC",AVAILABLE,Tu 0600,W 0600,Th 0600,F 0600,Sa 0600,M 0800,M 0800,
10,10,10,"DILLON, SC",CUTOFF,M 1600,Tu 1600,W 1600,Th 1600,F 1600,,,1 Day
11,11,11,"CHARLESTON, SC",AVAILABLE,Tu 1500,W 1500,Th 1500,F 1500,M 1500,,,
12,12,12,"JACKSONVILLE, FL",CUTOFF,M 0000,Tu 0000,W 0000,Th 0000,F 0000,Sa 0000,Su 0000,2 Days
13,13,13,"CHARLESTON, SC",AVAILABLE,W 0800,Th 0800,F 0600,Sa 0600,M 0600,M 0924,T 0600,
14,14,14,"LOUISVILLE, KY",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,8 Days
15,15,15,"CHARLESTON, SC",AVAILABLE,Tu 0600,W 0600,Th 0600,F 0600,Sa 0600,M 0800,M 0800,
16,16,16,"MEMPHIS, TN",CUTOFF,M 1600,Tu 1600,W 1600,Th 1600,F 1600,Sa 1600,Su 1600,4 Days
17,17,17,"CHARLESTON, SC",AVAILABLE,F 0600,Sa 0600,M 0800,M 0800,Tu 0600,W 0600,Th 0600,
18,18,18,"NASHVILLE, TN",CUTOFF,M 1415,Tu 1415,W 1415,Th 1415,F 1415,Sa 1415,Su 1415,6 Days
19,19,19,"CHARLESTON, SC",AVAILABLE,M 0600,M 0924,T 0600,W 0600,T 0600,F 0600,Sa 0600,
