,Destination,Cut/Avail,M,T,W,Th,F,Sa,Su,Fastest
1,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,2 Days
2,"AUSTELL, GA",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,,,
3,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,3 Days
4,"CHARLOTTE, NC",AVAILABLE,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,Tu 0800,,
5,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,4 Days
6,"CHICAGO LANDERS, IL",AVAILABLE,F 1000,Sa 1000,Su 1000,M 1000,Tu 1000,W 1000,,
7,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,6 Days
8,"CINCINNATI, OH",AVAILABLE,Su 1200,M 1200,Tu 1200,Th 1200,Th 1200,,,
9,"CHARLESTON, SC",CUTOFF,M 1300,Tu 1300,W 1300,Th 1300,F 1300,Sa 1300,,1 Day
10,"GREER, SC",AVAILABLE,Tu 1200,W 1200,Th 1200,F 1200,Sa 1200,Su 1200,,
11,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
12,"BIRMINGHAM, AL",AVAILABLE,F 1000,Sa 1000,M 1000,M 1000,Tu 1000,,,
13,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
14,"HUNTSVILLE, AL",AVAILABLE,F 0900,Sa 0900,Su 0900,M 0900,Tu 0900,,,
15,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,5 Days
16,"LOUISVILLE, KY",AVAILABLE,M 1000,M 1000,M 1000,Tu 1000,W 1000,,,
17,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,Sa 1530,,4 Days
18,"MEMPHIS, TN",AVAILABLE,F 1300,Sa 1300,Su 1600,M 1300,Tu 1300,W 1300,,
19,"CHARLESTON, SC",CUTOFF,M 1530,Tu 1530,W 1530,Th 1530,F 1530,,,4 Days
20,"WYLIE INTERMODAL, TX",AVAILABLE,F 1500,Sa 1500,Su 1500,M 1500,Tu 1500,,,
1,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,2 Days
2,"ATLANTA HULSEY, GA",AVAILABLE,W 1430,Th 1430,F 1430,Sa 1430,Su 1430,M 1430,,
3,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1400,,4 Days
4,"CAICTF, AL",AVAILABLE,F 1400,M 1400,M 1400,M 1400,Tu 1400,W 1400,,
5,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,2 Days
6,"CHARLOTTE, NC",AVAILABLE,W 0900,Th 0900,F 0900,Sa 0900,Su 0900,M 0900,Tu 0900,
7,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,6 Days
8,"CINCINNATI, OH",AVAILABLE,M 0600,M 0600,Tu 0600,W 0600,Th 0600,F 0600,Sa 0700,
9,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1400,,1 Day
10,"DILLON, SC",AVAILABLE,Tu 1300,W 1300,Th 1300,F 1300,M 0800,M 0800,,
11,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,2 Days
12,"JACKSONVILLE, FL",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,,
13,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,5 Days
14,"LOUISVILLE, KY",AVAILABLE,Sa 0800,M 0800,M 0800,Tu 0800,W 0800,Th 0800,F 0800,
15,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,4 Days
16,"MEMPHIS, TN",AVAILABLE,F 1700,M 0500,M 0500,M 1500,Tu 1700,W 1700,,
17,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,5 Days
18,"NASHVILLE, TN",AVAILABLE,Sa 0700,M 0700,Tu 0700,Tu 0700,W 0700,Th 0700,,
19,"CHARLESTON, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,3 Days
20,"TAMPA, FL",AVAILABLE,F 0700,Sa 1100,M 0100,M 0700,M 0700,Tu 0700,,
1,"AUSTELL, GA",CUTOFF,M 0001,Tu 0001,W 0001,Th 0001,F 0001,Sa 0001,Su 0001,2 Day
2,"CHARLESTON, SC",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,T 0800,
3,"CHARLOTTE, NC",CUTOFF,M 1100,Tu 1100,W 1100,Th 1100,F 1100,,,3 Days
4,"CHARLESTON, SC",AVAILABLE,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,,,
5,"CHICAGO LANDERS, IL",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,5 Days
6,"CHARLESTON, SC",AVAILABLE,Sa 0800,Su 0800,M 0800,Tu 0800,W 0800,Th 0800,F 0800,
7,"CINCINNATI, OH",CUTOFF,M 1700,Tu 1700,W 1700,Th 1700,F 1700,,,7 Days
8,"CHARLESTON, SC",AVAILABLE,M 0800,Tu 0800,W 0800,Th 0800,F 0800,,,
9,"GREER, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,1 Day
10,"CHARLESTON, SC",AVAILABLE,Tu 1600,W 1600,Th 1600,F 1600,Sa 1600,Su 1600,,
11,"HUNTSVILLE, AL",CUTOFF,M 1600,Tu 1600,W 1600,Th 1600,F 1600,,,4 Days
12,"CHARLESTON, SC",AVAILABLE,F 0800,Sa 0800,M 0800,M 0800,Tu 0800,,,
13,"LOUISVILLE, KY",CUTOFF,M 1730,Tu 1730,W 1730,Th 1730,F 1730,,,5 Days
14,"CHARLESTON, SC",AVAILABLE,Sa 0800,Su 0800,M 0800,Tu 0800,W 0800,,,
15,"MEMPHIS, TN",CUTOFF,,Tu 1800,W 1800,Th 1800,F 1800,Sa 1800,,4 Days
16,"CHARLESTON, SC",AVAILABLE,,Sa 0800,M 0800,Tu 0800,W 0800,Th 0800,,
17,"NEW ORLEANS, LA",CUTOFF,M 1500,,,,F 1500,,,6 Days
18,"CHARLESTON, SC",AVAILABLE,Su 0800,,,,F 0800,,,
19,"WYLIE INTERMODAL, TX",CUTOFF,M 1700,Tu 1700,W 1700,Th 1700,F 1700,,,5 Days
20,"CHARLESTON, SC",AVAILABLE,Sa 0800,M 0800,M 0800,Tu 0800,W 0800,,,
1,"ATLANTA HULSEY, GA",CUTOFF,M 2200,Tu 2200,W 2200,Th 2200,F 2200,Sa 2200,Su 2200,3 Days
2,"CHARLESTON, SC",AVAILABLE,Th 0600,F 0600,Sa 0600,M 0600,M 0800,Tu 0600,W 0600,
3,"CAICTF, AL",CUTOFF,M 1300,Tu 1300,W 1300,Th 1300,F 1300,Sa 1300,Su 1300,6 Days
4,"CHARLESTON, SC",AVAILABLE,M 0924,T 0600,W 0600,Tu 0600,F 0600,Sa 0600,M 0600,
5,"CHARLOTTE, NC",CUTOFF,M 1100,Tu 1100,W 1100,Th 1100,F 1100,Sa 1100,Su 1100,2 Days
6,"CHARLESTON, SC",AVAILABLE,W 0600,Th 0600,F 0600,M 0600,M 0600,M 0600,T 0600,
7,"CHICAGO 59TH ST, IL",CUTOFF,M 0700,Tu 0700,W 0700,Th 0700,F 0700,Sa 0700,Su 0700,4 Days
8,"CHARLESTON, SC",AVAILABLE,F 0600,Sa 0600,M 0800,M 0800,Tu 0600,W 0600,Th 0600,
9,"CINCINNATI, OH",CUTOFF,M 2000,Tu 2000,W 2000,Th 2000,F 2000,Sa 2000,Su 2000,7 Days
10,"CHARLESTON, SC",AVAILABLE,Tu 0600,W 0600,Th 0600,F 0600,Sa 0600,M 0800,M 0800,
11,"DILLON, SC",CUTOFF,M 1600,Tu 1600,W 1600,Th 1600,F 1600,,,1 Day
