, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
1,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
2,2,2,"June, 2017","22,439","22,439 21.57%","3 6,104 4 6,604","1 9,050 2 ,252","1 04,010","6 5,539 8 1,307","3 2,209 4 ,182","1 83,237"
3,3,3,"July, 2017","18,526","18,526 17.93%","3 5,044 4 5,125","2 0,719 2 ,431","1 03,319","6 3,454 7 9,631","3 4,839 4 ,487","1 82,411"
4,4,4,"August, 2017","25,152","25,152 25.05%","3 5,956 4 4,382","1 8,224 1 ,865","1 00,427","6 4,959 7 8,083","3 1,296 3 ,391","1 77,728"
5,5,5,"September, 2017","21,977","21,977 21.57%","3 5,443 4 5,269","1 8,820 2 ,370","1 01,902","6 4,857 7 9,150","3 1,389 4 ,461","1 79,856"
6,6,6,"October, 2017","23,114","23,114 22.21%","3 9,495 4 6,184","1 5,444 2 ,963","1 04,086","7 1,637 8 0,728","2 4,740 5 ,723","1 82,827"
7,7,7,"November, 2017","18,602","18,602 20.15%","3 5,108 4 3,334","1 0,974 2 ,913","9 2,329","6 3,782 7 6,580","1 7,760 5 ,471","1 63,592"
8,8,8,"December, 2017","18,029","18,029 17.38%","3 8,049 4 5,932","1 7,116 2 ,659","1 03,756","6 9,693 8 0,423","2 7,823 4 ,945","1 82,884"
9,9,9,"January, 2018","20,018","20,018 21.10%","3 2,904 4 4,452","1 4,852 2 ,644","9 4,852","5 9,746 7 8,169","2 4,725 4 ,759","1 67,398"
10,10,10,"February, 2018","21,878","21,878 22.96%","3 7,779 4 0,179","1 3,939 3 ,383","9 5,280","6 9,063 7 0,397","2 3,031 5 ,990","1 68,480"
11,11,11,"March, 2018","26,037","26,037 22.91%","4 0,620 5 0,226","1 7,793 5 ,024","1 13,663","7 3,637 8 8,483","2 8,328 9 ,210","1 99,659"
12,12,12,"April, 2018","21,477","21,477 19.18%","4 3,861 4 5,301","1 8,220 4 ,605","1 11,987","8 0,125 7 8,275","3 0,300 7 ,739","1 96,439"
13,13,13,"May, 2018","23,965","23,965 21.11%","4 0,926 4 8,881","1 9,783 3 ,941","1 13,531","7 4,576 8 5,277","3 1,234 6 ,350","1 97,437"
